Name,CriticRate,CriticNum,UserRate,UserNum,TN,Index,Year
1000 Amps,0,1,7.4,14,2.4,74,2012
3DMark 11,0,0,0,0,0,0,2012
3SwitcheD,0,0,5.7,6,0.6,57,2012
7 Wonders: Ancient Alien Makeover,0,0,7.1,7,0.7,71,2012
A Game of Dwarves,60,11,6.6,62,17.2,62.1627907,2012
A New Beginning - Final Cut,72,20,6.8,74,27.4,70.91970803,2012
A Valley Without Wind,54,12,6.8,60,18,58.66666667,2012
A Virus Named TOM,65,9,6.3,59,14.9,64.20805369,2012
Abandoned: Chestnut Lodge Asylum,0,0,0,0,0,0,2012
Adventures of Shuggy,0,3,7.2,30,6,72,2012
Aerofly FS 1 Flight Simulator,0,0,6.6,10,1,66,2012
Age of Empires III: Complete Collection,0,0,8.5,49,4.9,85,2012
Air Conflicts: Pacific Carriers,0,1,4.3,11,2.1,43,2012
Alan Wake,83,30,8,1622,192.2,80.46826223,2012
Alan Wake's American Nightmare,0,0,0,0,0,0,2012
Alien Shooter 2 Conscription,0,0,6.4,5,0.5,64,2012
All Zombies Must Die!: Scorepocalypse,0,0,0,0,0,0,2012
Analogue: A Hate Story,62,5,7.9,100,15,73.33333333,2012
Arena Wars 2,0,1,8.3,12,2.2,83,2012
Assassin's Creed III,80,21,6.3,1721,193.1,64.84878301,2012
Atooms to Moolecules Demo,0,0,0,0,0,0,2012
Auditorium,0,0,7.6,11,1.1,76,2012
Avernum 4,0,0,8.4,5,0.5,84,2012
Avernum 5,0,2,8.3,6,2.6,83,2012
Avernum 6,0,0,8.2,6,0.6,82,2012
Avernum: Escape From the Pit,76,4,8.4,62,10.2,80.8627451,2012
AVSEQ,0,2,3.8,4,2.4,38,2012
Awesomenauts - the 2D moba,78,6,8,303,36.3,79.66942149,2012
Ballads of Reemus: When the Bed Bites,0,1,8,4,1.4,80,2012
Bang Bang Racing,0,1,6.6,22,3.2,66,2012
BANZAI PECAN: The Last Hope For the Young Century,0,0,0,0,0,0,2012
Batman: Arkham City - Game of the Year Edition,91,27,8.7,2052,232.2,87.46511628,2012
Beyond Divinity,73,23,7.4,63,29.3,73.21501706,2012
Beyond Oasis,0,0,0,0,0,0,2012
Binary Domain,68,11,7.7,324,43.4,74.71889401,2012
BIT.TRIP CORE,0,0,0,0,0,0,2012
BIT.TRIP VOID,0,1,0,0,1,0,2012
Blacklight: Retribution,75,20,7.5,354,55.4,75,2012
Blackwell Convergence,0,0,8.1,35,3.5,81,2012
Blackwell Deception,73,10,7.8,47,14.7,74.59863946,2012
Blackwell Unbound,0,0,8.2,46,4.6,82,2012
Blades of Time,63,6,7.4,111,17.1,70.14035088,2012
Blood Bowl: Chaos Edition,0,1,6,31,4.1,60,2012
Borderlands 2,89,38,8.2,2721,310.1,82.85778781,2012
Botanicula,82,38,8.4,361,74.1,82.97435897,2012
Bumbledore,0,2,0,0,2,0,2012
Call of Duty: Black Ops - Mac Edition,0,0,0,0,0,0,2012
Call of Duty: Black Ops II,74,11,4.4,1721,183.1,45.80229383,2012
Call of the Ninja!,0,0,0,0,0,0,2012
Cannon Fodder 3,49,10,5.7,11,11.1,49.79279279,2012
Cargo Commander,63,9,6.9,22,11.2,64.17857143,2012
Carrier Command: Gaea Mission,60,23,5.6,73,30.3,59.03630363,2012
Castle Crashers,0,2,7.8,196,21.6,78,2012
Chaos on Deponia,78,31,8.3,192,50.2,79.9123506,2012
Check vs Mate,69,5,5.9,12,6.2,67.06451613,2012
Cherry Tree High Comedy Club,0,1,6.6,14,2.4,66,2012
Chivalry: Medieval Warfare,79,24,7.8,923,116.3,78.20636285,2012
Choice of Kung Fu,0,0,0,0,0,0,2012
Choplifter HD,65,13,6.6,19,14.9,65.12751678,2012
Cladun X2,0,2,5.3,4,2.4,53,2012
Clan of Champions,42,6,4.1,9,6.9,41.86956522,2012
Close Combat - Panthers in the Fog,0,1,5.7,14,2.4,57,2012
Closure,78,8,6.6,61,14.1,72.80851064,2012
Colour Bind,66,9,7,5,9.5,66.21052632,2012
Condemned: Criminal Origins,78,24,7.7,174,41.4,77.57971014,2012
Conflict Desert Storm,56,4,7.8,25,6.5,64.46153846,2012
Confrontation,51,27,5.2,36,30.6,51.11764706,2012
Conquest of Elysium 3,0,2,7.2,19,3.9,72,2012
Containment: The Zombie Puzzler,0,2,6.2,12,3.2,62,2012
Continent of the Ninth Seal,0,1,6.3,22,3.2,63,2012
Cortex Command,44,7,7.2,122,19.2,61.79166667,2012
Counter-Strike: Global Offensive,83,38,7.6,3213,359.3,76.74032842,2012
Crazy Machines Elements,0,2,6.2,5,2.5,62,2012
Critter Crunch,0,0,5.7,6,0.6,57,2012
Crusader Kings Complete,0,0,0,0,0,0,2012
Crusader Kings II,82,31,8.8,815,112.5,86.34666667,2012
Cubemen,74,4,6.2,35,7.5,68.4,2012
Damage Inc. Pacific Squadron WWII,0,1,0,0,1,0,2012
DARK SOULS: Prepare To Die Edition,85,42,7.6,2161,258.1,77.46454862,2012
Dead Hungry Diner,0,2,7.2,5,2.5,72,2012
Dead Pixels,0,2,7.3,53,7.3,73,2012
Deadlight,78,7,7.4,549,61.9,74.45234249,2012
Death Rally,0,0,8.7,20,2,87,2012
Decisive Campaigns: Case Blue,0,0,0,0,0,0,2012
Deep Black: Reloaded,39,20,4.1,36,23.6,39.30508475,2012
Defenders of Ardania,58,17,4.6,28,19.8,56.3030303,2012
Defender's Quest: Valley of the Forgotten (DX edition),0,2,8.4,83,10.3,84,2012
Democracy 2,0,0,6.2,13,1.3,62,2012
Deponia,74,33,8.1,346,67.6,77.58284024,2012
Din's Curse,76,10,7.5,23,12.3,75.81300813,2012
Dishonored,91,29,8.4,3795,408.5,84.49694002,2012
Disney Mickey's Typing Adventure,0,0,0,0,0,0,2012
Divine Divinity,81,21,8.5,181,39.1,82.8516624,2012
Divinity II: Developer's Cut,0,0,7.9,61,6.1,79,2012
Dogfight 1942,0,1,4.9,12,2.2,49,2012
Doom 3: BFG Edition,59,12,5.4,224,34.4,55.74418605,2012
Dragon Nest,0,3,7.2,60,9,72,2012
Dream Pinball 3D,61,5,0,0,5,61,2012
Dungeonbowl - Knockout Edition,0,0,0,0,0,0,2012
Dungeons & Dragons Online,0,0,0,0,0,0,2012
