"Year","Game","Appid","Developer","Publisher","PriceRange","MdPlayTime","Index","PlayerOption","VisualOption","TraitOption","MainTags"
2012,"Counter-Strike: Global Offensive",730,"Valve","Valve","$10-$20",384,76.74032842,"multiplayer","none","none","action,team-based,competitive,war,fps"
2012,"Borderlands 2",49520,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)","$10-$20",117,82.85778781,"multiplayer,singleplayer","none","memes","co-op,loot,adventure,fps,rpg"
2012,"PlanetSide 2",218230,"Daybreak Game Company","Daybreak Game Company","FREE",98,73.40869565,"massively multiplayer,multiplayer","none","free to play","fps,shooter,tactical,war,space"
2012,"Euro Truck Simulator 2",227300,"SCS Software","SCS Software","$10-$20",183,85.91402715,"singleplayer","none","none","simulation,driving,open world,realistic,relaxing"
2012,"Chivalry: Medieval Warfare",219640,"Torn Banner Studios","Torn Banner Studios","$20-$25",65,78.20636285,"multiplayer","none","none","medieval,action,first-person,competitive,fps"
2012,"Batman: Arkham City - Game of the Year Edition",200260,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)","$10-$20",105,87.46511628,"singleplayer","3d vision","controller","batman,atmospheric,action,open world,adventure"
2012,"Dishonored",205100,"Arkane Studios","Bethesda Softworks","$5-$10",54,84.49694002,"singleplayer","dark","replay value","stealth,first-person,action,steampunk,assassin"
2012,"XCOM: Enemy Unknown",200510,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)","Above $25",465,83.370663,"singleplayer,multiplayer","none","replay value","tactical,strategy,turn-based,aliens,action"
2012,"Far Cry 3",220240,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft","$10-$20",95,83.53965863,"multiplayer,singleplayer","colorful","none","open world,fps,action,adventure,shooter"
2012,"Torchlight II",200710,"Runic Games","Runic Games","$10-$20",117,85.77070552,"multiplayer,singleplayer","cartoon","replay value","rpg,action rpg,co-op,loot,action"
2012,"The Witcher 2: Assassins of Kings Enhanced Edition",20920,"CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub","$10-$20",119,85.41066282,"singleplayer","dark","none","rpg,mature,adventure,action,difficult"
2012,"The Lord of the Rings Online",212500,"Standing Stone Games, LLC","Standing Stone Games, LLC","FREE",913,77.97637795,"massively multiplayer,multiplayer,singleplayer","none","free to play","fantasy,adventure,character customization,co-op,mmorpg"
2012,"Tribes: Ascend",17080,"Hi-Rez Studios","Hi-Rez Studios","FREE",0,80.7180068,"multiplayer,massively multiplayer,singleplayer","none","free to play","fps,action,shooter,fast-paced,sci-fi"
2012,"Hotline Miami",219150,"Dennaton Games","Devolver Digital","$5-$10",21,85.71885336,"singleplayer","1980s,pixel graphics,2d","great soundtrack","action,surreal,violent,indie,top-down"
2012,"STAR WARS Knights of the Old Republic II - The Sith Lords",208580,"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)","$5-$10",260,84.29807692,"singleplayer","none","none","star wars,rpg,story rich,sci-fi,classic"
2012,"DARK SOULS: Prepare To Die Edition",211420,"FromSoftware","BANDAI NAMCO Entertainment",NA,61,77.46454862,"multiplayer","dark","replay value,great soundtrack","rpg,dark fantasy,difficult,action,fantasy"
2012,"FTL: Faster Than Light",212680,"Subset Games","Subset Games","$5-$10",72,84,"singleplayer","2d,pixel graphics","replay value,great soundtrack","space,strategy,simulation,adventure,rogue-like"
2012,"Alan Wake",108710,"Remedy Entertainment","Remedy Entertainment","$10-$20",114,80.46826223,"singleplayer","dark","great soundtrack","action,thriller,mystery,horror,adventure"
2012,"Orcs Must Die! 2",201790,"Robot Entertainment","Robot Entertainment","$10-$20",148,80.80104712,"multiplayer,singleplayer","none","great soundtrack,controller","co-op,strategy,tower defense,action,online co-op"
2012,"The Walking Dead",207610,"Telltale Games","Telltale Games",NA,69,29.57798165,"singleplayer","none","none","adventure,horror,comic book,survival,action"
2012,"Crusader Kings II",203770,"Paradox Development Studio","Paradox Interactive","Above $25",236,86.34666667,"multiplayer,singleplayer","none","replay value,great soundtrack","grand strategy,strategy,medieval,historical,simulation"
2012,"Realm of the Mad God",200210,"Wild Shadow Studios, Deca Games","Deca Games","FREE",53,73.94642857,"massively multiplayer,multiplayer","pixel graphics,2d","free to play","bullet hell,action,difficult,retro,rpg"
2012,"Age of Empires III: Complete Collection",105450,"Ensemble Studios","Microsoft Studios","Above $25",101,85,"multiplayer,singleplayer","none","none","strategy,war,rts,base building,historical"
2012,"Hitman: Absolution",203140,"Io-Interactive A/S, Feral Interactive (Mac)","Io-Interactive A/S, Feral Interactive (Mac)","$10-$20",74,72.2300414,"singleplayer,multiplayer","none","replay value,controller","assassin,cinematic,stealth,action,third person"
2012,"Awesomenauts - the 2D moba",204300,"Ronimo Games","Ronimo Games","FREE",49,79.66942149,"multiplayer,local multiplayer","2d,cartoon","great soundtrack,controller,free to play","moba,platformer,action,space,indie"
2012,"Blacklight: Retribution",209870,"Hardsuit Labs, Inc.","Hardsuit Labs, Inc.","FREE",35,75,"multiplayer,singleplayer,massively multiplayer","none","free to play","fps,shooter,futuristic,action,gun customization"
2012,"Call of Duty: Black Ops II",202970,"Treyarch","Activision","Above $25",10,45.80229383,"multiplayer,singleplayer,massively multiplayer","none","controller,great soundtrack","war,action,fps,shooter,first-person"
2012,"Fallen Earth Free2Play",113420,"Little Orbit","Little Orbit","FREE",53,0,"multiplayer,massively multiplayer,singleplayer","none","free to play","survival,first-person,action,open world,post-apocalyptic"
2012,"Sniper Elite V2",63380,"Rebellion","Rebellion","$10-$20",67,66.72,"multiplayer,singleplayer","none","none","sniper,stealth,world war ii,war,simulation"
2012,"Guns of Icarus Online",209080,"Muse Games","Muse Games","$2-$5",112,75.52525253,"multiplayer,massively multiplayer","none","none","steampunk,team-based,action,competitive,flight"
2012,"Gotham City Impostors Free to Play",206210,"Monolith Productions, Inc.","Warner Bros. Interactive Entertainment","FREE",39,65.48148148,"multiplayer,massively multiplayer","none","free to play","batman,fps,action,shooter,superhero"
2012,"Castle Crashers",204360,"The Behemoth","The Behemoth","$10-$20",84,78,"multiplayer,local multiplayer","2d","controller,great soundtrack","adventure,co-op,action,beat 'em up,local co-op"
2012,"Super Hexagon",221640,"Terry Cavanagh","Terry Cavanagh","$2-$5",9,84.60606061,"singleplayer","2d,colorful","great soundtrack,replay value,controller","difficult,action,music,indie,fast-paced"
2012,"Max Payne 3",204100,"Rockstar Studios","Rockstar Games","$10-$20",108,78.11524164,"multiplayer,singleplayer","dark,3d vision","great soundtrack","action,bullet time,cinematic,third-person shooter,story rich"
2012,"Sins of a Solar Empire: Rebellion",204880,"Ironclad Games, Stardock Entertainment","Stardock Entertainment","Above $25",394,79.91616766,"multiplayer,singleplayer","none","great soundtrack","strategy,space,rts,4x,war"
2012,"To the Moon",206440,"Freebird Games","Freebird Games","$5-$10",146,88.42318059,"singleplayer","pixel graphics,2d","great soundtrack","adventure,rpg,story rich,indie,rpgmaker"
2012,"Natural Selection 2",4920,"Unknown Worlds Entertainment","Unknown Worlds Entertainment","$5-$10",35,83.45132743,"multiplayer","none","none","strategy,action,aliens,shooter,tactical"
2012,"Assassin's Creed III",208480,"Ubisoft Montreal","Ubisoft","$10-$20",39,64.84878301,"multiplayer,singleplayer","none","controller","assassin,america,adventure,open world,action"
2012,"The Darkness II",67370,"Digital Extremes","2K","Above $25",78,76.2894356,"singleplayer,multiplayer","dark","none","fps,shooter,co-op,horror,comic book"
2012,"Endless Space - Collection",208140,"AMPLITUDE Studios","SEGA","$10-$20",158,74.61073826,"multiplayer,singleplayer","none","great soundtrack,replay value","strategy,space,turn-based,diplomacy,adventure"
2012,"Spec Ops: The Line",50300,"YAGER","2K, Missing Link Games","Above $25",89,81.37984496,"singleplayer,multiplayer","dark","great soundtrack","third-person shooter,action,war,shooter,military"
2012,"Scribblenauts Unlimited",218680,"5th Cell Media","Warner Bros. Interactive Entertainment","$10-$20",140,76.11949686,"singleplayer,multiplayer","2d","replay value","puzzle,open world,casual,adventure,family friendly"
2012,"Stronghold Kingdoms",47410,"FireFly Studios","FireFly Studios","FREE",2943,50,"massively multiplayer,multiplayer,singleplayer","none","free to play","rts,action,war,strategy,medieval"
