"Year","Game","Appid","MainTags","MainTag1","MainTag2","MainTag3","MainTag4","MainTag5"
2012,"Counter-Strike: Global Offensive",730,"action,team-based,competitive,war,fps","action","team-based","competitive","war","fps"
2012,"Borderlands 2",49520,"co-op,loot,adventure,fps,rpg","co-op","loot","adventure","fps","rpg"
2012,"PlanetSide 2",218230,"fps,shooter,tactical,war,space","fps","shooter","tactical","war","space"
2012,"Euro Truck Simulator 2",227300,"simulation,driving,open world,realistic,relaxing","simulation","driving","open world","realistic","relaxing"
2012,"Chivalry: Medieval Warfare",219640,"medieval,action,first-person,competitive,fps","medieval","action","first-person","competitive","fps"
2012,"Batman: Arkham City - Game of the Year Edition",200260,"batman,atmospheric,action,open world,adventure","batman","atmospheric","action","open world","adventure"
2012,"Dishonored",205100,"stealth,first-person,action,steampunk,assassin","stealth","first-person","action","steampunk","assassin"
2012,"XCOM: Enemy Unknown",200510,"tactical,strategy,turn-based,aliens,action","tactical","strategy","turn-based","aliens","action"
2012,"Far Cry 3",220240,"open world,fps,action,adventure,shooter","open world","fps","action","adventure","shooter"
2012,"Torchlight II",200710,"rpg,action rpg,co-op,loot,action","rpg","action rpg","co-op","loot","action"
2012,"The Witcher 2: Assassins of Kings Enhanced Edition",20920,"rpg,mature,adventure,action,difficult","rpg","mature","adventure","action","difficult"
2012,"The Lord of the Rings Online",212500,"fantasy,adventure,character customization,co-op,mmorpg","fantasy","adventure","character customization","co-op","mmorpg"
2012,"Tribes: Ascend",17080,"fps,action,shooter,fast-paced,sci-fi","fps","action","shooter","fast-paced","sci-fi"
2012,"Hotline Miami",219150,"action,surreal,violent,indie,top-down","action","surreal","violent","indie","top-down"
2012,"STAR WARS Knights of the Old Republic II - The Sith Lords",208580,"star wars,rpg,story rich,sci-fi,classic","star wars","rpg","story rich","sci-fi","classic"
2012,"DARK SOULS: Prepare To Die Edition",211420,"rpg,dark fantasy,difficult,action,fantasy","rpg","dark fantasy","difficult","action","fantasy"
2012,"FTL: Faster Than Light",212680,"space,strategy,simulation,adventure,rogue-like","space","strategy","simulation","adventure","rogue-like"
2012,"Alan Wake",108710,"action,thriller,mystery,horror,adventure","action","thriller","mystery","horror","adventure"
2012,"Orcs Must Die! 2",201790,"co-op,strategy,tower defense,action,online co-op","co-op","strategy","tower defense","action","online co-op"
2012,"The Walking Dead",207610,"adventure,horror,comic book,survival,action","adventure","horror","comic book","survival","action"
2012,"Crusader Kings II",203770,"grand strategy,strategy,medieval,historical,simulation","grand strategy","strategy","medieval","historical","simulation"
2012,"Realm of the Mad God",200210,"bullet hell,action,difficult,retro,rpg","bullet hell","action","difficult","retro","rpg"
2012,"Age of Empires III: Complete Collection",105450,"strategy,war,rts,base building,historical","strategy","war","rts","base building","historical"
2012,"Hitman: Absolution",203140,"assassin,cinematic,stealth,action,third person","assassin","cinematic","stealth","action","third person"
2012,"Awesomenauts - the 2D moba",204300,"moba,platformer,action,space,indie","moba","platformer","action","space","indie"
2012,"Blacklight: Retribution",209870,"fps,shooter,futuristic,action,gun customization","fps","shooter","futuristic","action","gun customization"
2012,"Call of Duty: Black Ops II",202970,"war,action,fps,shooter,first-person","war","action","fps","shooter","first-person"
2012,"Fallen Earth Free2Play",113420,"survival,first-person,action,open world,post-apocalyptic","survival","first-person","action","open world","post-apocalyptic"
2012,"Sniper Elite V2",63380,"sniper,stealth,world war ii,war,simulation","sniper","stealth","world war ii","war","simulation"
2012,"Guns of Icarus Online",209080,"steampunk,team-based,action,competitive,flight","steampunk","team-based","action","competitive","flight"
2012,"Gotham City Impostors Free to Play",206210,"batman,fps,action,shooter,superhero","batman","fps","action","shooter","superhero"
2012,"Castle Crashers",204360,"adventure,co-op,action,beat 'em up,local co-op","adventure","co-op","action","beat 'em up","local co-op"
2012,"Super Hexagon",221640,"difficult,action,music,indie,fast-paced","difficult","action","music","indie","fast-paced"
2012,"Max Payne 3",204100,"action,bullet time,cinematic,third-person shooter,story rich","action","bullet time","cinematic","third-person shooter","story rich"
2012,"Sins of a Solar Empire: Rebellion",204880,"strategy,space,rts,4x,war","strategy","space","rts","4x","war"
2012,"To the Moon",206440,"adventure,rpg,story rich,indie,rpgmaker","adventure","rpg","story rich","indie","rpgmaker"
