Tag1,Tag2,value
2d fighter,2d fighter,0.024691358
3d platformer,2d fighter,0
4x,2d fighter,0
6dof,2d fighter,0
abstract,2d fighter,0
action,2d fighter,0.00180018
action rpg,2d fighter,0
action-adventure,2d fighter,0
addictive,2d fighter,0
adventure,2d fighter,0
agriculture,2d fighter,0
aliens,2d fighter,0
alternate history,2d fighter,0
america,2d fighter,0
animation & modeling,2d fighter,0
anime,2d fighter,0.001536098
arcade,2d fighter,0.010769231
arena shooter,2d fighter,0
artificial intelligence,2d fighter,0
assassin,2d fighter,0
atmospheric,2d fighter,0
audio production,2d fighter,0
base building,2d fighter,0
based on a novel,2d fighter,0
basketball,2d fighter,0
batman,2d fighter,0.011363636
beat 'em up,2d fighter,0
beautiful,2d fighter,0
benchmark,2d fighter,0
blood,2d fighter,0
board game,2d fighter,0
building,2d fighter,0
bullet hell,2d fighter,0
bullet time,2d fighter,0
capitalism,2d fighter,0
card game,2d fighter,0
cartoony,2d fighter,0
casual,2d fighter,0.000547945
character action game,2d fighter,0
character customization,2d fighter,0
chess,2d fighter,0
choices matter,2d fighter,0
choose your own adventure,2d fighter,0
cinematic,2d fighter,0
city builder,2d fighter,0
class-based,2d fighter,0
classic,2d fighter,0.001127396
co-op,2d fighter,0
co-op campaign,2d fighter,0
cold war,2d fighter,0
comedy,2d fighter,0
comic book,2d fighter,0.011111111
competitive,2d fighter,0.018181818
conspiracy,2d fighter,0
conversation,2d fighter,0
crafting,2d fighter,0
crime,2d fighter,0
crowdfunded,2d fighter,0
crpg,2d fighter,0
cult classic,2d fighter,0
cute,2d fighter,0
cyberpunk,2d fighter,0
cycling,2d fighter,0
dark comedy,2d fighter,0
dark fantasy,2d fighter,0
dark humor,2d fighter,0
dating sim,2d fighter,0
demons,2d fighter,0
design & illustration,2d fighter,0
destruction,2d fighter,0
detective,2d fighter,0
difficult,2d fighter,0
dinosaurs,2d fighter,0
diplomacy,2d fighter,0
documentary,2d fighter,0
dog,2d fighter,0
dragons,2d fighter,0
drama,2d fighter,0
driving,2d fighter,0
dungeon crawler,2d fighter,0
dungeons & dragons,2d fighter,0
