"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6","Dota 2","Jul 9, 2013","Free","66% (86%/90%)","100,000,000 .. 200,000,000","25:45 (12:33)","Valve","Valve"
"145","Warframe","Mar 25, 2013","Free","84% (92%/71%)","20,000,000 .. 50,000,000","17:05 (04:21)","Digital Extremes","Digital Extremes"
"43","War Thunder","Aug 15, 2013","Free","51% (80%/81%)","10,000,000 .. 20,000,000","10:08 (02:10)","Gaijin Entertainment","Gaijin Entertainment"
"65","PAYDAY 2","Aug 13, 2013","$9.99","58% (83%/79%)","10,000,000 .. 20,000,000","10:15 (02:26)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"13","Tomb Raider","Mar 4, 2013","$19.99","93% (95%/86%)","5,000,000 .. 10,000,000","03:12 (00:59)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"17","Path of Exile","Oct 23, 2013","Free","84% (92%/86%)","5,000,000 .. 10,000,000","11:52 (01:44)","Grinding Gear Games","Grinding Gear Games"
"110","Neverwinter","Dec 5, 2013","Free","47% (78%/74%)","5,000,000 .. 10,000,000","10:24 (02:39)","Cryptic Studios","Perfect World Entertainment"
"166","Age of Empires II HD","Apr 9, 2013","$19.99","90% (94%/68%)","5,000,000 .. 10,000,000","03:38 (01:47)","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires","Microsoft Studios"
"484","No More Room in Hell","Oct 31, 2013","Free","74% (89%)","5,000,000 .. 10,000,000","02:26 (00:46)","No More Room in Hell Team","Lever Games"
"1","BioShock Infinite","Mar 25, 2013","$29.99","93% (95%/94%)","2,000,000 .. 5,000,000","03:00 (01:02)","Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K, Aspyr (Mac)"
"10","The Stanley Parable","Oct 17, 2013","$14.99","80% (91%/88%)","2,000,000 .. 5,000,000","03:03 (01:27)","Galactic Cafe","Galactic Cafe"
"14","Saints Row IV","Aug 19, 2013","$14.99","84% (92%/86%)","2,000,000 .. 5,000,000","02:49 (01:08)","Deep Silver Volition","Deep Silver"
"21","Papers, Please","Aug 8, 2013","$9.99","93% (95%/85%)","2,000,000 .. 5,000,000","01:56 (00:45)","Lucas Pope","3909"
"25","Trine 2: Complete Story","Jun 6, 2013","$19.99","93% (95%/84%)","2,000,000 .. 5,000,000","02:58 (01:42)","Frozenbyte","Frozenbyte"
"29","Monaco: What's Yours Is Mine","Apr 24, 2013","$14.99","84% (92%/83%)","2,000,000 .. 5,000,000","00:58 (01:11)","Pocketwatch Games","Pocketwatch Games"
"48","Outlast","Sep 4, 2013","$19.99","95% (96%/80%)","2,000,000 .. 5,000,000","05:16 (00:33)","Red Barrels","Red Barrels"
"57","Brutal Legend","Feb 26, 2013","$14.99","90% (94%/80%)","2,000,000 .. 5,000,000","02:06 (01:21)","Double Fine Productions","Double Fine Productions"
"58","Company of Heroes 2","Jun 25, 2013","$19.99","41% (75%/80%)","2,000,000 .. 5,000,000","05:49 (02:27)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"77","Earth 2150 Trilogy","Nov 1, 2013","$6.99","31% (69%/78%)","2,000,000 .. 5,000,000","02:48 (03:06)","Reality Pump Studios","Topware Interactive, ACE"
