"year","title","tags","description"
2013,"Dota 2","Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Fantasy,Tower Defense,Co-op,Character Customization,Replay Value,Action RPG,Simulation",",About This Game,The most-played game on SteamEvery day, millions of players worldwide enter battle as one of over a hundred Dota heroes And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has truly taken on a life of its ownOne Battlefield Infinite PossibilitiesWhen it comes to diversity of heroes, abilities, and powerful items, Dota boasts an endless array—no two games are the same Any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game Dota doesn't provide limitations on how to play, it empowers you to express your own styleAll heroes are freeCompetitive balance is Dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game—like the vast pool of heroes—is available to all players Fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first matchBring your friends and party upDota is deep, and constantly evolving, but it's never too late to join Learn the ropes playing co-op vs bots Sharpen your skills in the hero demo mode Jump into the behavior- and skill-based matchmaking system that ensures you'll be matched with the right players each game"
2013,"Warframe",NA,NA
2013,"War Thunder","Free to Play,World War II,Multiplayer,Simulation,Flight,War,Tanks,Military,Massively Multiplayer,Action,Realistic,Historical,Shooter,Team-Based,Co-op,Strategy,Arcade,FPS,Open World,TrackIR",",About This Game,War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game for Windows, Linux, Mac, PlayStation®4 and Xbox One dedicated to aviation, armoured vehicles, and naval craft from World War II and the Cold War Join now and take part in major battles on land, in the air, and at sea, fighting with millions of players from all over the world in an ever-evolving environmentIn War Thunder, aircraft, attack helicopters, ground forces and naval ships collaborate in realistic competitive battles You can choose from over 1,000 vehicles and an extensive variety of combat situations many of which are exclusive You can find yourself blasting your pursuers from a bomber turret, defending your teammates on the ground from an air raid with anti-aircraft guns, shooting down enemy planes with a firestorm from multiple rocket launchers, or trying to sink an enemy warship with a torpedo from a fast attack boatFeatures includeSeamless cross-platform gameplay between Windows PC, Linux, Mac, PlayStation®4 with Xbox One users being included in PC battles – everyone on the same serverOver 1,000 highly detailed aircraft, helicopters, tanks, warships and other combat vehicles crafted carefully from historical documents and surviving sources80 maps representing the main historical battle theatersIntense PvP experiences in full-scale combat missions at various difficulty settings for all play styles and degrees of experienceRich PvE content including dynamic historical campaigns and solo missionsRegular content updates including new vehicles, maps, missions and nationsAstonishing graphics, authentic sound effects and beautiful music creating an atmosphere to fully immerse yourself inCreate custom content for War Thunder and share it on War Thunder Live, with the prospect of earning real money through the Revenue Share Partner System!"
2013,"PAYDAY 2",NA,NA
2013,"Tomb Raider",NA,NA
2013,"Path of Exile",NA,NA
2013,"Neverwinter","Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Action,Multiplayer,Fantasy,Open World,Character Customization,Co-op,PvP,Dragons,Dungeons & Dragons,Third Person,Action RPG,PvE,Atmospheric,Hack and Slash,Zombies",",About This Game,"
2013,"Age of Empires II HD","Strategy,RTS,Multiplayer,Medieval,Classic,Historical,Base Building,Singleplayer,City Builder,Resource Management,Tactical,Co-op,Competitive,Real-Time,Remake,Replay Value,2D,Action,Adventure,Isometric",",About This Game,In Age of Empires II HD Edition, fans of the original game and new players alike will fall in love with the classic Age of Empires II experience  Explore all the original single player campaigns from both Age of Kings and The Conquerors expansion, choose from 18 civilizations spanning over a thousand years of history, and head online to challenge other Steam players in your quest for world domination throughout the ages  Originally developed by Ensemble Studios and re-imagined in high definition by Hidden Path Entertainment, Skybox Labs, and Forgotten Empires, Microsoft Studios is proud to bring Age of Empires II HD Edition to Steam!"
2013,"No More Room in Hell","Free to Play,Zombies,Multiplayer,Survival,Horror,Co-op,Action,Online Co-Op,FPS,First-Person,Shooter,Survival Horror,Post-apocalyptic,Open World,Realistic,Indie,Atmospheric,Mod,Adventure,Massively Multiplayer",",About This Game,""When there's no more room in hell, the dead will walk the earth""A tribute to the highly acclaimed film series in which the above quote originated from, No More Room in Hell (PC Gamer's Mod of the Year 2011, ModDB's Editor Choice Multiplayer Mod of the Year 2011), is a co-operative realistic first person survival horror modification for the Source Engine Taking inspiration from George Romero's ""Of the Dead"" series, the mod is set during a time in which the world is on the verge of collapsing into chaos from a disease whose origin is unknown Many experts and organizations have their theories and ideas on how such a disease emerged and started to systematically destroy our very way of life, but one fact is clear to all Whoever perishes from the disease gets up and kills, and the people they killed get up and killThe chances of you surviving this all out war of society and the undead are slim to none Already, there are millions of the walking dead shambling about, searching for food to eat There's no known cure One bite can possibly end it all for you However, you aren't alone in this nightmare There are still a handful of uninfected survivors left in this god forsaken hellhole, and with co-operation and teamwork, you may live long enough to fight your way to salvationFeaturesTeamwork Co-operative play with up to eight playersVoice and Text Communications Limited by Distance The further you're away the harder it is for other players to hear you Keep those walkie talkies close!Dynamic Objective Maps The next playthrough may not be the same as the last!Survival Mode Defend and maintain your shelter against the undead in the hopes of getting extracted to a safe areaA Realistic Approach In short, no crosshairs with limited ""only when you want it"" HUD In addition, ammo and weapons are extremely scarce With that in mind, aim down your sights and shoot for the head!Multitude of Different Opponents Ranging from the iconic ""walking zombie"" to the more contemporary ""runners"", NMRiH will keep you on your toes with a mix of dangerous foes to face down However, the most dangerous enemy may not always be the walking deadInfection One bite may be what it takes to bring you down If infected, you must decide if you want to alert your team to rid you of your burden, or to keep quiet in the hopes of finding a cure30+ weapons and counting, ranging from the diminutive 22 Target Pistol, to the almighty ChainsawNo ads (on official and community official servers, user-hosted servers may vary)No pay to win items or microtransactions100% Free (unless you buy the soundtrack DLC <3)No More Room in Hell is a Half-Life 2 Zombification The mod was founded in 2003 It switched hands and a new team took over in 2009 Beta version 10 was released on Halloween of 2011 A full list of the No More Room in Hell Team and contributors can be found on the about page of our website wwwnmrihcom"
2013,"BioShock Infinite",NA,NA
2013,"The Stanley Parable","Comedy,Narration,Indie,First-Person,Walking Simulator,Funny,Satire,Psychological,Dynamic Narration,Adventure,Exploration,Singleplayer,Multiple Endings,Short,Choices Matter,Story Rich,Atmospheric,Surreal,Puzzle,Casual",",About This Game,The Stanley Parable is a first person exploration game You will play as Stanley, and you will not play as Stanley You will follow a story, you will not follow a story You will have a choice, you will have no choice The game will end, the game will never end Contradiction follows contradiction, the rules of how games should work are broken, then broken again This world was not made for you to understand ,But as you explore, slowly, meaning begins to arise, the paradoxes might start to make sense, perhaps you are powerful after all The game is not here to fight you; it is inviting you to dance,Based on the award-winning 2011 Source mod of the same name, The Stanley Parable returns with new content, new ideas, a fresh coat of visual paint, and the stunning voicework of Kevan Brighting For a more complete and in-depth understanding of what The Stanley Parable is, please try out the free demo"
