"publisher","score","review"
"VideoGamer","100","It's not as emotionally deep as other games on the market, it's not a 30 hour + epic and it's not art in video game form, but is arguably the greatest action game ever created. In a year full of incredible games, Gears of War 2 sits triumphantly at the very top."
"Giant Bomb","100","The differences and enhancements in Gears of War 2 feel very calculated and intelligent. It's clear that no one set out to break things that worked before, and the most dramatic steps were taken in an effort to widen the game's appeal to players who might not be good enough to play it, otherwise. But it takes on this task without dumbing itself down and alienating the people who already liked the first game...All you really need to know is that Gears of War 2 is a terrific, kick-ass shooter with enough stuff in it to keep you busy for a pretty long time."
"X-ONE Magazine UK","100","A masterclass in design. Brutal, epic, beautiful and harrowing in equal measure, Gears Of War 2 announces Epic’s reign as the king of the action videogame. Absolutely essential."
"GameSpy","100","While it's certainly open to debate, we're going to go out on a limb and call Gears of War 2 the most visually impressive game of all-time."
"1UP","100","As great as the campaign is, the game will see its longest legs from multiplayer. And from the multitude of competitive match types to the addictive and strategic co-op Horde mode, what felt like a hugely entertaining afterthought in the original Gears now easily stands shoulder-to-shoulder with the campaign."
"GamePro","100","Granted, Gears 2 isn't the smartest shooter on the market, but for now, it is probably the must-own title of this holiday season for Xbox 360 gamers."
"G4 TV","100","Exceeding already lofty expectations, Gears of War 2 raises the bar a notch for action games this holiday season, and that is no small feat.  If you don’t have an Xbox 360 yet, Gears of War 2 is as good a reason as any to compose a short letter to Santa."
"Thunderbolt","100","As a sequel, you’d be hard-pushed to track down a game that is as brilliantly structured, nurtured and evolved as Gears of War 2. With a ruthlessly enthralling pace and variation of set pieces, this is an effortlessly superb package. I haven’t enjoyed a game as much as this since Call of Duty 4: Modern Warfare, which is surely one of the greatest compliments a title can get."
"ZTGD","100","Gears of War 2 does everything you wanted the original to do and then some. I have never been so hooked on a game. I couldn't put it away until I beat it. I just couldn't get enough of the intense action, the beautiful visuals and I especially couldn't get enough of the story."
"Electronic Gaming Monthly","100","Tearing into Gears 2 is a treat--this blood-soaked sequel offers a smorgasbord of sadistically entertaining content. [Dec 2008, p.78]"
"Gamestyle","100","Gears of War 2 is, simply put, an improvement in every aspect."
"PGNx Media","100","Gears of War 2 is a stellar shooting game and easily one of the best games of the year."
"AceGamez","100","Just in case I haven't been absolutely clear about this, you need to get Gears of War 2. Now."
"GameFocus","99","Possibly the single best action game ever, but certainly in the history of the Xbox 360 is all you need to know about this must buy game. The co-operative gameplay, multiplayer and The Horde mode are also great additions for the gamer who likes to play with friends."
"TeamXbox","98","All of the multiplayer, both co-op and competitive, completely makes up for any that was lacking in the first game. For those that thought that Gears just wasn’t suited to multiplayer gameplay, that it was too tactical and slow and was better suited to a single player experience, prepare to eat your words. It’s fantastic, and rounds out the complete package that is Gears of War 2...Gears of War 2 is about as close as you can get to the perfect gaming package."
"Planet Xbox 360","98","We have yet to play a perfect video game but Gears 2 get’s really freaking close; probably closer than any action game has gotten before. Every aspect of the game: gameplay, controls, features, graphics, and audio have a triple A feel to it and during the first play-through every single gamer will get multiple “oh sh.t” moments."
"3DJuegos","97","Gears of War 2 is the kind of game that third person shooters should try to imitate. We are not talking about the chosen theme or its tactical arcade scope, but instead we want to point out how well the console resources have been used in order to get an impeccable gameplay. A must have. The total shooter."
"Game Over Online","97","Gears of War 2 delivers on every one of its promises, combining a rich and intimate story, brutal, visceral combat, incredible graphics, outstanding audio design, a strong soundtrack, and a robust multiplayer suite."
"MEGamers","97","Cliff Bleszinski and the boys at Epic games really outdid themselves. Not only have they addressed the problems of the first game (skimpy story and short campaign mode etc), but the multiplayer additions and new game modes are great and insure the game will be dominating Xbox Live for years to come."
"Play.tm","96","I pity the developers that have to release their games around the same period as this, because Gears of War 2 is magnificent."
"GameZone","96","Gears of Wars 2 is what epic masterpieces are made of and on top of that it raises the bar for all action games on the Xbox 360. It’s an over-the-top, action junkie’s dream come true that easily surpasses the much-loved original that still haunts the dreams of all Xbox owners."
"IGN","95","It has non-stop action, fresh gameplay, varied environments, an engrossing storyline, multiplayer that will have people busy for years to come, and some of the nastiest and coolest kills I’ve seen in a videogame."
"Gameplayer","95","Gears 2 is a lesson in masterful pacing; whether it’s lulling you into a false sense of security, dropping you into an inescapable situation, or blowing your hair back with a ‘speeder bike’ vehicle section. It’s a ripping good yarn that is continually one-upping itself by belting you upside the head with yet another over the top action sequence that eclipses the last awesome thing you just did."
"GameTrailers","95","The game consistently manages to put impressive, holy crap-worthy stuff on-screen. Your ears get their fair share of candy, too. Voice work is almost always right on and the music is epic, foreboding, and dangerous."
"Official Xbox Magazine","95","Our favorite new addition to the Gears multiplayer family, however, is Horde. A fiveplayer co-op romp played on any of the 15 maps, Horde throws wave after wave of increasingly difficult Locust foes at you and your friends for 50 rounds, putting your teamworking skills to the ultimate test."
"Kombo","95","Gears of War 2 isn't quite the landmark title that first game was, but it's still one of the best third-person shooters ever made."
"PTGamers","95","Gears of War 2 is one of the greatest games of the year and if you're even remotely interested in its genre and do not own an Xbox 360, then seriously consider getting one - it is THAT good."
"Da Gameboyz","95","Gears 2 has taken everything that the original did well and added some pretty good improvements making it a well rounded package."
"XboxAddict","95","Gears of War 2 is a perfect example of blending game and art. An engrossing plot with emotion and battles on an absolute huge scale make this simply an experience that needs to be had by any gamer."
"MS Xbox World","95","It's simply the gameplay, graphics and sound all being at an incredibly high level and it all seemingly complimenting one another to create one of the most satisfying sci-fi/action experiences currently available in gaming."
"WonderwallWeb","95","Probably one of the best online multiplayer games on the Xbox 360."
"Games Master UK","95","One of the finest action games of the year that improves on the original in every way. [Christmas 2008, p.56]"
"Gaming Target","95","There’s not much more to say than if you love shooters, you need Gears of War 2."
"GamingExcellence","95","That Cliff Bleszinski and his crew have taken one of the most beloved Xbox 360 titles and managed to improve on it in every discernable way is nothing short of remarkable."
"Vandal","95","Epic, knowing the success of the first installment, has not taken any risk at all and gives us what they know we are going to like: an extraordinary pure action experience, outstanding in all technical and gameplay aspects and, above all, is hugely entertaining and guarantees hundreds of hours of adrenaline rush thanks to its campaign mode and online play through Xbox Live."
"Gamer 2.0","94","With an explosive single player, improved multiplayer, and an all-around polished feel, Gears of War 2 is better than the original by a large margin."
"Extreme Gamer","94","Gears of War 2 is a darker and larger experience then the first game which will please all the gamers looking for a “bigger and better” version of the original."
"Computer and Video Games","93","Gears of War 2 helps to change the perception of the 'angry space marine' shooter by thanks to a compelling story at its core. There are points in Gears of War 2's ridiculous and explosive Brumack set-pieces that you'll wonder how you'll ever be able to go back to the original game without being under-whelmed."
"Xbox Achievements","93","Gears of War 2 is a fantastic game, with an epic campaign, incredible Horde co-op experience, and improved multiplayer; all in a package that promises to keep players entertained for dozens, if not hundreds of hours. Several issues keep the game from being all it could be, but it remains a worthy addition to any 360 owner's library."
"Talk Xbox","93","Gears of War 2 manages to be everything that the sequel to an intense, violent shooter should be."
"HellBored","93","Action fans everywhere are going to adore it, but I recommend everyone play it. It’s big, brash, loud and full of ball-shrinkingly deadly scenarios and for that, we can forgive the predictability of the rest of it."
"Impulsegamer","93","In conclusion, Gears of War 2 is truly an epic game that goes beyond its predecessor and offers gamers another truly outstanding gaming experience."
"IGN UK","92","It provides a truly electric action experience, building on the original with intense, astonishingly epic set-pieces. What's more, the presentation is the closest we’ve got to starring in a full-blown action flick. However, the game is also bereft of any genuine surprises and for all of its stunning visuals and masterful firefights, it’s all a little too predictable."
"Worth Playing","92","In the end, Gears of War 2 achieves exactly what it sets out to do: make a better Gears of War. It's an accomplishment worthy of praise, but knowing what Epic is capable of, we really wish they would have pushed the envelope a bit more on the campaign mode."
"InsideGamer.nl","92","Gears of War 2 is one big roller coaster ride full of impressive moments. When the ride ends, there’s still the vast array of multiplayer possibilities to be discovered. The core gameplay of Gears of War remains intact, and some minor bugs I encountered lower the score a little bit, but don’t let that keep you away of this shining masterpiece."
"GameShark","91","Gears of War 2 takes the formula established by the original and polishes it to great effect. Everything from the pacing of the campaign, tuned difficulty, added weapons and enemies, and slew of multiplayer options demonstrates mastery in design that all action games aspire, yet precious few achieve. Not everything is rosy--chalk the poor story and lame characters as being yet another victim of cheesy game writing. That's excusable, though."
"Game Revolution","91","Gears of War 2 doesn't reinvent the wheel, but it does bring a good bit of polish to the concepts that made the first such a success."
"Gaming Age","91","If you're hoping for something epic or monumental (like, for example, MGS4 or Mass Effect; two games that still managed to blow my insanely high expectations out of the water), you may be slightly disappointed. That said, it's important to note that the only reason I'm saying this is to keep your standards in check - Gears 2 is by all measure a must-have title for the Xbox 360."
"Xbox World 360 Magazine UK","91","Gears does what it does flawlessly. It's not the best shooter ever, but it's definitely the best Gears. [Christmas 2008, p.50]"
"The A.V. Club","91","Highly addictive online modes dull the pain of mundane offline play."
"Absolute Games","91","The best single-player shooter in the history of Epic Games. If it is going to become a Hollywood movie, it should be directed by no other than Michael Bay."
