"publisher","score","review"
"Playstation Official Magazine UK","100","There simply isn't anything else like LBP on any system, anywhere. It's a beautifully elegant and powerful creative tool that puts unlimited potential in the palm of your hand. [Nov 2008, p.92]"
"Maxi Consolas (Portugal)","100","LBP is a unique game. It disguises itself as a 2D platform game but surprises the players with a set of editing tools and level sharing absolutely amazing. With a distinctive style and an everlasting future potential, we can say that Sackboy already conquered this industry. [Oct 2008]"
"Gameplayer","100","LittleBigPlanet is like a magic trick, and in that respect it feels less like a videogame than an incredible concept executed perfectly. LittleBigPlanet is like LEGO (the blocks, not the game), it’s like Monopoly, it’s timeless... it’s lightning in a bottle – and if Sony play their cards right it could well save the PS3, and propel the console into the stratosphere."
"Total Video Games","100","Undoubtedly one of the finest games in recent years, LittleBigPlanet deserves every single shred of a 10. You won't find a more polished or rewarding videogame this year, and for quite some time we'd imagine."
"GamePro","100","There's really nothing I can say other than this: if you own a PS3 and you don't buy LittleBigPlanet, you are robbing yourself of one of the most unique gaming experiences ever designed."
"Edge Magazine","100","It’s a multiplayer riot, a visual landmark, a feat of engineering, and one of the most charming games ever made. But even those accolades are dwarfed by its scope, its potential, and the apparent endlessness of them both. [Dec 2008, p.76]"
"G4 TV","100","It’s so satisfying to finally have a game that not only lives up to the hype but exceeds it so many ways it’s almost unfair."
"Kombo","100","LBP is one of the most important games to be released this decade. A tall order with the hype machine running overtime for the game but the way it reinvents how video games are played is sure to have lasting effects indefinitely. It is impossible not to fall in love with all the charm LBP oozes."
"Game Revolution","100","Little Big Planet is just what Doctor Sony ordered: universally appealing gameplay with an appealing everyman hero that is connected to streaming delivery of new content. Sony should be lauded for such a gamble, and Media Molecule should be praised. This is a rare toy that has the capacity to inspire the inventor, the explorer, and the gamer."
"1UP","100","Yes, it's the most charming game that I've ever played, and it's one of the most enjoyable. But the real beauty of LBP is even less tangible: creative empowerment at its finest and an unparalleled motivator to want to create."
"ZTGD","100","Consider the purchase of your PS3 more than justified."
"Gaming Age","100","LittleBigPlanet is a beautiful, happy, extremely eye-pleasing game that will put a smile on anyone's face who plays or merely watches it. Like Sackboy himself, it's impossible to not find the game both attractive and aesthetically pleasing."
