"publisher","score","review"
"Playstation Official Magazine UK","100","Guns of the Patriots is almost intimidating in the consistent quality of its ideas, invention, and execution...Even by the series' stratospheric standards, MGS4 is a remarkable high point. [June 2008]"
"GamePro","100","The Playstation 3 finally gets its ""savior"", Kojima gets his masterpiece, and gamers get one of the best games of all time. [July 2008, p.72]"
"Playstation: The Official Magazine (US)","100","If you come to the game with no prior MGS knowledge, you'll still uncover one of the most absorbing stories ever told. [July 2008, p.38]"
"Game Informer","100","As the crowning achievement of the series' 20-year history, Hideo Kojima's final Metal Gear Solid title may not be what you expect, but it is everything you could hope for in a video game."
"IGN","100","Is it possible to give a game an 11? If so, this would be the game that would merit that score. Metal Gear Solid 4: Guns of the Patriots is a title that exceeds all of the hype that was attached to the title."
"Gameplayer","100","But at the end of the day, even the most vehement of MGS detractors will put their hand up and admit – Metal Gear Solid 4 is, by far, the most polished combination of presentation and gameplay this generation. It sets a new benchmark in terms of production values, and will blow your tiny little mind to smithereens on more than one occasion."
"GameSpot","100","For anyone who appreciates games that rise above the simple act of pushing a few buttons and pulling a few triggers, Metal Gear Solid 4 is a stimulating ride that you won't soon forget."
"Console Monster","100","There's just moments of absolute genius that make this game probably the best video game I've ever played - and I've played quite a few!"
"PSX Extreme","100","There is no doubt about it, but this is easily the best experience you'll have on the PlayStation 3 to date, simply nothing comes close to MGS4's presentation, story-telling, gameplay, visuals, and sound. The amount of classic homages paid to the previous games, with one in particular, will leave you breathless and, perhaps, emotional."
"AceGamez","100","A one of a kind masterpiece. I doubt that any game series will ever build up to such a culmination as this one has, with so much thought, effort, and passion put into it. Hideo Kojima set out to move and excite people, to truly make a work of art, and not just a fun videogame. Metal Gear Solid 4 is an accomplishment like no other."
"G4 TV","100","While debate will no doubt rage over the story and its outcomes, there really isn't a single wrong move in the gameplay sections."
"Kombo","100","Metal Gear Solid 4 is a game that pushes. It pushes the PS3 into beginning to realize its potential."
"MEGamers","100","A true masterpiece that will be revered for years to come like its predecessors, but one that will stand through the tests of time and will still be referred to as perhaps the pinnacle of storytelling in videogames."
"Giant Bomb","100","None of the game’s minor blemishes are enough to detract from its massive overall impact. It’s the surprising entertainment value of the action, the mind-blowing visuals, and the completeness of the story’s conclusion that make this last installment so satisfying. Metal Gear Solid 4’s positive qualities make it one of the most significant game releases of this generation, and anyone with an appreciation for the evolving form of the medium would do well to play it from start to finish."
"Thunderbolt","100","Metal Gear Solid 4: Guns of the Patriots will surely set the bar for this generations in terms of quality, and should be the benchmark for a truly great game."
"Gaming Age","100","Kojima wrapped everything up in a nice little bow and gave it to us as a parting gift. Your questions get answered, your heartstrings get pulled, your mind gets blown, and you finally get the closure you've spent the last two decades earning."
