"publisher","score","review"
"GamePro","100","Few games so deftly balance the contrasting qualities achieved here. It's at once both epic and intimate, earnest and lighthearted. The scale of it is truly magnificent, but often its largest and most moving moments come from the smallest and most carefully composed scenes."
"Cynamite","100","Assassin's Creed 2 manages to surpass its predecessor in almost every way."
"GamesRadar+","100","A huge improvement over the first game, Assassin’s Creed II offers up an enormous, beautiful open world that’s easy to get lost in, an epic storyline and all the fun that comes from creatively killing villains and tearing across 15th-century rooftops at ridiculous speeds."
"GameSpy","100","Fantastic narrative aside, the most important thing to know about AC2 is that it won't make you want to throw your controller through your TV like the first game did."
"The A.V. Club","100","Ezio feels complex and human. This virtual version of Florence feels vital and real. From the ashes of the overwrought, flawed original comes one of the few videogames that truly qualifies as an adult, mature experience."
"GamerNode","100","ACII so satisfyingly delivers upon every aspect first laid out in its prequel, as well as many new gameplay elements and non-gameplay additions that transcend the medium, that it is difficult to offer anything but praise for this superb title."
"Gaming Age","100","It's a fantastic follow-up, probably one of the best sequels you'll ever play, one that actually takes the complaints of the first game and improves upon them tenfold."
"Extreme Gamer","98","Assassin’s Creed II is a worthy successor of one the most intriguing new franchises we have seen in a long time."
"GameFocus","98","I couldn’t be more pleased at the progress that Ubi Montreal made and the completely unabashed way they took the criticism to heart of the first AC. They’ve lovingly crafted a set of gameplay systems that not only improved on their first entry, but also rendered it completely obsolete. The game learned from its mistakes the first time around and fought its way back to the top of the pile."
"Impulsegamer","97","In conclusion, Assassin's Creed II is a worthy successor and goes beyond the original game with a very interesting story and some almost perfect gameplay."
"GamingExcellence","97","Assassin’s Creed II is one of those few games that manage to be both intimate and epic."
"3DJuegos","96","Assassin’s Creed II is a gem, a truly masterpiece. Developing a new economic system, and bringing more attention to combats, notoriety and context-script, Ubisoft achieves an awesome and epic experience. This sequel is far better than the first one."
"ZTGD","96","I admit the first 30 minutes of the game feel really slow and disappointing, but once you move past that it easily becomes one of the best games I have played this year."
"Gamer 2.0","96","The Italian countryside was a perfect fit in both design and gameplay and many of the new features should keep fans entertained for quite a while.  You simply could not have asked for a better addition to the Assassin’s Creed franchise."
"Everyeye.it","95","Assassin's Creed 2 is miles away form the first chapter. It's a whole new game, different in many aspects. The main quest is involving and nice to play, and the number of side mission and extra activities is impressive (and all of them are fun to play). The setting is peculiar and unique, and the panoramic views are sharp and, somehow, magic."
"Game Informer","95","Assassin’s Creed II is a complex, mature, and engaging journey from beginning to end. It stands as a benchmark for design that combines innovative ideas with tried-and-true techniques to create one of the great games of this generation."
"TeamXbox","95","A game that takes the free-running and huge cityscapes of its predecessor and adds in a host of action-RPG elements that combine to form a much deeper and more satisfying game, and a surprise frontrunner for the best of 2009."
"Gamer Limit","95","Assassin's Creed II is a vast improvement upon its predecessor, and it delivers an engaging narrative with a heap of longevity."
"WonderwallWeb","95","A huge improvement over the original, every element has been looked at and worked on making it a joy to play. Another must have top title."
"Xbox Achievements","95","Assassin’s Creed 2 does exactly what we want a sequel to do. It improves on the original vastly and corrects all the errors, it adds a ton more depth and content, yet it still manages to encapsulate the charm of the original."
