"publisher","score","review"
"GameSpy","100","This action-adventure is so smart, so well-written, and delivered with such an obvious love for its source material, I daresay it is both the best licensed game ever made, and arguably the best game of its kind in our current console generation."
"ZTGD","100","One of those games that comes along every few years that will have gamers talking about it long into the future. It is this year's BioShock, and I for one could not put it down from start to finish. If you enjoy great narrative, interesting boss encounters, fresh gameplay and of course everyone's favorite detective then Arkham Asylum will not disappoint."
"Gaming Age","100","It's excellent in nearly every aspect, and certainly one of the best games you'll play this year, let alone the best licensed game I've ever played (sorry Riddick). If you've been on the fence about this one, I highly suggest you pick it up, there's nothing here that'll disappoint, and like I mentioned, the gameplay is so great that you don't need to be a Batman fan to appreciate how great the gameplay is."
"The A.V. Club","100","The game also feels decidedly adult; it’s unafraid to take dark turns. The writing and themes become unexpectedly morbid in later stages. It’s obvious that Arkham was created with reverence, genuine craft, and love. There’s a rare, considered quality behind everything on the disc, which makes this an absolute must-play."
"Impulsegamer","100","Batman: Arkham Asylum is the ultimate Batman experience, hands down."
"Giant Bomb","100","This is a full-on experience devoted to all of the different facets of being Batman, from the gadgets that help him along, to striking fear in the hearts of his opponents by carefully lurking in the shadows, to taking challenges head-on with little more than his feet and his fists, to straight-up acting like a detective, hunting around for clues. This all translates into an adventure full of variety, with each different aspect coming in at such a high level of quality that it just keeps impressing you over and over again, right up to its final moments."
"Cynamite","100","Batman's trip to the asylum has hardly any flaws. The controls fit perfectly and the missions will entertain you every second you play this game. Buy it, play it, love it."
"DarkZero","100","Rocksteady have proven that they’re a company that really care. They actually ‘get’ Batman, they’ve looked at the character from every conceivable angle and strived to make this everything anybody could possibly want from a Batman game."
"GameFocus","98","The grim set-up mixed an incredible voice-over work and great storytelling makes of Batman: Arkham Asylum, not only the best Batman game ever published but also the best comic-book/superhero videogame so far and a very serious “Game of the Year” contender."
"MEGamers","97","Batman: Arkham Asylum is not just the best comic game ever, the game actually managed to rank high in our best games of all time list.  Whichever system you own and regardless of your gaming budget, the Dark Knight’s latest adventure is not one to be missed."
"Games Master UK","96","Arkham Asylum is a game with the power to utterly captivate you and can stand proudly alongside modern classics such as ""Resident Evil 4"", ""Gears of War,"" and ""BioShock""...Simply put, Batman: Arkham Asylum is a masterpiece. [Sept 2009, p.66]"
"AtomicGamer","96","Minor gripes aside, Arkham Asylum is a remarkable achievement both in design and in finally giving Bat fans the game they've been waiting for."
"Game Informer","95","Batman: Arkham Asylum is this year's ""BioShock,"" not just from the connection established with the world, but from its ability to innovate where new ideas are needed, and moreover, deliver an adventure unlike any other. [Sept 2009, p.82]"
"Xbox World 360 Magazine UK","95","A massively impressive licensed game. Without a license holding it all together Arkham Asylum would have been a stunning game with striking features. That it's all wrapped up in Batman's world makes the experience so much more appealing, and it works both as an extension of lore for Batman enthusiasts and an entry point for those less familiar with the DC universe. [Oct 2009, p.84]"
"GameWatcher","95","Rewarding and engrossing in equal measure, the entire production reeks of quality from the stellar voice work to the jaw-dropping visuals and intuitive control system. Truly this is the Batman game that everybody’s been waiting for."
"BigPond GameArena","95","It combines the best features of any superhero series with fantastic graphics, solid gameplay and outstanding voice acting. The minor flaws - the easy gameplay, the initially confusing layout of Arkham and the occasional loading time hitch - are all negated a dozen times over by the game's character, atmosphere and attention to detail."
"Everyeye.it","95","Batman: Arkham Asylum is simply the best action game of 2009. Rocksteady Studios Production features an outstanding gameplay, a mature and involving storytelling and an astonishing graphic. It's a Must Buy without compromise."
"Worth Playing","95","Fans of the franchise owe it to themselves to pick it up, and anyone with a hankering for a high-quality action game will find Arkham Asylum to be just what the doctor ordered."
"Gamervision","95","A phenomenal achievement, and I can’t wait to see what Rocksteady has in store next—personally, I’m hoping for a sequel set in Gotham City. Arkham Asylum is the kind of game you can’t stop playing, yet don’t ever want to end; it was almost a shame to have to review it, because I really wanted to take my time and enjoy every inch of Arkham Island."
"Extreme Gamer","95","With the beauty of this game, the amazing sound, script and voice-acting, this is definitely one game you would be –ahem- batty to not buy."
"GameZone","95","There is not a single-element of the Batman that this game doesn't nail, from the gadgets to the atmosphere and the combat. The action is thrilling and varied, and even the fetch quests are compelling."
"WonderwallWeb","95","Not only is Batman Arkham Asylum the best superhero game ever made but it could also content with some of this years big hitters for game of the year. A must buy."
"PGNx Media","94","Batman: Arkham Asylum would be a terrific third-person action game on its own thanks to the excellent combat engine and well-designed levels. But coupled with the Batman license the game becomes a must-play."
"Play.tm","94","The entire production reeks of quality from the stellar voice work to the jaw-dropping visuals and intuitive control system - truly this is the Batman game we've all been waiting for. It is to games what ""Batman Begins"" and ""The Dark Knight"" are to movies - Batman: Arkham Asylum is without doubt the most definitive videogame realisation of the character yet. It's also unreservedly brilliant to boot."
