"publisher","score","review"
"Telegraph","100","Modern Warfare 2 crosses into the must-have category of video games effortlessly. It offers an unmatched shooter experience, a compelling story mode, a slick package of mini missions and a multiplayer which is pretty much unparalleled in depth."
"Cynamite","100","Modern Warfare 2 offers epic gameplay, a stunning Spec-Ops mode and a huge amount of adrenaline."
"GamesRadar+","100","Anyone who already has issues with the single-player ‘style’ of IW’s games will still find fault with the scripted, linear experience, but in terms of sheer drama and show-stopping set-pieces accompanied by laser sharp FPS controls, Modern Warfare 2 is your daddy. And that’s without Spec Ops and Multiplayer."
"Giant Bomb","100","You're always unlocking something and messing around with your created classes to find just the right balance of tactics and murderousness. That balance is the true core of Modern Warfare 2's online play. It's an exhilarating mix that forces tension by rewarding you for taking it slowly."
"GamePro","100","As much as I liked the single-player, even I have to admit that the multiplayer is where the real action is, and its new additions should (hopefully) help counterbalance some (but probably not all) of the dissension that will arise from the n00b friendly changes I noted."
"Official Xbox Magazine UK","100","This is a textbook example to other developers of the love, care, attention, polish and guile needed when crafting a sequel. An essential purchase for all FPS fans. [Ryan King]"
"1UP","100","Mixing real-world locations with bombastic set-pieces MW2 continues the guided, thrill-ride experiences of its predecessor, and adds even more depth to its multiplayer offerings. It might not have fixed all the problems from the first game, but there's just so much quality content packed into this game that it will almost certainly be one of the most-played games in your library for a long time to come."
"GameSpy","100","The fact that I didn't even get into the stunning visuals and amazing sound design speaks volumes about the sheer amount of content in the game, and I could probably write another 800 words simply about the ridiculous attention to detail on display in each level."
"Gamer.nl","100","The singleplayer knows no competition and the multiplayer and brilliant Special Ops-mode make Modern Warfare 2 a phenomenal package. There are truly some scenes in the game that can affect the way you think and feel. After five games, the series seems to have found its high mark. One of the best shooters ever."
"Eurogamer Spain","100","Buy it, play it and enjoy it. Few games offer this much: a great (albeit short) campaign, incredible multiplayer modes and the Special Ops mode, which could be sold as a standalone game."
"VideoGamer","100","It's hard to see the majority of people wanting to play any other multiplayer shooter until the next CoD is released, such is the quality of what's on offer here...Call of Duty: Modern Warfare 2 takes everything that was great about CoD4 and ramps it up to the next level. With the best multiplayer shooting that money can buy, an incredibly action-packed campaign and plenty of superb two-player co-op levels, this is without a doubt a real contender for game of the year."
"GameShark","100","Modern Warfare 2 has stepped up its game and it has been well worth the wait."
"DarkStation","100","What impresses me so much about this game is not only that it has a tremendous amount of hype surrounding it which it does, but that it delivers even through all of that."
"AceGamez","100","Call of Duty: Modern Warfare 2 is the defining first person shooter of the current generation and it’s hard to imagine that anyone will better it anytime soon."
"Game Chronicles","99","Infinity Ward delivers the ""greatest hits"" of action movies with references to Cliffhanger, Red Dawn, The Rock, and even Spies Like Us. You’re fighting in the arctic one minute and crossing the desert the next, or you might be performing a rescue operation on a terrorist-controlled offshore oil platform or infiltrating a Russian submarine base."
"Game Informer","98","Modern Warfare 2 is a masterpiece of careful iteration, with an unmatched presentation and a well of content that will take months to run dry."
"Cheat Code Central","98","With a great six to eight hour single-player campaign, the fun Special Ops mode meant to be enjoyed with a friend, and its endlessly replayable multiplayer experience, MW2 has a ton of content and reasons to keep coming back to it."
"Planet Xbox 360","98","Graphically Modern Warfare 2 sets a bar so high that the game that our industry will look to it as a blueprint of what can be done on next-gen systems. The developers found a perfect balance between realistic and entertainment (just wait until you play-through the airport level) that there were points during our review period that we actually forgot we weren’t watching a HD movie."
"TeamXbox","97","I was impressed by its presentation, visuals and the wealth of gameplay it offers. I even enjoyed its story—though it’s admittedly fluffy, convoluted and campy in spots, it’s like a interactive war movie on TV that takes liberties with realism for the sake of being entertaining to watch (such as having an amazingly large number of helicopters crash to the ground over the course of the game)."
"XboxAddict","97","Modern Warfare 2 is sensational, and sets a very high bar in the Call of Duty series. Well done guys!"
"Vandal","97","It was expected to be one of this year greatest gamers, and yes, it is."
"MondoXbox","97","Modern Warfare 2 was super-hyped, but Infinity Ward didn't disappoint: this is undoubtedly the most spectacular FPS around, made with extraordinary care and attention to details. If you're looking for an astonishing single player experience or a deep and enduring multiplayer, this is the game to buy."
"Gaming Target","97","Infinity Ward hits another one out of the park with Modern Warfare 2."
"Xbox Achievements","96","Modern Warfare 2 shatters the old standard of excellence and has raised the bar for what it means to be an epic shooter. With a mind-shattering campaign, superb co-op play, and the deepest multiplayer experience on Live, Modern Warfare 2 is one of the greatest shooters in gaming history, and a must-own for fans of the genre."
"Console Monster","96","Multiplayer is fast, frantic and as exciting as ever."
"Gameplanet","95","Everything a great sequel should be, and fans of the series will love the additions Infinity Ward have included this time around. Easily one of the best games this year, and a contender for the best shooter currently available for next-gen consoles."
"BigPond GameArena","95","When it comes to games which offer single and multiplayer, you'd have to be a harsh judge to claim a better first person shooter on console has been released this year, if ever. Modern Warfare 2 is closer to fulfilling the promises made by Xbox 360 and PlayStation 3 than any game out there beyond Uncharted 2."
"GameTrailers","95","The air of unpredictability and the care that was paid to each separate element puts it in lofty company. The multiplayer hasn't received an overhaul, but considering most shooters are still playing catch-up with Call of Duty 4, the tweaks and twists make it the best multiplayer shooting experience in the industry. Few games manage to meet such high expectations."
"Meristation","95","The War on Terror never rests. The same goes for Infinity Ward, who raises the bar again with Modern Warfare 2. Its new campaign keeps delivering a cinematic, inmersive, and visually spectacular experience, while polishing AI and respawn issues, and offering a minimum of 8 hours of gameplay. Without a multiplayer rival, where it's as powerful as a Tactical Nuke, including a first approach to coop, and archiving excellence in every aspect, this last Call of Duty proves itself as a very solid candidate to become the game of the year."
"3DJuegos","95","The surprise factor of the first Modern Warfare is missing, although it doesn’t affect this awesome sequel which is even better than the former. This new Call of Duty iteration exceeds every expectation and earns a place among the best shooters of this year."
"IGN","95","For those planning to check out everything Modern Warefare 2 has to offer – online competition, full co-op Spec Ops mode, as well as the campaign – you’re looking at a no-brainer purchase. For the strictly single player crowd, however, Modern Warfare 2 is surprisingly short, and doesn’t live up to the standard set by previous Call of Duty games."
"Gamervision","95","The story is compelling, the multiplayer is addictive, and Special Ops mode comes out of the gate swinging, prepared to shock gamers with a feature most likely didn’t know existed. The package, on the whole, is spectacular, there’s no two ways about it."
"GamingTrend","95","Perhaps the greatest feat that Infinity Ward has performed is not only living up to the hype of Modern Warfare 2, but actually exceeding it."
"Play Magazine","95","But value and longevity be damned, it’s the emotional impact Modern Warfare 2 brings to the table that in the end deserves the highest of praise."
"Play.tm","95","The cinematic appeal of the singleplayer action makes it infectious and hugely memorable in a way few if any other games can manage. That this is bundled with the best multiplayer experience of any game really leaves us in little doubt that this is the complete package."
"WonderwallWeb","95","Modern Warfare 2 raises the bar for online gaming making this a must have for this area alone."
