"publisher","score","review"
"ZTGD","100","Spread across twenty-six chapters is a story as playful and worthwhile as the gameplay."
"Game Revolution","100","Among Thieves is all about constant movement. And even movement on top of movement. It grabbed me from the beginning and didn't let go for twelve hours. Once I finished, all I could think about was playing it again. More than a defining game for the PS3, Uncharted 2 is a defining game of this console generation."
"RealGamer","100","Its high production values shine out in its excellent visuals, brilliant sound design and intense and immersive gameplay."
"Gamer Limit","100","Naughty Dog has created one of the true masterpieces of our time by combining engaging gameplay, an adrenaline pumping character driven story, and a solid addictive mutliplayer mode, which holds hundreds of hours of potential."
"D+PAD Magazine","100","Left me wishing I had enough time and luxury to jump straight back in and take the entire journey again. It's destined to enter the annals of gaming's classics in years to come."
"Playstation Universe","100","With Among Thieves, Naughty Dog has shattered the proverbial bar it created with the 2007 original. This is quite possibly the best game to have graced the PS3, and without a doubt one of the greatest titles ever conceived."
"Gamer's Hell","100","Among Thieves is not only one of the best games of the year, it's also the benchmark for action games to come."
"GameShark","100","Uncharted 2 is easily one of the best games released on the PlayStation 3, but also finds itself as one of the best releases across any platform in recent memory."
"AceGamez","100","Uncharted 2 is an exemplary title and one that smacks of a developer at the peak of its game. From every piece of cover and set-piece thrown in fiendishly to catch you unaware, to the expertly crafted multiplayer maps and top quality cut scenes, it is clear that a innumerable amount of dedication and painstaking precision has been squeezed out of the team to help make this the PS3's crowning moment."
"Gaming Nexus","100","The level of polish is near perfect."
"Kikizo","100","Lacklustre finale aside, this is everything you could ask of a headline third-person shooter and more."
"Armchair Empire","100","This isn't just the best game released this year, or even the best Playstation 3 game yet, it's one of the best games released during this generation of consoles."
"DarkStation","100","If there is one game for the Playstation 3 this year that I would say is a ""must buy"" Uncharted 2 is that game, it truly is one of the best games in years and could very well be the best Playstation 3 game of 2009."
"Gamestyle","100","It's truly an adventure from start to finish, and something that every gamer should experience."
"Playstation: The Official Magazine (US)","100","A veritable master class of all-round game development. From a sensational single-player experience that never takes any short-cuts and maintains its story's mythological credibility right to the end to the co-operative online play to the robust, balanced, and just plain fun multiplayer modes, this is a package of content that more than earns its $60 price tag... [It's] this season's biggest PS3 victory. [Nov 2009, p.42]"
"GamesRadar+","100","Brilliant, brilliant, brilliant. It looks amazing, plays like a dream and the voice-acting/story-telling will hook you in right from the off. PS3 officially has it's a killer-app and a million tears are shed by 360 fanboys."
"Playstation Official Magazine UK","100","Unless you're born without thumbs, eyes or a sense of humour, it's obvious that Uncharted 2 is a 10/10 game after two minutes of the first level...It's the most complete, polished and fun adventure game - and maybe just game - on PS3, and it's absolutely essential. [Nov 2009, p.101]"
"Eurogamer Portugal","100","Could use many words to describe Uncharted 2: Among Thieves, but I will just use one. Too beautiful."
"Eurogamer","100","Whether or not the multiplayer sticks, however, is arguably a footnote, because at the core of Uncharted 2 is an action-adventure masterpiece whose minor flaws are washed away on a tide of rhythm and spectacle - one that would still be an essential experience even without the option to pull your friends off cliffs and play capture-the-heirloom."
"Computer and Video Games","100","It takes elements from a lot of games - the exploration of Tomb Raider, climbing of Prince of Persia/Assassin's Creed, combat from Gears of War and stealth from Splinter Cell, yet it amalgamates all of these elements perfectly into one package. You can't compare it to any other game."
"Eurogamer Spain","100","Uncharted 2 does not reinvent the gaming language, but pushes this genre to new limits. If you don't have a PS3, buy one to play this game."
"PS3bloggen.se","100","Naughty Dog have created an amazing movie adventure on the PS3 with unparalleled graphics, fantastic dialogue and amazing platforming elements. There is no need to wait for the film version of this game, as it's already arrived in everyone's living room. Unmissable."
"GamePro","100","The A.I. is a little suspect, the camera can be stubborn, and you will die your fair share of cheap deaths. But it's still a fantastic effort and Naughty Dog deserves full credit for building upon the momentum of the first installment. PS3 owners should definitely experience it, especially if they liked the original."
"1UP","100","Uncharted 2 is simply a vast improvement over its predecessor, and it's a damn great PS3 game. Let's leave the ""are games art?"" question for another time; what Uncharted 2 proves is that games are, at the very least, craft. Just as Raiders is Spielberg at the top of his game, Uncharted 2 is Naughty Dog at the top of theirs, and further proof that they are masters of their craft. [Grade = A+]"
"Playstation Official Magazine Australia","100","The spectacular combination of generation-defining visuals, high adventure and cinematic intensity makes Uncharted 2 absolutely essential. There aren't any reasons not to own this game. [Nov 2009, p.64]"
"Level7.nu","100","The sequel to the masterfully crafted Uncharted: Drake's Fortune manages to up the notch to a whole new level, the result being the best adventure we've seen on this generation of console hardware. Praise be infinite when looking at the different aspects of the Uncharted 2 experience: fantastic graphics, great cast of characters, superb level design, masterfully directed movie sequences, fun combat and a well told story all make up what is undoubtedly a landmark of game design. Add to this a great online co-op mode as well as fun multiplayer modes and you get a game that by itself is a reason to buy a PS3."
"Cynamite","100","Uncharted 2 is one of the most memorable video games ever created. Not because it is particularly innovative, but because the mixture of shooting, climbing, creeping, thinking, laughing and simple astonishment works perfectly."
"Total Video Games","100","Uncharted 2 is a magnificent example of how this generation can infuse movie production quality with enjoyable gameplay and maintain a sense of fluidity throughout the feature presentation. The sheer craft on display throughout every single moment deserves every accolade it receives; truly Naughty Dog has delivered a generation-defining experience that is worthy of buying/borrowing/stealing a PS3."
"Gamer.nl","100","No game is perfect. But Among Thieves does so many things incredibly well, that any miniscule faults that may have crept in the final game don't matter at all. Gamers that buy Uncharted 2 will be breathless after playing through one of the most incredible and intense adventures ever. The dialogue and the humour are the icing on the cake."
"Eurogamer Italy","100","Uncharted 2 is not innovative. But everything in it is better than in the first chapter. And everything seems nearly perfect. It is simply the new standard for the action adventure genre. A perfect mix between single player and multiplayer and something that will pave a new way for videogames. Any other production in the future will have to look at it. As we said at the beginning: the perfect game doesn't exist...but Naughty Dog seems really interested in finding a way to bring it to us."
