"publisher","score","review"
"Guardian","100","Treyarch's game is exhilarating and beautifully orchestrated, but it feels like a full-stop, it needs to be a full-stop, because toward the end of the campaign, bombardment fatigue begins to set in."
"Planet Xbox 360","100","There are few video games released this year that you simply cannot miss, Call of Duty: Black Ops is one of them."
"Gameblog.fr","100","Congrats Treyarch, you passed the test. Black Ops still has some technical flaws (some erratic scripts), but it doesn't lack ambition, variety, nor freshness. Its solo campaign boasts a good scenario, and its multiplayer is as comprehensive and solid as ever, while changing some basic systems for the better and introducing soon-to-be-cult new modes, as well as community features one could only find in the latest Halo iterations before. There may be ways to improve it yet again, but the 2010 CoD delivers on its promise - we can't say anymore that Treyarch's Call of Dutys don't measure up."
"Game Chronicles","100","I admit I had my doubts about Black Ops. It seemed that Modern Warfare 2 was going to be impossible to top, but Treyarch has come in and trounced that game in every possible way."
"GamePro","100","The good news is that the game is absolutely worth the investment, and even if you find yourself disagreeing with some of the changes Treyarch instituted or you run into a bunch of morons who are hell bent on ruining a particular mode for you, you have plenty of other options to keep you engaged for a good long time."
"GamerNode","100","While maintaining the quality standard set by its predecessors, this explosive adventure through the conflicts of the Cold War pushes the series and the genre one step further."
"GameShark","100","Treyarch didn't reinvent the wheel with Black Ops. Instead of fixing what wasn't broken, the oft-maligned developer gave it a needed polishing and sent it on its way. With everything that this game has to offer, both on and offline, it will be a resident of console drives for a long time to come."
"Cheat Code Central","98","There is so much content packed into this game that I couldn't even fit all of it into my review. However, even the multiplayer alone is enough to warrant this rating."
"MondoXbox","97","Treyarch finally comes out of Infinity Ward's shadow, producing the best CoD to date. An epic and intense game, with a very good story and and many ways to enjoy it other than the single player campaign."
"XboxAddict","96","Conclusion is Treyarch had very large shoes to fill, and let me tell you they passed with flying colors, erasing any doubt that I ever had about them making the next Call of Duty titles for years to come."
"Vandal","95","Maybe gamers doubted if this Black Ops was going to be on par with the games made by Infinity War, but it even surpasses them in some aspects."
"Official Xbox Magazine","95","Quotation forthcoming."
"Multiplayer.it","94","Call of Duty: Black Ops is a great game with a stunning, quite long, thrilling campaign and a well devised multiplayer with a few good stuff like the wager matches and the ingame currency that let you customize your character."
"Games Master UK","94","It's gaming popcorn and gaming porn rolled into one oh-so-decadent whole. [Jan 2011, p.69]"
"SpazioGames","93","After years following in Infinity Ward's footsteps, Treyarch has a chance to show its qualities, and it delivers. Black Ops has everything the community is looking for: a compelling, spectacular and interesting story mode and an impressive multiplayer will keep the players busy for a long time. Add a beautiful design and a great direction in the mix, and what you get is simply a masterpiece in the first person shooter genre."
"Computer and Video Games","93","A thrilling and brutal single-player campaign that's one of the series' best. But will you be blown away by multiplayer the fourth time around?"
"GameTrailers","93","The total amount of worthwhile content makes paying full price for most other games feel like a crime. Treyarch has closed the gap between its games and the Modern Warfare franchise with boundless customization, a keen sense of what makes the formula a success, and listening to fans. You won't regret answering the call once again."
"Da Gameboyz","93","Black Ops is simply a terrific game and a solid addition to the Call of Duty franchise."
"3DJuegos","91","Black Ops is one of the best first person shooters this year, and is a obviously must have for any action fan. Intense, gory and quite brilliant, maybe it's not refreshing but at the same time its a stunning game."
"Game Revolution","91","Black Ops' minor flaws won't deter you from its gripping storyline and gratifying multiplayer modes."
"1UP","91","It's easy to say that this is Treyarch's best game...when it's not just trying to imitate Infinity Ward."
"GamingTrend","91","Whatever your gameplay preference is, Call of Duty: Black Ops has you covered and is a must-have title for any shooter fan."
"Cynamite","90","There are more highlights in the first two missions of Black Ops, then in Medal of Honor. The requirements of Treyarch seemed to be better, than in the past few years. They made an interesting setting. In addition, there's a nice zombie mode and an overwhelming multiplayer. No doubt, this is Treyarchs best Call of Duty ever!"
"Gamer 2.0","90","All in all, you simply cannot find a better package out right now."
"Everyeye.it","90","Thanks to an intense storytelling, a thrilling plot, and a redefined multiplayer, Black Ops is the best Call of Duty developed by TreyArch studio, and one of the most interesting chapter ever. Year after year, this great series keeps on arousing a huge amount of videoplayers."
"Eurogamer Italy","90","Call of Duty: Black Ops is a great game, despite not being as perfect as we could believe. The single player campaign presents some narrative solutions that make it boring sometimes , but on the other hand everything on the multiplayer side is pure gold! The new modes can provide a lot of fun and if you liked the previous CoD for the online, Black Ops will be your next divinity to adore."
"Gamereactor Sweden","90","Treyarch honors the Infinity Ward heritage in the best possible way with exiting single player and outstanding multiplayer. A must-have for all action fans out there."
