"publisher","score","review"
"X-ONE Magazine UK","100","A Batman game like never before. Fans will feel like they're dreaming, whereas everyone else has an incredibly large and in-depth world to enjoy and engage with. It doesn't get much better. [Issue#78, p.80]"
"Gaming Nexus","100","Arkham City is not just one of the best games of the year, but also one of the greatest comic book games of all time!"
"GamerNode","100","Rocksteady Studios has done it again. It may not be perfect, but it has taken it's predecessor's place as the best superhero game of all time. One of the best that this year has to offer."
"GameShark","100","Arkham City, on the other hand, is a game about saving a city, Gotham City, and the experience is all the better for it."
"PALGN","100","Believe the hype. Arkham City is one of the most important games made for this generation and it's also a masterclass in design, execution and treatment."
"Eurogamer Italy","100","Arkham City easily beat its predecessor Arkham Asylum in every possible way. It's a must-have and a serious contender for the ""Game of the Year"" title."
"Gaming Age","100","Arkham City is huge, filled with secrets, and if you're a big Batman fan you'll love all the appearances tossed in, both for the good and bad guys. The addition of a New Game Plus mode also provides an astounding amount of replay value, and if you're any kind of completionist, you'll spend dozens of hours exploring the city for every little secret it contains. It's easily one of the best titles I've played all year."
"ZTGD","100","Batman: Arkham City is a rare treat, much like its predecessor. Not only is it a great licensed game, it is quite possibly the best superhero game ever made."
"Gamer.no","100","With one of the best open worlds in any game and an immaculate mix of great side missions, tons of content and a fantastic atmosphere, Batman: Arkham City stands among the greatest action experiences in recent times."
"Official Xbox Magazine","100","A week after beating the main campaign (at which point, we dove right back to side missions), its final image is lodged in our heads. And that's okay, because every time we think of Arkham City, we smile."
"GameWatcher","100","Arkham City is stuffed to the edge of the disc with content and replay value (in addition to the gigantic campaign there's an expanded Challenge Mode and New Game Plus), is incredible amounts of fun, is polished to perfection, has had real love poured into every aspect, and most importantly, it makes you feel like Batman."
"GamePro","100","There's a real sense of progression to Arkham City in its gameplay, in its story, in the variety of its missions (the abundance of open world side-quests will keep you busy for a long, long time), and in the evolution of its pointy-eared protagonist, that really deserves to be commended."
"Guardian","100","Stands head and shoulders over its previous efforts. Despite facing stiffer competition than its predecessor, Batman: Arkham City is easily the best Batman video game of all time."
"Digital Spy","100","The richness of the world is helped by the fact that Arkham City is a stunning looking game. This is one of the most detailed, rich and vibrant open worlds ever created, whether you are gliding over its skyline or striding down the broken-down streets. Considering the size of the world, the rich detail of the interiors is incredible, putting many more linear games to shame."
"BigPond GameArena","100","It's the best treatment of a comic book character outside of graphic novels ever. It's the best Action Adventure/Open World game ever. It's the best game I've played this year. And finally, it's the best superhero game you've ever played."
"Gameblog.fr","100","Rocksteady delivers a new masterpiece, enhancing the original in almost every way. Batman Arkham City offers a better story, masterfully paced storytelling, more freedom, more surprises, secondary missions and tasks, an intensified combat with new moves... To sum it up, a follow-up that met our expectations, without forgetting the strengths of the original, and growing up to be a spot-on tale of adventure and excitement: a serious candidate for the GOTY title."
"GamesRadar+","100","Batman: Arkham Asylum was the greatest superhero game of all time. The sequel, Batman: Arkham City, is five times bigger and about a billion times better. You do the math."
"Telegraph","100","A wonderful, startlingly complete package tailored for the single player. In these days of multiplayer crowbarred into any old game, it's a relief, a bold statement of intent that Rocksteady have created such a supremely focused but hugely expansive video game. It's a brave, committed, confident piece of work."
"Eurogamer Sweden","100","Rocksteady Studios surprised us all back in 2009 by delivering one of the best games that year with Batman: Arkham Asylum. This year they show us that they are a force to be reckoned with when Batman: Arkham City more than lives up to expectations; it surpasses them in what is a very strong contender for Game of the Year 2011. No multiplayer? Who gives a bats a**?"
"Giant Bomb","100","It might not rewrite the book on Batman video games, but when you're building off of such a strong position--and you're only shipping the second game with such similarities, rather than a third or fourth--it's hard to bicker too much about what changes the developers did or didn't make."
