"publisher","score","review"
"Gamer.no","100","This epic role-playing game might be Bethesda's best game yet, and offers an unique and spectacular world filled with fun. The freedom ensures a great experience for both the casual and hardcore gamer, as you're free to play the game how you like."
"Thunderbolt","100","A magnificent hive of creativity and technical clout, and holds a world so open it frequently threatens to overwhelm. Skyrim is forever charming and consistently engaging, and will carve a completely different adventure for every player put under its dazzling spell."
"Total Video Games","100","A masterpiece of free-form gaming; one of the most ambitious games of this generation."
"Gaming Age","100","If you're looking for just one RPG to pass the time with this year (and probably next), Skyrim is definitely it."
"D+PAD Magazine","100","The Elder Scrolls V: Skyrim is so immense and chock-full of content that we could conceivably rant about it for pages, but to do so would only detract from the time you should spend physically playing it."
"DarkStation","100","Skyrim is the game that I would highly recommend to damn near anyone.  It's not too hard to figure out and it's got such an enormous amount of stuff to do that anyone would be able to see what is so special about the game."
"ZTGD","100","Simply put, this is a beautiful game. The scenery on display here is almost unparalleled in the genre. From scenic viewpoints atop snowy mountains to the rushing streams and waterfalls I found myself often just stopping and admiring for a while."
"Gamestyle","100","Skyrim, an absolute masterpiece, the more you invest in the game, the more you get out of it. A truly epic game that deserves all of the plaudits. It is more than a just game, it is an experience."
"GameShark","100","The Elder Scrolls V: Skyrim is a remarkable achievement that despite from a few niggling bugs is an undertaking unlike any other. This could quite easily be the only game you purchase for the next several months and still provide you with a complete sense of satisfaction. There are few titles that offer such an incredible level of value without resorting to multiplayer and for that I applaud Bethesda. Skyrim is a role-playing masterpiece."
"The A.V. Club","100","Skyrim lets these rough edges show, because the element of chaos lets players feel like the game is happening to them, and they are alive in it-not just cogs in a pre-fab Game Experience. That's what sets Skyrim apart from some of its contemporaries. Where many games with lavish production values seek to direct players' imaginations, Skyrim seeks to ignite them."
"Eurogamer Spain","100","The greatest thing about Skyrim is that Bethesda has created a world whereour imagination does not have to fill in the blanks: you just have toexplore them and live them."
"BigPond GameArena","100","Skyrim is completely and utterly addictive in every aspect and quite possibly, I'll say it, the greatest RPG of all time. It affords you the luxury of playing it your way and doesn't try to constrain you. It wants you to get lost in a winter wonderland and believe me, you will. Kiss the rest of your life goodbye."
"Meristation","100","After a trajectory of excellency with Oblivion and Fallout 3, Bethesda reaches a new level this generation, showing they have reached maturity in their unique way of making worlds. Thanks to their generosity, will and ambition, single players fans looking for huge worlds of high adventure can still keep dreaming. Skyrim is an absolute triumph."
"Digital Spy","100","If a deep combat system, an engaging plot, a wonderful cast of characters and a stunning, open-ended game world sounds like something you might be interested in, The Elder Scrolls V: Skyrim should be at the top of your list."
"Wired","100","The game's greatest accomplishment is that it is a paradise of escapism, a lavish love letter to immersion. Diving into Skyrim's world feels both thrilling and comforting, like riding a rollercoaster or swimming in the ocean. There is very little padding. There are very few scripted quests that aren't worth experiencing."
"The Escapist","100","An absolutely first-rate roleplaying game that combines an abundance of content with an abundance of quality. The outdated design elements are unfortunate but not so distracting that it ruins the depth of the story, the openness of the setting, or the visceral joys of combat."
"Game Revolution","100","A testament to the strength and importance of games that create living, breathing worlds, while affirming the value of long-term commitment over instant gratification. The absence of companion control, though a glaring flaw, ultimately does not spoil its purposeful, refined, and genre-defining design. Endlessly replayable and a phenomenal landmark in gaming, Skyrim deserves a place in every true gamer's collection."
"GamePro","100","Like every other game in the series, Skyrim is going to eat hundreds of hours of my gaming time over the next few years. It has that sense of wonder that makes he Elder Scrolls games so great, and with the changes to skills, the Shouts, and dual-wielding, I think any gamer is going to have a lot of fun with Skyrim (and its eventual expansions) as well."
"GamesRadar+","100","Skyrim is sprawling, generous, gorgeous and ambitious. It does what few games can: thoroughly follow through on its ambitions. It could be possible to play only this game for the next year and still not discover all of its mysteries."
"AusGamers","100","If you can only buy one game this holiday season and want your absolute money's worth, there's no looking past what is arguable the industry benchmark for sandbox and emergent gameplay with player-choice at its helm, The Elder Scrolls V: Skyrim. A work of sheer genius."
"Gameblog.fr","100","Take what you loved in Morrowind, cut out what you hated in Oblivion, multiply by 10, mix well, and there you go: you get Elder Scrolls V Skyrim. With its deep background, enticing prophecy, new gameplay mechanisms, Skyrim mesmerizes us into diving in its world completely and forgetting about the usual shortcomings of the series (except the poor animations - they really are too bad to be overlooked). If you like the series, but don't love it, get this game. If you love the series, you better get yourself a pair of fresh undies, and fast."
"Guardian","100","Skyrim is one of the most gargantuan undertakings gamers will experience all year. The sheer size of the adventure, both in terms of its environment and in the amount of activities available to the player, is mind-blowing."
"Gamereactor Denmark","100","It is not often I get lost in a game like I did with Skyrim. Everything about this game screams quality and adventure. While Bethesda hasn't exactly got a track record for delivering bug-free games at launch, this has been a pleasant, polished and amazing experience so far. A much improved third-person view, amazing music, a living breathing world, a menu-system that's amazing and a game filled with interesting stuff to do. Truly a masterpiece."
"Gamereactor Sweden","100","Skyrim is bigger, better, deeper than it's already excellent predecessor and a true masterpiece. This is not only a contender to be the game of the year, but maybe even the best role-playing game ever."
"Official Xbox Magazine","100","Skyrim is the kind of game you can completely lose yourself in for at least a hundred hours, even if you somehow manage to complete the main quest in fewer than twenty. If you aren't normally drawn to role-playing games, get over it - to miss out on this extraordinary gaming experience would be positively criminal."
"Digital Chumps","100","The Elder Scrolls V: Skyrim is breathtaking, engrossing and deep. With gameplay and visual improvements, Bethesda set a new standard in The Elder Scrolls series with Skyrim, and with the action/RPG genre. This most certainly should be the game of the year."
