"publisher","score","review"
"Armchair Empire","100","Overall, this is the best experience I've had playing a Zelda game since Ocarina of Time and I'd have to say they are pretty equal in my opinion. Either way, you won't be disappointed getting this game, it's a masterpiece."
"D+PAD Magazine","100","Pure Nintendo magic."
"DarkStation","100","To reiterate, no one takes advantage of Nintendo's hardware like they do themselves. It establishes a new direction for combat, and even justifies motion controls - something that's been a long time coming."
"Switch Brasil","100","Quoting Robin Williams in the most recent commercial of the game, Skyward Sword is the result of a project of 25 years and a clear confirmation that only the experience of a quarter of a century is able to turn a game into a legend."
"Eurogamer Portugal","100","The Legend of Zelda Skyward Sword is a product that crosses boundaries and imagination itself, delivering everything the fans could wish for a game on a Nintendo Wii."
"DarkZero","100","What Nintendo has done to celebrate 25 years of the franchise is make one of the best games ever."
"Cubed3","100","The beauty of The Legend of Zelda: Skyward Sword is that it extracts the key core elements that make the series so impressive in the first place and brings along a large does of familiarity, but then goes on to mix in a whole host of newly-styled dungeons, brand new puzzles that appeal to a broad audience, as well as superb 1:1 sword control that actually needs to be mastered for progression rather than being added as a gimmick or just for show and a twist on the normal storyline."
"Game Revolution","100","The game is also huge. There isn't a staggering amount of terrain compared to other titles in the series, but Skyward Sword gets every last ounce of mileage out of each area. It takes a few hours just to complete each sub-section before reaching a new dungeon, followed by a few more for the dungeon itself. There's a strong 30–40 hour adventure here before even considering the multitude of sidequests you can take on."
"Eurogamer Spain","100","A master class in videogame design."
"The A.V. Club","100","No, Skyward Sword isn't better than Ocarina Of Time. But of all the Zeldas to be released over the last 13 years, it comes closest. The game's greatest achievement is that it never stops aspiring to be more than it is. It never stops reaching for emotional moments, going full-tilt for players' hearts."
"N-Europe","100","An exhilarating journey in every sense. Skyloft is an area you'll want to explore and Skyward Sword is well worth the wait. Prepare to be amazed."
"Eurogamer Italy","100","Skyward Sword will be remembered as one of the greatest chapters of the series. This is the type of game that Wii deserves. Brilliant!"
"Digital Spy","100","With the Wii showing its age more than ever, Nintendo's strategy is to compensate with an immersive interface, mesmerising world and engaging story. It's an approach that pays off, proving that gameplay should be valued above all else."
"Telegraph","100","Every moment is a joy. As Skyward Sword progresses, each new area or item feels like The Legend of Zelda shedding some of the trappings of its past. It never veers too wildly from its time-honoured formula, but in every sense this is the freshest, most contemporary Zelda game in over a decade. An ingenious collaboration of design and motion control, the only shame is that it's taken the Wii so long to come to such fruition."
"Nintendo Life","100","A game of stunning creativity: the work of master craftsmen and women, it's a breathtaking technical achievement in many ways, with subtly beautiful visuals and audio blending with rampantly imaginative design. It's as good a Zelda game as we've ever played, and one that fully delivers on the revolution Nintendo promised back in 2005."
"Meristation","100","Timeless masterpiece. This Legend of Zelda takes over from Ocarina of Time. It's a step in the saga and a revolution in the design of third-person adventures. The Wii MotionPlus works perfectly, so the game is especially fun. A gift from heaven!"
"The Escapist","100","Skyward Sword manages to honor 25 years' of gaming history while simultaneously feeling relevant for anyone new to the ways of Zelda - or those who'd perhaps grown a bit tired of hanging out with Link."
"VideoGamer","100","Nintendo's most time- and workforce-intensive project yet, and it shows in every hour you spend with it. It's a masterful blend of taut design and boldly non-traditional controls, an adventure liberally studded with memorable moments it would be remiss to spoil. Your favourite Zelda is usually your first. For many, come November 18, that won't be the case any longer."
"Eurogamer","100","It is the most formally inventive Zelda in a long time (admittedly, that's not saying a great deal). But it's the game's carefree attitude, quick tempo and warm heart that do the most to make it feel new...Skyward Sword will surely be the greatest adventure money can buy."
"Wired","100","The most important change is that most everything feels new. The fights against giant boss creatures at the end of each dungeon don't rely on old ideas. The classic characters are replaced, for the most part, with novel ones. If you already know what's going to happen, is that really capturing the spirit of the original Legend of Zelda, in which we all went in blind? Skyward Sword shows that ""a real Zelda game"" is about more than certain items or certain gameplay rituals, which in the end is more meaningful than adding better sword controls."
"NintendoWorldReport","100","Skyward Sword is an epic, the sort of epic you call out of work or school for a few days to complete. A focused playthrough will take you north of 30 hours, and if you try to 100% the game, there is a 50+ hour quest to go through. Throw in the second quest, dubbed Hero Mode, and there is a lot of game to play."
"Metro GameCentral","100","Revolutionary on at least two counts, with the best motion controls ever seen in a video game and an inspired reinvention and improvement of the Zelda formula."
"Guardian","100","Whether or not it's the best ever Zelda game is open to debate, but it's certainly up there. However, nobody could argue that it's anything less than a masterclass in the art of crafting video games."
"IGN","100","Remarkably, this Zelda game manages to reshape its control scheme, design sensibility and pacing all at once while still telling a brilliantly powerful story featuring some very memorable characters. Increasingly Nintendo refuses to compromise cinematic storytelling for gameplay, finding a balance that seems effortless."
"Cheat Code Central","100","Skyward Sword finally brings satisfying swordplay, delivering on a promise made five years ago."
"Game Informer","100","The biggest surprise in Skyward Sword is the story. For all the different shapes it has taken, the plot of The Legend of Zelda has always been a fairly predictable affair that feels like an afterthought. Skyward Sword doesn't elevate the art of video game storytelling, but it is a major step up for the franchise, with clever writing, an interesting (if strange) new villain, and a wide cast of characters that would feel at home in one of Disney's better animated movies."
"Edge Magazine","100","How apt that this ultimate tale of hero-making should see Nintendo's hardware become the console it was always meant to be."
"Nintendo Gamer","98","A huge departure for Zelda and a proper arrival for motion controls. Link's latest is rule-breaking, dream-weaving, tech-loving, heart-soaring stuff. [Dec 2011, p.45]"
"RPG Fan","98","It's easily the best game I've played in a long time and the benchmark by which future Zelda titles will be judged."
"Digital Chumps","98","Skyward Sword is a masterpiece. It raises the bar for the legendary series and is memorable from start to finish. It's challenging, unpredictable, diverse, thrilling, and endearing. It is the Zelda game you've been waiting for."
"Computer and Video Games","98","A huge departure for Zelda and a proper arrival for Wii's motion controls. Link's latest is rule-breaking, dream-weaving, tech-loving, heart-soaring stuff. If it Wii's last hurrah, they don't come more impassioned than this."
"Official Nintendo Magazine UK","98","Skyward Sword stands as an ode to a series that has endured all of recent gaming history. It marks the dizzying pinnacle of both the Zelda series and motion-controlled gaming itself. It's a huge accomplishment that, even by Nintendo's own record, stands out as one of their finest."
"ZTGD","97","You may hate motion control, but once this game clicks, it is genius. If you are a Zelda fan, you cannot miss this game. It is simply the best Wii game yet, and definitely up there as one of the best Zelda games I have played in years."
"Games Master UK","96","A daring break from the norm for Zelda, but a spectacular, boundary-smashing success. [Christmas 2011, p.76]"
"3DJuegos","96","It's impossible to understand the Wii's existence without the launch of Skyward Sword. The last great game for Wii jutifies the creation of the wiimote and, without being the turning point that we would expect, it's definetely a triumphant comeback in the series."
"PALGN","95","A magnificent homage for the 25th anniversary of one the biggest franchises in gaming, The Legend of Zelda: Skyward Sword provides a compelling gaming and artistic showcase for the indefatigable potential of the medium as a whole, and a reason to have gaming as a hobby."
"MEGamers","95","One of the best Zelda titles I have ever laid my hands on. Its right up there with Ocarina of Time in terms of how many new innovations it brings to the franchise while still holding its Dungeon focused Puzzle approach to the roots."
"Nintendo Power","95","What matters is that it's truly worthy of being called ""epic."" [Dec 2011, p.82]"
"XGN","95","The Legend of Zelda: Skyward Sword shows that neither the series nor Nintendo has lost its touch. The innovative controls add to the gameplay and turn every fight into a challenge. Furthermore, the traditionally strong level design proves itself once again, with the superb music and visuals making this one of the greats of this year."
"GameOver.gr","95","The latest game in this legendary franchise offers an experience like no other. The majestic graphics along with the superb motion control design create the ideal ""swan song"" for the Wii."
"Destructoid","95","My new favorite 3D Zelda title, beating out Majora's Mask and Wind Waker by a substantial margin. It would be hard to go back to any of those games now. All of the gameplay innovations, emotionally involving moments, beautiful little details, and purely blissful experiences in this game have me completely and utterly spoiled."
