"publisher","score","review"
"Armchair Empire","100","Dishonored is put together so well and executes its ideas in such an expert way that it would be difficult to not recommend the game to the highest degree possible."
"Telegraph","100","However you choose to approach Dishonored, it's a game that asks you to think, plan, be smart. It's a wonderfully empowering game because of this, as you lurk in the shadows knowing the powers you possess and the options you have. It's elegantly designed to make the most of those tools, but isn't afraid of changing the rules in order to keep its (admittedly quite predictable) story bubbling along."
"Guardian","100","This a game without the bloat of the modern blockbuster – no co-op mode to allow two friends to assassinate hand-in-hand; no lip-service multiplayer to distract the development team and divert their budget; no upgradable hub to grow or furnish; no open world to impress and weary. Rather you're given a series of handcrafted missions, each with its own optional twists and turns, each with a start, a middle and an end, the plot written by a designer, the script penned by a scriptwriter and the narrative transcribed by you."
"BigPond GameArena","100","Dishonored, like Thief, or Deus Ex, is one of those timeless games you'll play a dozen times. The game world is gorgeous - a steampunk City 17, the story is spectacularly written and almost depressingly dark and the gameplay is wonderful - either as a stealthy game, or an action fighter... or anywhere in between. Dishonored is all about giving - it gives you the weapon, it gives you the name, and then it gives you the choice - vengeance is entirely up to you."
"The Escapist","100","Dishonored gives you a beautiful, fascinating, new world to explore, and then makes it your playground for grand misdeeds. Its story of political intrigue and betrayal is told at exactly the right pace, balancing information with action in a way that keeps you interested, but not overloaded."
"GameFocus","96","Dishonored is a sublime, unforgettable experience that any gamer absolutely needs to try."
"AusGamers","96","A rare kind of game that waltzes into a field of debonaire company yet wows the room regardless. You may not know much of his past or even what his intentions are, but you'll be damned if you don't let him take you for a spin around the room. And at the end of your dance, he'll leave you dizzy and giddy, wanting only for more...One of this generation's best efforts."
"Console Monster","95","So does Dishonored stand up on its own two feet? It most certainly does! On the surface it is easy to compare previous games we have loved, and it is easy to see similarities in style and gameplay, but these are elements that have clearly been learned, honed and enhanced to make Dishonored a title that lives high up in the rooftops of being one of my favorite games of 2012 so far."
"Vandal","94","Brilliant. It's perfect for its proposal, and creates a universe that leaves us hoping that this is just the beginning of a great series. It won't give you something really new, but it's different from what we're used to playing in this generation, which is worth appreciating. A game to remember."
"3DJuegos","94","A dark and amazing game: Its atmosphere, gameplay and artistic work come together perfectly. Dishonored is just a masterpiece, and no action-fan should miss out on it."
"Meristation","94","We love Corvo Attano, we adore how Arkane did it. Dishonored is one of the best experiences of stealth coupled with a sense of completely open and free superpower, in a beautiful world that is a masterpiece. Essential."
"Xbox Achievements","93","Dishonored is this year's must-have new IP, with fresh ideas, plenty of charm and inventiveness, and tying them together in a stylish fashion. Who said creativity in the games industry was dead, huh? Dishonored says hello. Your free time says goodbye."
"MondoXbox","93","A really surprising game, characterized by the great freedom given to the player and the high tension it can induce when crawling in the shadows. We would have liked a lengthier story, but it nevertheless remains a must-buy."
"XGN","92","Dishonored is an essential purchase for the self-respecting lover of videogames. The game offers an intelligent and exciting experience which makes this one of the best games of the year.  Dunwall is just as impressive in Dishonored as Rapture was in BioShock, and the magic powers are incredibly awesome to use. Eventually there is nothing to criticize this game for. A true must have."
"IGN","92","It's also one of the prettiest games of recent years. The art direction is nothing short of incredible, and it's matched with a visual aesthetic that makes the world look like an oil painting in motion."
"Hyper Magazine","90","Precise and elegant systemic design engenders an absurd degree of player agency, but is marred somewhat by a sloppy, unconvincing narrative and soulless characters. [Dec 2012]"
"GameOver.gr","90","Surely not your average first person shooter. On the contrary, Dishonored uses stealth in a way only the Thief games have managed to do and delivers a superb steam punk experience we haven't seen in many years."
"Worth Playing","90","Adventure and stealth fans should definitely have this title in their video game libraries."
"Thunderbolt","90","It's an intelligent game, but also one that acknowledges that action needs to feel satisfying and brutal, just as much as stealth needs to feel tense and crafty."
"Everyeye.it","90","With great freedom of choice and and one of the most fascinating settings in modern gaming history, Dishonored is one of the best experiences of this late 2012."
"Eurogamer Germany","90","Dishonored grants us a first look at the future of free-flowing gameplay in the triple A segment. Even though it stumbles over its own freedoms here and there, it still is an absolute winner of a game."
"G4 TV","90","While it has a few quirks here and there, Dishonored delivers on almost every admirably/crazily ambitious promise made by its creators. Its impeccably crafted gameplay and exquisitely haunting and detailed world stand in loving tribute to all of the iconic and acclaimed franchises that inspired it, and yet it still has a soul and style all its own."
"Planet Xbox 360","90","Though it's got its problems, Dishonored is a damn good game, one that makes use of a compelling storyline and wraps it into strong first-person gameplay, and a presentation that's pretty hard to beat."
"Eurogamer Sweden","90","Arkane deserves an applause just for trying this broad approach of choice, and when both design and playability builds an excellent synergy I can't do anything but to bow down to for being probably the best game this fall."
