"publisher","score","review"
"Adventure Gamers","100","An ethereal, innovative, emotional cooperative experience, thatgamecompany’s Journey is one that any PlayStation 3 owner should take."
"Eurogamer Portugal","100","Journey is really an amazing journey from start to finish."
"The Escapist","100","Journey is incredibly short - you'll finish in about two hours - and it's not really all that challenging in the traditional gameplay sense. But it will be meaningful to you in a way that a bigger, louder, flashier game won't."
"DarkZero","100","There is nothing to keep you coming back for more besides the absolutely exquisite environments, the very-clean interface, solid controls, and Triple-A camera cutscenes."
"The A.V. Club","100","Journey is a marvel, a hallucination of gameplay that feels as deep and immersive as the borderless desert where it begins."
"Game Revolution","100","I haven't been more captivated by a video gaming in years. There were moments in Journey that I stopped pushing the directional stick because I was too busy taking in my character's surroundings. Should you play Journey? Yes. You should play Journey. Right now."
"Giant Bomb","100","Certainly a game that offers up aesthetic beauty, both in its visuals and score. But where it truly shines is in the experience of playing it. In Journey, the mere acts of jumping, running, and sliding around a painstakingly crafted world are enough to invoke strong emotional responses from the player. Every element, every mechanic, every single little thing works in seemingly effortless concert to deliver a game that is experientially beautiful from surface to core."
"Guardian","100","Journey's visual and sound design sets new standards for interactive entertainment. This alone makes it an extraordinary work, but it's the way that these aesthetic elements come together with beautifully subtle direction and storytelling to create a lasting emotional effect that elevates this to one of the very best games of our time."
"TotalPlayStation","100","Games that summon up emotions from a cold son of a bitch like me are incredibly rare... Journey had me grabbing the box of tissues by the time it was over."
"UGO","100","After playing Journey, I couldn't get it out of my head for days. Journey goes left, where every other game goes right; the game is a crafted experience that has been built with such care and attention that it easily transcends the label of ""game"" and expands into a broad, delightful experience."
"G4 TV","100","Journey stands head and shoulders above all other artistic games. It's truly avant-garde and pushes the boundaries of what a video game can mean to its audience."
"Playstation Universe","100","Miss out on Journey, and you'll deny yourself one of the greatest gaming experiences on any platform to date."
"Games.cz","100","Journey is the surprise of the year. It is also a must-have title for everyone thinking that virtual worlds are meant to be more than just a playground where they would while a couple of mindless hours away."
"GameOver.gr","100","When games take it to the next step and become art!"
"Vandal","100","Journey is a different game that everyone will love. If you like videogames you must play Journey. It is a very special experience you will never get enough of."
"Eurogamer Spain","100","Journey is something that purely relates to who we are and what we are, an experience that will give you as much as you give to it, that needs to be absorbed and processed."
"TheSixthAxis","100","From the first spec of sand to the last flake of snow, developers thatgamecompany have managed to get more emotion and more life into a video game than anything else in recent memory; and the striking confidence that the game exudes drags you along for the ride without once letting you go, until the credits roll by two or three hours later."
"Joystiq","100","I don't want to be misconstrued as generic or uninspired when I say that Journey is an awesome game. In the most classical, archaic sense of the word, Journey is a beautiful, evocative and unequivocally transcendental experience."
"Eurogamer Sweden","100","Journey isn't a game - it's an experience. The few hours that this complete gem contains are completely breathtaking, and cement Thatgamecompany's status as visionaries."
"Digital Spy","100","The fact that Journey has so effectively condensed the experience into a two-hour interactive poem is an astonishing achievement. It is the evolution of Jason Rohrer's art game Passage, bringing an unmatched humanity to the experience through its multiplayer."
"Push Square","100","Experiences like Journey don't come around very often in any form of media. thatgamecompany's crafted an interactive tour de force that's triumphant in its ability to cycle through human emotions. It's a game that demands your involvement on a spiritual level, rather than a purely mechanical one, and while it's never preachy in its philosophical intentions, it's hard not to get wrapped up in the divine nature of Journey's tale."
"Playstation Official Magazine UK","100","It's one of the few games you'll genuinely reflect on after completion, and an object lesson in how less can be more when it comes to crafting narrative and eliciting investment. This is a game about which I would change nothing, and I can't remember having said that too many times before."
"PSFocus","97","Even though it's only two hours long, you won't forget playing Journey anytime soon. And more importantly, you won't regret it: this game is absolutely gorgeous, complemented by simple, but incredibly effective gameplay. If you're a gamer with some form of self-esteem, you'll pick this up as soon as possible."
"Game Chronicles","96","Journey transcends conventional gaming and becomes more of an interactive experience designed to evoke (not force) emotional responses through subtle imagery, sublime music, and the perfect balance of adventure and discovery. It is easily one of the best games I've played this year and one of the top 5 PSN titles of all time."
"Cheat Code Central","96","Yes, there have been experiences like Journey before, but it has been far too long since we've seen one."
"Console Monster","95","If there was ever a game deserving of the word beautiful in it's description, it's Journey. The game is stunning to look at, satisfying to play and oozes atmosphere from every angle of its dynamic story and immersive world. Sure it's short by regular game standards but Journey is not a regular game. If your ready for an experience that will surprise you, move you and stick with you for many years after its done, then maybe this is the Journey for you."
"Game Over Online","95","Anyone who loved Team Ico's games or thatgamecompany's other efforts like fl0w and Flower will love this – it's easily worth the $15 asking price."
"BigPond GameArena","95","It might sound like like an exaggeration, but it's not - Journey makes people stop what they are doing and then it holds them in its thrall, making them sit down to watch in silence (barring the occasional exclamation.) When I played it towards the end of an entertaining Saturday night, my living room slowly filled up with my roommates' guests, none of them saying anything, just sitting and watching. If thatgamecompany ever decides to take over the world we will all be in trouble."
"CD-Action","95","Great visuals, wonderful audio, varied gameplay, interesting idea for internet co-op and remarkable atmosphere make this Journey unforgettable. [April 2012, p.68]"
"MEGamers","95","I can ramble on about Journey for pages and pages on end but nothing I say can really explain the delight of such a game."
