"publisher","score","review"
"Polygon","100","As a bombastic action-RPG with no previous context, Mass Effect 3 is a dark, engaging game with great combat, a well-written story, and all the epic space-opera you could want. But for those who have played through Mass Effect and Mass Effect 2, it's something much more."
"Gaming Age","100","The Mass Effect trilogy will undoubtedly go down as not only some of the greatest games ever made, but may go down  as one of the best trilogies ever to exist in any form of media, and for that Bioware, we thank you."
"DarkZero","100","I've never been privy to a game that caused me to wonder, question, and embrace humanity's place and purpose as greatly as Mass Effect 3. It is worth noting – BioWare attempts to tailor the game for new players, yet the experience is undeniably deeper and more rewarding if you have already played Mass Effect's previous games."
"Digital Chumps","100","Preserving the importance of a personal story against the backdrop of a galactic catastrophe, Mass Effect 3 respects its foundation as much as it understands and indulges in the player's choices. And it does it better than anything else."
"Gamereactor Denmark","100","Better fighting. A great story. Amazing multiplayer. A brilliant ending and a masterpiece from Bioware."
"Eurogamer Spain","100","BioWare couldn't have provided a more satisfying ending to the trilogy. Mass Effect 3 is more a work of iteration than innovation, but sometimes that's just the right path to achieve excellence."
"UGO","100","With its grand storytelling and enthralling gameplay, Mass Effect 3 doesn't just bring an epic trilogy to a close, it rivals the most revered space operas."
"Digital Spy","100","While there is a definite finality to Mass Effect 3, the wealth of plot-based variables are likely to inspire second, third and fourth playthroughs, not just of the latest game but of the entire trilogy. Mass Effect 3 is truly unique in this respect, leaving no stone unturned and offering full closure, yet still leaving players with countless 'what ifs'. It's these unanswered questions that have driven the Mass Effect experience, and will motivate players to see their mission through to its glorious end."
"ZTGD","100","Mass Effect 3 is about as good of an ending as anyone could have possibly hoped for."
"Official Xbox Magazine UK","100","Mass Effect 3 is brave enough to threaten to destroy its very own legacy. Everything you've worked for is genuinely at risk, and horrifying things are going to happen because of some of the choices you've made. If you've spent as long as we have with these characters, the impact of this final journey will be one you don't forget for years. Brave, thrilling, and incredibly emotional, Mass Effect 3 is a sci-fi masterpiece."
"Gamereactor Sweden","100","An epic conclusion of a masterful trilogy. This one has it all."
"Game Informer","100","As bleak as this story is, it's offset by war sequences so large in scale and beautifully animated that you cannot help but look upon them in awe."
"Guardian","100","More than ever, the Mass effect universe pulls off the masterful trick of feeling huge and yet believable – the game's production values are through the roof, and its third-person shooter controls incredibly precise, responsive and accurate given Mass Effect's immense scope. It really does feel like a TV sci-fi series in which you play the central character."
