"publisher","score","review"
"Gaming Nexus","91","After conquering Sam & Max, Monkey Island and Back to the Future, Telltale is ready to prove that they know a thing or two about zombies. If A New Day is any indication, then The Walking Dead game is going to be the must-play zombie game of the year. Stylish visuals accompany a well written adventure full of memorable characters and genuine scares!"
"Armchair Empire","90","As an opening act, A New Day did what it was supposed to: get me interested in the next episode even if the overall universe of Walking Dead completely depresses me. It's not that there's no happy ending; it's that there's not even real respite from the horror of what's going on. And that's exactly what happens at the end of the first episode."
"DarkStation","90","Ultimately, my only mark against The Walking Dead is that there aren't a lot of places where players get to use their noggin. With the exception of a scene where you must determine the right sequence in which to dispatch a group of zombies in a parking lot, the game proceeds forward in a linear fashion. Sure, you can mess up and die, but the game isn't difficult, and doesn't have any unconventional puzzle solving, like those found in Telltale's Sam & Max or Monkey Island games."
"G4 TV","90","A New Day is an exceptional start to a five-part series that has me completely hooked and engrossed in a world that I can't even begin to imagine, let alone speculate about where it will go next."
"GameWatcher","90","Some scenes in this game genuinely moved me."
"Gamers' Temple","90","The Walking Dead: Episode 1 takes the zombie apocalypse and makes it a story about a man and a little girl trying to survive. It's well done with just a few odd things. It's not an action packed experience and that may turn some away."
"PC Gamer","90","By some creative miracle, modest difficulty and interaction are outweighed by genuinely great survival storytelling."
"Adventure Gamers","90","The Walking Dead may have more gore than puzzles, but by striking out in a new direction that focuses on atmospheric storytelling, Telltale delivers one their most compelling and enjoyable titles to date."
"Polygon","90","I know retention is a big problem for episodic games, but I wouldn't miss seeing how my story plays out for anything, and I suspect you'll feel the same way."
"ZTGD","90","All in all, the first episode of The Walking Dead was a fantastic experience. Fans of a good narrative should look into this game, as well."
"Meristation","86","A triumph of the interactive narrative, good proof that with good writers and a solid direction, letting the player make decisions can make a good story better. An intense game with plenty of tough decisions and consequences that come back to punch you in the stomach."
"Pelit (Finland)","85","Although protagonists behave irritatingly stupidly, their story is still interesting. Best Telltale game ever. [June 2012]"
"GameFocus","85","I have to hand it to Telltale, even though I had my doubts, they pulled this off in fine fashion. They've taken what they do best and managed to fit it to a franchise that would seem to be better suited for a different genre altogether."
"NZGamer","85","The relationship between Lee and Clementine is handled extremely well throughout the game."
"IGN","85","It has a believable cast of characters and a great look. Sure, the puzzles some adventure gamers love are missing and there will be an audio hiccup here and there, but as an introductory hook to the five-episode series, The Walking Dead Episode 1 has just about everything fans could want."
"Game Over Online","84","Telltale Games did a nice job in introducing the characters and the world, and in giving them depth, and while I found the gameplay elements to be a little bit easy, that might be because Episode 1 is an introduction, and the difficulty will ramp up as the season progresses -- or at least I hope so; otherwise The Walking Dead might end up being more an interactive movie than a real game. But regardless, I thought the story was strong enough to support even an easy game, and so I'm optimistic about the season as a whole will turn out. The game's $25 suggested retail price looks more than reasonable."
"Game Informer","83","With The Walking Dead, Telltale's experimentation with an unusual formula pays off. With its focus on dialogue choices and puzzles that more naturally fit into a narrative, The Walking Dead is a unique experience. In less than three hours, the game delivers a thoughtful, character-driven story that takes a refreshing look at the zombie apocalypse. And like any great episodic show, I'm eager to see what happens next."
"RPG Fan","82","Despite a few fumbles, The Walking Dead: Episode 1 is a resounding success. I can't wait for the next installment, and I have found myself reflecting on my choices, pondering at how events could have unfolded differently. This two-and-a-half hour game is most certainly a love letter to fans of TWD and zombies in general, but those who've yet to be bitten by the zombie bug may enjoy the experience as well."
"AusGamers","82","The Walking Dead's first episode, 'A New Day', succeeds where some of their past adventures have failed not by fixing the issues that often hold their games back, but by placing a greater importance on the presentation and character work that the team handles best."
"GameStar","82","Personally, I'm counting the days until the appearance of even the next episode."
