"publisher","score","review"
"Gamer.no","100","Bioshock Infinite is a visionary piece of entertainment where the gameplay, characters, art style and story all come together to make what undoubtedly will be considered one of the best games of this generation."
"DarkStation","100","Bioshock Infinite is the best shooter I have played in a long time. It is an incredible achievement artistically, narratively, and technically. I can’t think of a better game to close out and define this decade-long console generation."
"Hyper Magazine","100","It is a triumph of artistry, technology and design. It isn’t perfect, but nothing this ambitious ever is. [Issue#235]"
"AtomicGamer","100","On PC, BioShock Infinite absolutely shines. The use of the venerable Unreal Engine might surprise you, considering just how stunning this game looks, especially with the high-res textures exclusive to the PC version that balloon the game to about 15GB in size."
"Gameplanet","100","BioShock is the most important new intellectual property of this hardware generation. Like its predecessor, it is an experience that could only ever be achieved in a videogame, one that demonstrates the true power of this medium to engage and inspire us, and in doing so it soars far above so many other games, clipped and blinkered as they are by their lowly, merely filmic aspirations. Irrational's achievements in BioShock Infinite dignify the medium."
"Guardian","100","BioShock Infinite is a hell of a lot of fun to play. That really should be the only quality it needs to exhibit. The fact that it holds much more feels like an advancement of an art form. Just remember that nothing in BioShock Infinite is an attempt to be cute. Just let it tell you its story."
"Giant Bomb","100","You'll see a lot of BioShock in Infinite, but even if you try to make direct comparisons between the two, it's clear that Infinite is a far better game than its predecessor. It moves at a better pace, with more meaningful and more playable big encounters than BioShock. But it still carries that sense of exploration and the feeling of dread that comes with knowing that everything is just continuing to unravel before your very eyes."
"Eurogamer Portugal","100","It was not easy to achieve the quality of the first game, but BioShock Infinite survives this ""ghost"" and evolves in every way. It’s a journey not to be missed."
"Machinima","100","With the release of BioShock Infinite, developer Irrational has delivered a bigger story, more polished experience, and created two similar-yet-separate games that can co-exist and remain equal in quality. When the history of videogames is written, not one, but two BioShocks will be remembered for pushing gameplay, story, and subject matter to new levels."
"Toronto Sun","100","It’s the kind of game you’ll immediately want to replay again from the beginning, not just to experiment with new vigors and weapons and tactics, or to find the backstory-expanding Voxophones and Kinetoscopes you missed on the first run-through, but to see the little bits of foreshadowing, the subtle design choices, the dropped hints that build up to the game’s brain-bending denouement."
