"publisher","score","review"
"Quarter to Three","100","The primary accomplishment in Grand Theft Auto V isn’t gameplay. It’s character. Grand Theft Auto V believes so strongly in its characters that everything else — even gameplay — is secondary."
"The Digital Fix","100","Arguably the culmination of Rockstar’s work so far, GTA V incorporates the best of their back catalogue; the car handling from Midnight Club: Los Angeles, the vast fauna-populated scrublands from Red Dead Redemption, and the gunplay and bullet time from Max Payne, folding them in to form an experience unparalleled in variety."
"ZTGD","100","I could do all of those things, but I’d rather just say that GTA V is as close to a perfection of the Grand Theft Auto formula as has been created thus far. If you have any interest at all, it should already be installing on your system."
"Games.cz","100","At first sight just another well-executed GTA game, which is by itself a great excuse for our ultimate rating. When you look at it for a second time, you'll get the incredibly immersive and entertaining world that will not let you free. There are flaws indeed. But you know what? When you love it nothing else matters."
"Game Revolution","100","Rockstar Games have unleashed the Skyrim of third-person action games. It'll have a lasting impact through controversy, through harshly addictive gameplay, and by taking the zeitgeist of 18-36 year-old males hostage and torturing them with nipple clamps."
"LevelUp","100","With Grand Theft Auto V Rockstar has delivered one of the most amazing and awe-inspiring games of this generation. Even if you are not a fan of the series, the incredible level of detail, the three main character switching mechanic, the bank heists and the hilarious story make this game a must."
"EGM","100","Grand Theft Auto V expertly blends the best aspects of the last two major releases in the series, GTA IV and San Andreas, to set a new standard in open-world action. In a year already packed with titles that have pushed aging console hardware to new extremes, GTA V might stand as the crowning technical and design accomplishment."
"X-ONE Magazine UK","100","GTA V is funny, genuinely laugh out loud funny – and not in a ’shoving a ten-inch purple dildo up your arse’ funny – the humour is told through situation, through incredibly clever writing and wonderful sense of place. Really, that says everything you need to know about GTA V. Rockstar has spent five years, and an insane amount of money, building a game that is not only bold enough to step away from expectation, but brave enough to revel in its combined history as well."
"Gameplanet","100","Grand Theft Auto V is the pinnacle of the franchise and of gaming in 2013. A ridiculously ambitious title that wrings absolutely everything out of the aging seventh-gen consoles, it's a spectacular triumph in every conceivable way. Rejoice, for Rockstar North has done it again."
"God is a Geek","100","Make no mistake: this game is beyond heavyweight. In many ways, Grand Theft Auto V is a culmination of the current generation; it’s a summation of everything we’ve seen in the last eight years, a love letter, if you like, to the 360 and the PS3."
"Telegraph","100","Grand Theft Auto V is the pinnacle of open-world video game design and a colossal feat of technical engineering. It takes a template laid down by its predecessors and expands upon it, improving on and streamlining some of its rougher aspects. It doesn’t break out of that template and can be brash, nasty and nihilistic. But for all its more unsavoury aspects, this is a game built with skilled mechanical expertise and creative artistry."
"Guardian","100","The genius of GTA V is in the sheer seductive force of its vision. The visuals are astonishing – just astonishing. Surely pushing this ageing hardware to the limits, we get the dense downtown with its soaring skyscrapers and murky, rubbish-strewn back alleys. But then out into the country, we have rolling grasslands and desert stretches, coyotes roaming, the shadows of eagles swooping overhead...The world drags you in. It begs you to explore – and then it rewards you."
