"score","review"
10,"Best hack and slash action game of all time. Flawless pacing, great graphics, the best combat ever, intense boss fights, great value (huge amount of unlockables and secrets) and varied and enjoyable music. If you are a fan of the original Bayonetta or games such as DMC and Ninja Gaiden, buy this game."
10,"The first game is already amazing, the second one more so.And with this package, you get both for the price of one. It's an awesome deal from an awesome company like Platinum Games."
10,"Excelent, easily in the Top 5 games for Wii U right now, everything about this game is incredible, every moment is action-packed, the game always feel smooth and looking awesome, must have."
10,"Fantastic game with beautiful design.  It's the best game I've played all year!  I bought a Wii-U for this and SmashBros, this game has validated my decision completely.  The only gripe I have is the lack of anti-aliasing which makes the game a bit jaggy at times, in all honesty I'd love an option to drop the frame rate to 30 just to see the game at its best.  If Bayonetta 2 wasn't so goodFantastic game with beautiful design.  It's the best game I've played all year!  I bought a Wii-U for this and SmashBros, this game has validated my decision completely.  The only gripe I have is the lack of anti-aliasing which makes the game a bit jaggy at times, in all honesty I'd love an option to drop the frame rate to 30 just to see the game at its best.  If Bayonetta 2 wasn't so good I'd be peeved by this but the gameplay and design overshadow this minor gripe and I can confidently give it 10/10.…"
10,"Perfect. The game is extremely fun to play and must by for any Bayonetta fan, or fan of this kind of games. Graphics are awesome and the game runs 60 FPS, which makes is look good. Voice acting is nice and the soundtrack is what you can expect from Bayonetta game. If you have Wii U, you should pick this game up and check the first one too, maybe before Bayonetta 2, if you haven't played it yet!"
9,"Why is Halo Master Chief collection not on Wii-U? That's what you guys sound like.  I already know this game is going to have a 2.5 user rating because all the reviews will be like ""Not on X1/PS4/PC lol why is not on a real gaming platform.  I bet it will be multiplat in a month- 0/10"" Its a disgrace to the gaming community that people will look up this game's metacritic and see a low userWhy is Halo Master Chief collection not on Wii-U? That's what you guys sound like.  I already know this game is going to have a 2.5 user rating because all the reviews will be like ""Not on X1/PS4/PC lol why is not on a real gaming platform.  I bet it will be multiplat in a month- 0/10"" Its a disgrace to the gaming community that people will look up this game's metacritic and see a low user score because all the reviews will be troll reviews like that. Please grow up.  What I've played of the game itself (about 4 hours) is absolutely incredible.  Its the best spectacle fighter/action game I've ever played. The game looks beautiful, runs well, has a great soundtrack and the story is over the top and wonderful.  If you have a Wii-U, please buy this game.  Not only to show support for an amazing developer in Platinum who continually gets shafted when it comes to sales, but also to show Nintendo that third party games as well as mature games will sell on their system.  I love Mario, DK, Kirby, Zelda and the others, but it would be nice to have some more diversity among exclusives.  The first game even comes included free with the second in most countries, for those who have never played it (it is also amazing).…"
10,"Insane action? CheckPowerful gorgeous sexy leading woman character? CheckFunny moments? CheckGood audio to make your woofers and subs work? CheckHigh framerate? CheckVaried environments with varied gameplay? CheckStar Fox? CheckColorful? CheckFree Bayonetta 1 superior port? CheckBig bosses? CheckVery big bosses? CheckStupid enormous big insane bosses? CheckMan,Insane action? CheckPowerful gorgeous sexy leading woman character? CheckFunny moments? CheckGood audio to make your woofers and subs work? CheckHigh framerate? CheckVaried environments with varied gameplay? CheckStar Fox? CheckColorful? CheckFree Bayonetta 1 superior port? CheckBig bosses? CheckVery big bosses? CheckStupid enormous big insane bosses? CheckMan, the only thing I don't like is the lack of Anti Aliasing, but that's Platinum trademark since Kamiya himself hates Anti Aliasing. And since it's an action game, the jaggies aren't so bad when the game is in movement. Just don't expect great screenshots. The game is better in movement. Great game. Just... great.Spent my entire night playing and every time I played and felt I was better at it, the game challenged me even more.…"
10,"This game is a true successor... a true masterpiece.Level designs are great, great soundtrack, excellent character design as expected again from Platinum Games. If you played the first one, this is a ""not to miss"" follow up."
10,"It is not so perfect in a perfect way!Every wii-u owner need to buy this now, and if you haven't played bayonetta 1 buy the double pack :)10/10 for both games!"
10,"I'm still at what I assume is an early part of the game, but so far this game is flawless. The controls are insanely improved over the first game, there's the same over the top sense of humor, and overall I just haven't found anything wrong with it and have enjoyed every second. If anything changes I'll be sure to change my score, but so far this is a great game."
