"score","review"
8,"Great game and the PC port is good, although you should still play with a gamepad and it clearly looks like a port. It's still the best version out there and I recommend the graphics mod called GeDoSaTo DS2 Edition because the original graphics are also clearly a port of the lesser console graphics.The new multiplayer options are great and offer a nice diversion from the core gameplay.Great game and the PC port is good, although you should still play with a gamepad and it clearly looks like a port. It's still the best version out there and I recommend the graphics mod called GeDoSaTo DS2 Edition because the original graphics are also clearly a port of the lesser console graphics.The new multiplayer options are great and offer a nice diversion from the core gameplay.White screen crash was fixed in a timely manner.…"
5,"I've never done this before, but Dark Souls 2 deserves creating an account and submitting a review.I'm not going to address the technical issues the pc port is facing, or the quality of ingame graphics. It's a separate problem and I hope Namco Bandai will face some  consequences of their false advertisement/bate and switch tactics.Dark Souls 2 is not a Souls game. It's as simple asI've never done this before, but Dark Souls 2 deserves creating an account and submitting a review.I'm not going to address the technical issues the pc port is facing, or the quality of ingame graphics. It's a separate problem and I hope Namco Bandai will face some  consequences of their false advertisement/bate and switch tactics.Dark Souls 2 is not a Souls game. It's as simple as that. It's missing everything that made the previous games so special. Starting with the controls, combat mechanics, loot system, game world, boss fights and ending with the difficulty level. It's all gone. Replaced with mechanics that try to ""innovate""and remain similar to the previous game at the same time.The controls feel clunky and unresponsive. The character seems ""heavy"" and the movement is sluggish. Where in previous games the overall rules applied to both the player and the enemies. In Dark Souls 2 there's a different set of rules (stamina, poise, movement etc) for the player and the monsters. Some will have infinite stamina and spam heavy attacks to no end. Other's will ""track"" your movement in the middle of their attack animation. We're talking about spinning 360 degrees while ""channeling"" their attack. Some will even go as far as to reset the attack animation and hit you when they should be recovering from their last attack.The world design is inconsistent and seems out of place. One minute you're fighting a boss in a giant mill just to take the elevator up to the iron keep. The problem is - there's no keep above the mill. Level design is poor at best and the multitude of bon fires makes little sense. In some cases you'll have 4 of them in an area the size of Undead Asylum. You'll find yourself fighting 4 of the most powerful demons in the land to overcome a bit of rubble blocking the way in the forest...Instead of creating interesting enemies From decided to toss a bunch of mobs at you to make up what they lack in design with numbers. The difficulty doesn't come from good design choices but cheap gimmicks. Enemies attacking you through doors or a gate. Bosses with adds during the fight, bosses that ""multiply"" during the fight. It's all based on cheesy gimmicks. Even the fights that suppose to resemble if not imitate boss fights from the previous game are simply boring.Deaths feel cheap. It feels like the game is trolling you by not following it's own rules. The concept of having to die in order to get loot has no place in a Souls game.Overall the game is a huge disappointment.It's got as much in common with previous Souls games as Resident Evil 6 has with the original Resident Evil ;)An average imitation at best.…"
5,"I am re-doing my review since the patch today making the game actually PLAYABLE.  Plus, I had to wait for 3 days after i pre-ordered the game 3 months ago just to run it properly. The keyboard and mouse controls are alright once you get used to them. The binding is really difficult to do, and the camera is clunky. The menu's still have Xbox 360 controller buttons instead of actual PCI am re-doing my review since the patch today making the game actually PLAYABLE.  Plus, I had to wait for 3 days after i pre-ordered the game 3 months ago just to run it properly. The keyboard and mouse controls are alright once you get used to them. The binding is really difficult to do, and the camera is clunky. The menu's still have Xbox 360 controller buttons instead of actual PC key-binds which is ridiculous. They said it would be a decent port, but it's barely better than the consoles. The only thing great about the game that's different is the graphics and fps which is improved from consoles. If you wish to play this with a controller, it's worth it more than 360 or PS3. HOWEVER, I SHOULDN'T BE FORCED TO PLAY ON A CONTROLLER. If a game is released on a PC, I expect, no I demand that the controls are actually worth using. I didn't buy Dark Souls II on PC to play it with a controller.…"
7,"I made this account just for this game. Pre ordered it 2 months before release. For the first four days I couldn't even start it due to White Screen of Death (crash during startup).Now the game has been fixed.Gameplay wise this is a great game. But the company's false advertising (graphics, lighting etc) forces me to keep my score down.7/10"
5,"Post-patch review: The game lacks the vision and the stellar game design from the first Dark Souls game. What you're left with is a mediocre hack and slash action romp that looks at times like a PS2 game.Claims made about Dark Souls 2 being developed for the PC natively have turned out to be another marketing gimmick and a bold faced lie. Not a grain of critique was spent on the gamingPost-patch review: The game lacks the vision and the stellar game design from the first Dark Souls game. What you're left with is a mediocre hack and slash action romp that looks at times like a PS2 game.Claims made about Dark Souls 2 being developed for the PC natively have turned out to be another marketing gimmick and a bold faced lie. Not a grain of critique was spent on the gaming press about the obvious bad keyboard and mouse controls, that on top of everything else, have almost a half a second delay on every action you take. Xbox controller icons are left in place from the Xbox, proving that the game is just another quick console port. Nowhere it is explained, that you need a controller to properly play the title on PC, which makes sense from a marketing perspective. It should be made clear, that the PC gamer will have to put another 20 euros towards the title in the form of a Xbox controller, but it isn't.Don't believe the fan-boy hype. This is not a PC game, but a bad console port of a game which is overshadowed by the brilliance of the original Dark Souls.…"
8,"Game has been updated and seems to work for most now. I haven´t played for long yet, but from what I saw I´d give the game a 10/10 minus one point each for graphics (only slightly improved from DaS1) and controls (I use a Xbox-controller, so they are fine for me, but even when using mouse/keyboard the games always displays the Xbox buttons solely, which is unlikely to be fine for everyone)."
9,"Revising my first review. Patch fixed everything. Game looks and plays fantastic. It's Dark Souls 2, you will die alot and get angry. But you will have fun while doing so."
7,"This game would be a solid 10/10 if the PC port wasn't broken. I had to go through various forums and plenty methods to even run the game, which is unforgettable for a 50€ release. Huge amount of people still cant get it to run, I was lucky to get it resolved.Apart from that, game is great so far."
10,"Now have serious bugs (I have to switch down the HDMI port every times when I run the game, and only run in windowed mode not fullscreen).The diminishing healthbar and the evaporing  enemies are really annoying, but it is a great game, when they fix the starting bugs I will change the rate."
0,"I picked up the first Dark Souls on Steam and liked it, the only problem i had with the game was the controls for PC. Now with the release of Dark Souls 2 we were promised a more polished PC version with better graphics and - here is the big one  - working controls. So did they deliver? Short answer NO , Long answer NO. Default controls are near unplayable , controller buttons everywhere ""I picked up the first Dark Souls on Steam and liked it, the only problem i had with the game was the controls for PC. Now with the release of Dark Souls 2 we were promised a more polished PC version with better graphics and - here is the big one  - working controls. So did they deliver? Short answer NO , Long answer NO. Default controls are near unplayable , controller buttons everywhere "" press A to this , press B to that"" . But dont worry  , just rebind your keys , right??  NO. Trying to rebind the keys is painfull at best and once you are done you are left with a half decent experience. I loved the first Dark Souls and plot/gameplay wise Dark Souls 2 looks promising.  But as a PC gamer i feel cheated and lied to when it is blatantly obvious that no extra effort was put into making this a positive experience for PC gamers.…"
