"publisher","score","review"
"Eurogamer Germany","100","You'll get everything the fantastic console version had: a feeling of insecurity, respect for the apparently insurmountable, an unparalleled combat system. A nigh on perfect game."
"God is a Geek","100","It is far and away the superior version, and that’s without the need to download any sort of fan-made patch. The cycle of death and success has never felt this good."
"Gaming Age","100","If you’ve patiently waited for the PC release, consider yourself rewarded for said patience. This is hands-down the best version of Dark Souls 2 you’ll be able to get, and shows a massive improvement over the lackluster effort that went into the first PC release of Dark Souls."
"Ragequit.gr","98","Dark Souls 2 is not just a perfectly designed video game. It's a dark journey into a painful world of souls, a bet with your inner self and your strengths, the purification and absolute completion when the end credits fall... it's an experience like no other."
"Game Informer","98","The PC version of Dark Souls II is the definitive one to own. It’s a good step up in the graphics and performance departments, annoying load times are drastically reduced, and players can even opt to play with the mouse and keyboard if they so desire. It shows that From Software spent a considerable amount of time attempting to come up with controls that would feel natural on the PC."
"CD-Action","95","This game’s playability puts to shame everything that’s been released for the new generation of consoles. [06/2014, p.54]"
"Gamers' Temple","95","Never has a game so difficult been so rewarding."
"Gameplanet","95","This time around, From Software has nailed the PC version of its beloved franchise, leaving absolutely no doubt as to which platform gives players the best experience."
"3DJuegos","95","Dark Souls II keep marking his very own label that players love. If you're a fan of the series, you’ve got a new journey to play and replay until the world fall back into darkness."
"Multiplayer.it","93","Finally, From Software manages to create a game on its own and not a lazy port. Dark Souls II is exactly the best way to play the masterpiece console gamers experienced a few weeks ago."
"Vandal","93","From Software has not made the mistakes they made with the first episode on PC, but the improvements are limited to AI, resolution and framerate. Still, a great game worth playing."
"IGN Italia","93","A truly unique experience, but it's not for everybody. You have to be aware of the words you're gonna read more than any others on your screen: ""You're Dead""."
"Meristation","93","Dark Souls II is an ideal game for veteran players, but it's also a good chance for newcomers. From Software added some positive concessions while keeping the essence of the franchise. Action, exploration, replay value and great online experiences in another sweet nightmare. Prepare to die once again."
"XGN","92","From Software has clearly learned from its earlier mistakes by creating an absolutely wonderful PC version this time around. Shame about the monstrous keyboard and mouse controls, but nothing a controller won't fix. Aside of that, the core gameplay really shines, because of the many subtle improvements the PC version enjoys. The biggest achievement, however, is that one of the greatest games of 2014 has managed to become even greater."
"Pelit (Finland)","91","Dark Souls 2 respects gamers: it does not treat them like clueless, spoiled brogamerz, and that is something every publisher could learn from. [May 2014]"
