"publisher","score","review"
"Digitally Downloaded","100","BioWare achieved everything that it needed to with Dragon Age: Inquisition. It revitalised a series that had suffered real brand damage in Dragon Age II, and easily stands as the best RPG we've seen in years. There is absolutely no reason to miss out on this one."
"Game Revolution","100","For a fantasy game presenting dozens of hours of gameplay, Dragon Age: Inquisition largely delivers on its promises, both mechanically and in gameplay that fans will want from the third title in the series."
"ZTGD","100","Dragon Age: Inquisition is an amazing game. There really is something special about it. I know a lot of people were down on Dragon Age II, but this game redeems every issue you may have had with the last game."
"Joystiq","100","It's a gorgeous game on an epic scale. Rich in character and story, it creates a fantasy world with plausible social rules you can get lost in. It makes you feel that you aren't just exploring a new world, but helping shape it at various levels of society. Inquisition sets the bar for what a blockbuster RPG should be."
"Digital Chumps","98","Dragon Age: Inquisition has incredibly deep and complex parts, while still maintaining the core gameplay values that Bioware knows how to do best with their third-person action titles. The game delivers everything promised, including gorgeous visuals and a strong story. Simply put, Bioware has returned the Dragon Age series to the greatness it truly deserves."
"Impulsegamer","96","Dragon Age Inquisition is a must play RPG on the PS4 that successfully takes the best out of both previous games to create sword and sorcery perfection."
"PSX-Sense.nl","95","This amazing RPG should have a place in every gamer's collection."
"PSX Extreme","95","Dragon Age: Inquisition is the role-playing game you’ve wanted for years. You glimpsed the future and now, with a few minor exceptions, that vision has been fully realized."
"COGconnected","95","Overall, Dragon Age: Inquisition is a great game that everyone should have in their collection. It’s one of the best bangs for your buck out there in terms of how much time you will clock in on this one and also in quality."
"Playstation Universe","95","It's easily the company’s greatest achievement. The expertly crafted story and the massive world meant for your exploration are just the tip of the iceberg...Easily the best RPG of the year."
"Meristation","95","This is the return of the great Bioware, back on a path that we hope they don't leave ever again. Emotive amount and variety of content makes for an incredible adventure."
"Post Arcade (National Post)","95","BioWare’s about to drop its mic and walk off stage...It is a paragon of multiple-path storytelling and character development. It offers a master class in intricate, customizable, multi-hero combat. And it delivers not one but ten beautiful and expansive open worlds to explore, boldly throwing down the gauntlet to rival developers."
"Game Informer","95","With a mixture of open-world exploration, entertaining combat, and top-tier characters, the team at BioWare has found a winning formula that isn’t shackled to either Dragon Age: Origins or Dragon Age II. Inquisition is not defined by the traditions it returns to, but by the new directions it forges for this magnificent fantasy universe."
"Polygon","95","Dragon Age: Inquisition puts the fate of the world in your hands in a way that few role-playing games have done before. And even after another 80 hours devoted to it, it's a world I cannot wait to return to in whatever BioWare does next. I don't know what higher praise I could give."
