"score","review"
0,"Completely uneven gameplay, elite cards that you BUY with CASH MONEY are completely unbalanced and beyond what you earn in basic play.  Once one of these 'elite' cards is put into play at any point in the game it is over, and no amount of skill or luck will save you.  Since card draws are random,  you can't even strategize a way around them."
0,"Very few cards are playable, which leads to monotonous and repetitive gameplay. Also, for some reason both Blizzard and their audience think that this is a TCG and treat is as such. I like to treat it as a videogame, because that's exactly what it is. They don't print cards, you can't trade cards and you shouldn't spend hundreds of dollars for virtual cards that are designed to be bad onVery few cards are playable, which leads to monotonous and repetitive gameplay. Also, for some reason both Blizzard and their audience think that this is a TCG and treat is as such. I like to treat it as a videogame, because that's exactly what it is. They don't print cards, you can't trade cards and you shouldn't spend hundreds of dollars for virtual cards that are designed to be bad on purpose.When they stop releasing one expansion after the other and instead try to rework some of the existing cards, I might reinstall the game, but I don't think that's ever gonna happen. Blizzard and greed are synonyms it looks like.…"
2,"+ Its free.- Lack of depth makes the game repetative relatively quickly.- Luck determines the outcome of a match more often than skill.- Only 1v1 game mode, 2vs2 would be a great addition to the game."
0,"Blizzard under Activision has turned from a company that creates stories and experiences into a company that exploits the worst of the human condition by turning their games into virtual casinos. Hearthstone folows the same formula WoW and the Diablo series, by providing flashy, happy graphics and glittering interfaces interfaces (remind you of a Casino?) for the player to do the sameBlizzard under Activision has turned from a company that creates stories and experiences into a company that exploits the worst of the human condition by turning their games into virtual casinos. Hearthstone folows the same formula WoW and the Diablo series, by providing flashy, happy graphics and glittering interfaces interfaces (remind you of a Casino?) for the player to do the same actions over and over in hopes of a payoff (remind you of a Casino?).In Diablo it's killing the same monsters in the same acts over and over in hopes of legendary. in WoW it's going to the raid casino every tuesday and in Hearthstone it's play games in order to buy decks to maybe get the right cards. The thing is that it is an empty, soul sucking, life wasting endeavor.... when you get all your best cards, legendaries or raid loot, what is there to do? What is the payoff?They just start the hamster wheel again by introducing better cards/loots/legendaries. Love yourself as a human being and avoid anything made by Activision/Blizzard, they are not game makers, they make 21st century slot machines.…"
4,"If you like Pay 2 Win, you'll love this game. Because Hearthstone is about as pay 2 win as you can get without placing a button that says. ""Click to win ($4.99)""First the positives. Hearthstone is a functional game that has decent flow to it. It has minimal issues with bugs and runs well on older machines. The game does have a rather kitschy feel to it, as well as a sense ofIf you like Pay 2 Win, you'll love this game. Because Hearthstone is about as pay 2 win as you can get without placing a button that says. ""Click to win ($4.99)""First the positives. Hearthstone is a functional game that has decent flow to it. It has minimal issues with bugs and runs well on older machines. The game does have a rather kitschy feel to it, as well as a sense of self-parody for the WoW mythos. The gameplay is smooth and the interface is easy to navigate.Hearthstone falls short in several areas, however. For example, players must either buy boosters or earn them at an extremely slow rate, made slower by the fact that in-game currency is only earned through victories. Players are started out with the same set of basic cards and must grind packs or buy them. There are daily quests, but they usually involve winning matches to gain extra gold. While it is possible to win with the basic set of cards, many of the pack cards far stronger and some are actually game breaking. Which makes a player who pays for packs far more likely to get ahead in the game. Discounting daily quests, booster packs can be obtained with gold for WINNING 30 matches. I emphasize that intentionally, as no gold is gained for a loss, essentially punishing the player who is learning or can't afford to buy cards. Exacerbating this problem is that matchmaking is quite poor, and so called ""Casual Matches"" are well populated with ""noob-stompers"" looking for easy gold which slows down the rate which gold and subsequently packs are acquired. Another problem with the game is there is a lack of balance. Priest and Hunter decks have access to cards that swing the game too much, IMO. (Mind Control and Unleash the Hounds being the most infamous.) Other classes also have cards of this type but not nearly as strong or numerous.In addition to this is the Arena mode which can be entered for 150 game gold. (Whereas a pack costs 100 gold.) But can be instead accessed with cash, You are given a choice of three random decks and them create a deck from card options given to you. Everything is RNG based. Then you take your deck and play other players must win as many games as you can (up to 9) before losing 3. The mode rewards you with booster packs, gold and dust depending on how well you did. If you did well you will get more, if you did poorly you will get little and possibly not get a pack. Again this feeds into the demand that players win in order to progress.There is also a way to craft cards using the aforementioned dust. Although it is not at all efficient, cards can be broken down using dust, but creating one of a certain rank requires the equivalent amount of dust from breaking down 8 cards of the same rank. Like everything in this game it is a slow process, crafted to exasperate the player and make the cash shop more appealing.Finally the game deserves criticism for doing little to instruct new players in basic deckbuilding strategies. And has a notably annoying ""response"" system that many players use to taunt their opponents. It can be disabled, but only for the duration of your current game and must be disabled every single time you play a game. There is also no function for players to trade cards which was omitted simply to push the P2W game system.Hearthstone is hardly the worst game out there right now. In fact it could be good, but the P2W model and the frustrations involved with CCG mechanics that are quite faithfully ported over from card games like Magic: the Gathering are front and center without any of the social benefits.  A potentially good, game but ruined by the P2W model. Only the most diehard CCG enthusiasts with money to burn will enjoy this game. For everyone else, it's more frustration than actual fun.…"
3,"'A game lacking depth that was put in the rock tumbler so long it came out smooth' is the best way I've seen it described. This very quickly becomes a Pay-to-win game. You'll get some packs and gold from doing the tutorial, and it leads you to believe that you'll actually get a reasonable flow of cards. Nope.Look forward to sitting on your stagnant deck, and if you're good at playing,'A game lacking depth that was put in the rock tumbler so long it came out smooth' is the best way I've seen it described. This very quickly becomes a Pay-to-win game. You'll get some packs and gold from doing the tutorial, and it leads you to believe that you'll actually get a reasonable flow of cards. Nope.Look forward to sitting on your stagnant deck, and if you're good at playing, you eventually hit the wall of people with better cards. Period. Further, because your available cards are based on the class you're playing as, every class plays the same strategy and there is a definite rock-paper-scissors balancing act going on between classes.The only reason this game isn't getting a lower rating is because the production is just so good. I tell everyone, if Magic the Gathering had made their computer games look and feel like Hearthstone, they would have been good games. Blizzard setup a great platform, but the game is crap.…"
0,"Free2Grind for 100s and 100s of hours to build some good decks? Or just Pay2Win from the start? Both actually, this game has something for everybody that likes those things. I am however left disappointed."
2,"Games like this should be regulated like gambling. If a person under the age of 18 is not allowed to gamble, because their judgement is not considered mature yet, why is Blizzard developing a virtual casino for 9-13 year olds? Sure they will ask their parents or just buy prepaid cards to buy decks. Some will get seriously addicted, as they chase the next ""rush"" of random battles.ArenaGames like this should be regulated like gambling. If a person under the age of 18 is not allowed to gamble, because their judgement is not considered mature yet, why is Blizzard developing a virtual casino for 9-13 year olds? Sure they will ask their parents or just buy prepaid cards to buy decks. Some will get seriously addicted, as they chase the next ""rush"" of random battles.Arena requires you to grind for hours and hours to get a free entry (150 gold to enter, 10 gold per 3 wins, at 50% win rate you need 90 games to get free entry. at 10 minutes per game that's 15 hours of grinding.Once you are in the arena, it becomes apparent just how broken it is - the ""random"" draft lets you stay and fight for long if you have a good deck. But you soon realize that weak decks get eliminated quickly, and you are left fighting players who are either using OP builds, or just have a bunch of OP orange cards in their decks (ex: Ragnaros).Introducing PVP is the driver of the pay to win system. Once you see how many people at low ranks have rare and legendary cards in their decks, the feeling of ""unfair"" will make you buy decks. Once you buy decks, you realize that because they give you cards for all 9 classes, and lots of common cards, you need A WHOLE LOAD of decks to get your favorite class on par with the rest of the players.Or you can build one of the rush decks and just overwhelm the enemy. Got frothing berserker? Got void horror? Got buzzard, hyena and unleash the hounds?After a while, this game made me sick to my stomach because of how such flashy and seemingly user friendly game exploits the human brain.…"
3,"Critics give it way too much praise. Most (good) decks are composed of about 90-95% of the same cards (excluding class cards, which are the same among the decks of those classes), so every match comes down to ""who drew what first"". I know most card games use luck as a factor, but skill can usually overcome that. In this game, no such level of complexity exists. Decks are too small, no wayCritics give it way too much praise. Most (good) decks are composed of about 90-95% of the same cards (excluding class cards, which are the same among the decks of those classes), so every match comes down to ""who drew what first"". I know most card games use luck as a factor, but skill can usually overcome that. In this game, no such level of complexity exists. Decks are too small, no way to counterattack unless you're one of the few classes with Secrets (trap cards), it's a total crapshoot! If you enjoy games of little to no skill in a fun, casual, Warcraft theme, then this is definitely for you.Aside from giving the gameplay an absolute 0, the sound effects, music, graphics, and overall theme, however, are very delightful. For the few months that I played, it was definitely fun, until I realized how luck was everything. Still, outside of the gameplay, it's pleasant, but sadly, games without good gameplay get scores such as these, if not worse. If it ever comes to smartphones (and not just the iPad), I'd vote it a 6 or 7 as a Mobile game, but for a PC game, it doesn't deserve the ridiculous praise people are giving it.…"
0,"Hearthstone is casual at first glance, second glance, third glance, fourth.... You get the idea.There is actually very little strategy involved in Hearthstone. You have RNG in Arena, RNG in what cards you draw, and RNG in what the cards do when you play them.I laugh at anyone who uses the word ""depth"" to describe Hearthstone without the phrase ""a lack of"" preceding it. AnHearthstone is casual at first glance, second glance, third glance, fourth.... You get the idea.There is actually very little strategy involved in Hearthstone. You have RNG in Arena, RNG in what cards you draw, and RNG in what the cards do when you play them.I laugh at anyone who uses the word ""depth"" to describe Hearthstone without the phrase ""a lack of"" preceding it. An absolutely abysmal, shameless cash grab by an Activision owned developer.…"
