"score","review"
10,"Gameplay mechanics and combat are finely polished and highly enjoyable. Monolith has managed to capture the LORT world perfectly and paired it with Batman AC like gameplay. This is a must play if you're a fan of either, but the game stands out on it's own regardless if the obvious influences those games had on it.  Overall, an amazing game."
10,"Finally we have a LoTR game worthy of many hours of our time! Shadow of Mordor brings free roaming adventure and game changing new features together to make one amazing game. One of those games where you get lost in its mechanics and find yourself putting the story on the back burner. For me that's a good sign of a game with good longevity.Nemesis system is great, combat is satisfyingFinally we have a LoTR game worthy of many hours of our time! Shadow of Mordor brings free roaming adventure and game changing new features together to make one amazing game. One of those games where you get lost in its mechanics and find yourself putting the story on the back burner. For me that's a good sign of a game with good longevity.Nemesis system is great, combat is satisfying and gory to boot. Story is there but I find myself making my own story to enhance the main one. RPG elements are there. I especially like how the weapons upgrade with ruins you collect off of war chiefs or other notable enemies. Graphics are great. There is not much tediousness that comes with the open world genre. You can fast travel pretty readily conveniently. But this is one of those worlds where I prefer to get lost in and take that short cut threw the woods.Even if you are not a fan of Lord of the Rings check this game out. It is an amazing game on its own.If you are a die hard Tolkeinite the lore should not be that blasphemous to you either.…"
9,"Ultimately, I think this game is worthy of all the praise that it has received thus far. As a full disclosure, I haven't quite finished the game, but I've finished nearly all of the story missions, and I'm cleaning up some of the side stuff, and I decided to write this while taking a break. So, bar an abysmal ending, this review should hold up.RPG MechanicsUltimately, I think this game is worthy of all the praise that it has received thus far. As a full disclosure, I haven't quite finished the game, but I've finished nearly all of the story missions, and I'm cleaning up some of the side stuff, and I decided to write this while taking a break. So, bar an abysmal ending, this review should hold up.RPG Mechanics----------------------------------------------------------------The first thing you need to know about this game is that nearly the entire focus of the game is on combat. When it comes to the actual RPG mechanics of this RPG, it's pretty light, honestly. You go about and kill things and find collectibles and etcetera to acquire EXP/currency to upgrade your abilities/weapons and there's also a rune system which are used to augment your character into some more specific roles. From my understanding, what runes you actually acquire from the Orc Captains are pretty random, but the ones I've gotten tend to rely on random chance more than anything else, just straight percentage rolls. Which is ultimately fine, as your character has another means of upgrading, via a skill tree system which actually has a good amount of variety/customisation. It's a tiered system (which makes sense) and the abilities actually impact the way you play the game rather than just provide you with a bunch of passive stuff.Combat----------------------------------------------------------------------------The actual combat in the game is very satisfying, albeit a bit easy. It takes cues from the Batman: Arkham series and just has a kind of freeflow combo system. A lot of games try to emulate this system, and a lot of games fail at this system. This game, fortunately, does the system well. The combat is very fluid and responsive and is generally very accurate. Also, the animation quality of this title is top notch, so moves flow into each other very well and your character looks completely natural while pulling off his extravagant combos. There is also a rudimentary stealth system that is functional, but very basic. You should not play this game in a stealth only approach, and if you do (if it's even possible), you are not very likely to have a lot of fun.Story-------------------------------------------------------------------------The story is pretty serviceable. It hasn't been anything that has been cringeworthy, it feels pretty in place in a Tolkien universe. I've read The Hobbit and The Lord of the Rings trilogy, but I haven't read the other Middle-Earth stuff, but as far as I can tell, the game doesn't really reuse any plot devices from the books and everything feels natural. I've had a lot of fun with the own stories that end up getting created as you play the game via the Nemesis system where you form your own rivalries with orcs and orcs will fight amongst themselves and vie for power. If you get killed by an orc, that orc gets more powerful and becomes your nemesis and you get to go hunt him down for revenge. It creates context to the battles you're fighting and gives the enemies more personality. Also, the voice acting in this game is top notch.Technical things-----------------------------------------------------This game ran at a smooth 60 fps and, as far as I'm aware, didn't dip anywhere. The graphical fidelity is quite good (Full HD res even!), the texture quality was very consistent, and I didn't notice much of anything like texture pop-in, etcetera. The draw distance is quite far as well. In my playthrough, I did not notice any bugs or glitches. Once in a while there was some odd collision detection with the environment as you go for a stealth kill but outside of that, nothing.Conclusion--------------------------------------The game is fun, pure and simple. The Nemesis system is pretty innovative as it allows you to play games in the shadows where you pit orcs against each other. I wanted to talk more about that, but it's kind of hard to put into text, you might want to watch a video that'll give you more detail on that. I recommend TotalBiscuit's video on YouTube.I gave this game a 9 because later on in the game, things do start to feel a bit repetitive. Unfortunately, I think that is just something that's inherent to the combat system and the game is very combat focused. Do not buy this game if you do not like the Arkham style combat system. Also, the game won't really present you with much of a challenge, which disappointed me a bit. One other gripe with this game is that there are a couple forced stealth sections, they are few in number but it's, y'know, a slap in the face to player choice and agency.When all is said and done though, I quite enjoy this game. It feels in place with Tolkien works and the combat mechanics are responsive, fluid, and fun while adding a bit of innovation to the genre via the Nemesis system. Also, the production values are top notch, truly an AAA title.Monolith is back to form.…"
10,"This game is amazing, such a new and refreshing experience!. And also its 60 FPS 1080p! Excellent graphics, gameplay, voice acting, story, music etc. I can't find anything negative about this game so I'll give it a 10/10. Get this game NOW!"
10,"This is a huge Game of the Year contender. I find myself struggling to get sucked into and pull value out of games these days, but I started playing Shadow of Mordor last night and only stopped 11 hours later. I haven't done that since I was in college, and all I can think about is going home later to keep playing. The nemesis system is really incredible. It's the first time I feel likeThis is a huge Game of the Year contender. I find myself struggling to get sucked into and pull value out of games these days, but I started playing Shadow of Mordor last night and only stopped 11 hours later. I haven't done that since I was in college, and all I can think about is going home later to keep playing. The nemesis system is really incredible. It's the first time I feel like someone has truly made a game feel ""next-gen"" and innovative. Congratulations Monolith - you guys made the LOTR game I've wanted since I was a little kid. I really hope people purchase and support this game.…"
10,"With some issues aside, which I hope will be patched soon, the game stands to its hype. Extremely fun combat, with awesome visuals and not to mention the much loved world setting of Middle-earth, which I'm sure even non-Tolkien fans will rejoice. This is a RPG that I cannot wait to delve further into."
5,"A creative Nemesis system along with a Batman-ish style combat system which will entertain you for a few hours.  However, soon the enjoyment dies down and becomes a repetitive button smasher.  Try before buy."
9,"Easily the best game in Lord of The Rings Universe ever created! Fantastic combat system with top notch animation brings you the enjoyable gameplay experience! Fairly big open world with engaging story and side missions! And the best thing about it, innovative Nemesis system that creates emotional connection to your enemies! MUST BUY"
10,"This is a very very fun game...I was expecting it would turn out to be a 7 rated game but never thought it would turn out 9.5 to 10.  Stop reading and play this... your missing out....Ignore the negative reviews from AC fans....."
9,"Very different from any game I have played before.Much more to do other than the main story. Filled with content.Graphics are top notch on the ps4.Only problem I have with this game is that the game play itself can get a bit repetitive."
