"publisher","score","review"
"Guardian","100","Right now, it’s my main contender for game of the year, simply because, in its lack of pretension, its attention to detail and its understanding that video games first and foremost should be fun, it puts everything else I’ve played recently in its long shadow."
"Giant Bomb","100","Middle-earth: Shadow of Mordor is the most fun I've had with an open-world game in a very long time...Whatever your feelings on J. R. R. Tolkien and the Middle-earth milieu, it's hard to imagine any fan of open-world action having anything less than a great time with this game."
"Joystiq","100","What would have otherwise been a competent sandbox game with solid combat mechanics and an interesting twist on a known fantasy world is elevated by the Nemesis System. Shadow of Mordor is the strategic person's action game."
"Gamers' Temple","95","Shadow of Mordor is without a doubt the best The Lord of the Rings game that I have ever played, and quite probably the best game I've played this year. I highly recommend it to anyone who enjoys a great action game."
"Polygon","95","Shadow of Mordor is that ultimate rarity. It tells a fun little story that would be enough to hold up most games on their own. But it also provides all of the tools to ensure that the most interesting tales to come out of the game will be the ones that were not scripted."
"IGN","93","Middle-earth: Shadow of Mordor stands out from other open-world action games by putting a great new layer on top of the trail that Batman blazed. I was surprised at how well it integrates its excellent combat with rewarding feedback and progression not just for me, but also for my enemies. I"
"Gaming Age","91","All in all, I really enjoyed Middle-Earth: Shadow of Mordor. While the game had always been on my radar, I still find myself pretty surprised with how fantastic it ended up being."
"Thunderbolt","90","For people who are alright with playing fifteen hours or so of Helm’s Deep-style carnage, Shadow of Mordor is a delight – and even for people who couldn’t care less about Lord of the Rings, the exciting combat and unique Nemesis System are more than enough to make the experience worthwhile."
"The Digital Fix","90","As a gamer you owe it to yourself to experience Shadow of Mordor if not for anything else other than the Nemesis system because playing a single-player game never made you feel less alone."
"Playstation Official Magazine Australia","90","A precious package that is both incredibly challenging and rewarding in all the right ways. [December 2014, p70]"
"CalmDownTom","90","While there are a limited number of genuinely memorable landmarks in the world of Mordor, the real points of interest is the captains being hunted."
"TheSixthAxis","90","Shadow of Mordor is without doubt the best Middle-earth game available on consoles."
"Gamestyle","90","A stunning title that mixes the best parts of other games, whilst introducing its own ideas."
"Playstation Universe","90","Combining the transversal and exploration of Assassin's Creed and the combat of the Batman: Arkham franchise, Monolith Productions has created not only the best title in the Middle-earth franchise, but probably the best action title of the year."
"Critical Hit","90","While not perfect, Shadow of Mordor surpasses expectations - it's fun, engaging and truly impressive. The Nemesis System is a stroke of genius and sets this game apart from its competitors. A serious contender for Game of the Year."
"Push Square","90","Middle-earth: Shadow of Mordor isn’t perfect. The somewhat repetitive nature of the side content and lame final acts prevent it from achieving our top score, but do not mistake us when we say this, because it’s one of the best games that we’ve played this year."
"God is a Geek","90","Dark, compelling, and occasionally unflinchingly brutal, Shadow of Mordor is Lord of the Rings for grown-ups. It’s not just a good game based on an established franchise, but a fantastic game in its own right and one that deserves to be judged purely by its own merits, and not by what has come before."
"3DJuegos","90","A great example of what´s possible to make with talent and passion and a popular license. One of the sleeper hits of the year."
"USgamer","90","The game isn't perfect - resurrecting foes can be frustrating - but those issues won't hold you back from enjoying yourself."
"ZTGD","90","Middle-earth: Shadow of Mordor is the first game on these new consoles that screams next generation game play."
"Digital Chumps","90","A beautiful third-person action title that has deep role-playing game elements embedded firmly into it. You also get enormously detailed and deep environments, with unique enemies to populate it. This is simply a superb game."
"Game Revolution","90","Middle-earth just wants the player to explore it like a playground. You can climb up structures, leap from them to tackle a wild creature of the land, and even enlist your own group to drive the dramas that ensue. Shadow of Mordor paints the pictures that rest somewhere between bookends."
"VideoGamer","90","Shadow of Mordor is a triumph, its final irony being that it's arguably the best and most pure Assassin's Creed game to date."
"Worth Playing","90","Shadow of Mordor is the rare Arkham clone that transcends its status."
"Hardcore Gamer","90","Although it comes in the wake of dozens before it, Shadow of Mordor is the definitive Middle-earth experience. It smartly avoids trying to adapt already existing plot points, instead crafting its own unique story and overall experience."
"GameFront","90","It’s a fun game that lets you experience The Lord of the Rings regardless of how much knowledge you have of the world coming in. Great combat and an amazing setting round out one of the best Lord of the Rings titles in years."
"Shacknews","90","Shadow of Mordor is influenced by other games, but not defined by them. Instead it takes pieces from some of the best games of the last few years, augments them with RPG mechanics and the new Nemesis system, and integrates them all so well together that it's sometimes hard to tell where one system begins and another ends. It's a remarkable achievement."
"PlayStation LifeStyle","90","If you are not overly familiar with the lore from the books and movies, you may find it difficult to appreciate most of the content available here, but you will still find a fantastically fun fantasy action title with a robust amount of content, with some familiar core gameplay."
