"publisher","score","review"
"Slant Magazine","100","If traveling through Bethesda's version of Boston for 60 hours has taught me anything, it's that the little things are what matter."
"Telegraph","100","If you’ve been waiting for Fallout 4, it will simultaneously meet your expectations and exceed them in others. Who would have thought a Fallout game would convince us of Bethesda’s storytelling and shooter credentials? In a year full of brilliant open-world games like The Witcher 3, it manages to stand apart from the crowd and deliver something that feels fresh, despite its familiar foundations."
"Digital Spy","100","Graphical niggles aside, Fallout 4 feels like a culmination of the fantastic work Bethesda did on Fallout 3, New Vegas and Skyrim, surpassing them all in terms of scope and scale."
"PSNStores","100","With those issues and caveat, Fallout 4 has to be the most addicting and content heavy-game we’ve played on the Playstation 4. Looking forward to spending many more countless hours exploring every nook and cranny of the Commonwealth."
"GamesRadar+","100","A huge game that's anything you want it to be. An immense RPG, shooter, and world to explore that is only constrained by your imagination and desire to explore."
"Gaming Nexus","98","Fallout 3 was seven years ago. Fallout 4 is one you can play, off and on, for the next seven. Congratulations, Bethesda: You’ve outdone yourselves again. You’ve made the Wasteland more beautiful, ugly, open ended, funneled down, thoughtful, and frantic than ever."
"Digital Chumps","96","Fallout 4 is another amazing achievement from Bethesda Studios. It encompasses the beauty of its brethren, while introducing a bigger, better world for gamers to explore and reside in. It’s everything people were expecting, possibly a bit more."
"3DJuegos","95","With its vast open world and its endless possibilities, Fallout 4 is a must have for RPG fans."
"Hobby Consolas","95","Bethesda brings us one of the best games of 2015. It will be the game of the year for many people, for sure. It offers an incredible amount of game options, length, fun and gameplay possibilities but, most of all, it offers a ""real"" world to live in for the coming months."
"The Jimquisition","95","What I can say is that Fallout 4 is a wild ride that gets its hooks in you deep, with a number of welcome improvements and a settlement management system that could be its own entirely separate game. All that, and not a single microtransaction in sight, despite the game being easily structured for such a horrible business practice to slide right in. That is impressive."
"Playstation Universe","95","Fallout 4 captivates with a hauntingly beautiful apocalypse and refuses to let go. Exceptional gameplay is marred by a few flaws, but the Wasteland’s flaws have never been fewer."
