"publisher","score","review"
"The Daily Dot","100","Super Mario Maker is a construction tool bundled with the kind of online community Nintendo fans have always wanted."
"ZTGD","100","This is a dream come true for Mario fans and anyone with a penchant for designing their own platformers."
"Gamestyle","100","A chance to live out some of your childhood dreams and make games for Nintendo!"
"Gaming Age","100","Besides that one minor gripe, Super Mario Maker is one of the best titles the House of N has created in years."
"Brash Games","100","The potential for what this level editor can create is huge. It’s an amazing tool for anyone who fancies trying their hand at level design, and I’ve had the opportunity to play some truly stunning stages from users around the world as a result of it."
"Giant Bomb","100","Super Mario Maker lets you make your own Super Mario Bros. levels and if that isn't enough for you then you're probably beyond help anyway."
"Telegraph","100","Super Mario Maker’s chaotic smorgasbord is part of its appeal. Wild, unbridled and even inspiring, Super Mario Maker achieves the envious feat of making both Play and Creation a joy. And all it had to do was remove the barrier between the two."
"DarkStation","100","Super Mario Maker delivers on its promise with the kind of ease you’d expect of a company like Nintendo with a tentpole release of a new entry in their best known series. Level creation is easy and provides plenty of creation room, and using the Gamepad is as simple as dragging and dropping."
"GamesBeat","100","It has put unparalleled craft and care into every element of this game because it loves Mario as much as we do. And that propels this game into a whole other realm of greatness."
"Nintendo Life","100","The user interface, the creativity of the tools that feed the player's imagination and the overall polish are a testament to the development team's efforts. Whether creating, exploring or just playing, Super Mario Maker provides an exceptional experience."
"USgamer","100","Whether you're a serious student of game design, looking to kill a few minutes with your friends' creations, or an avid enthusiast of sadism through game design, you'll find something to love in Super Mario Maker."
"Nintendo Enthusiast","95","This is an incredible tool – it lets you create and test with exceptional ease, all without sacrificing the number of possibilities or sense of professionalism in the finished product. Super Mario Maker truly offers you more or less everything you need to create the level of your dreams."
"CD-Action","95","Who could have expected such absurdly high quality from a level editor? [11/2015, p.62]"
"GameCrate","95","Super Mario Maker is more than a just an amazing toolbox for content creation — it's also a big, beautiful toy box filled with all sorts of incredible, remarkable toys each with individual parts for you to spend hundreds of hours falling in love with. Even if you've never liked this type of game, Super Mario Maker may just win you over."
"God is a Geek","95","It's magnificent, it's crazy, and it's for everyone to enjoy. Truly inclusive, Super Mario Maker is the game you'll smile the most at this year, and worth every penny."
"CGMagazine","95","Super Mario Maker delivers everything you could want from it’s endearingly simple concept and it’s likely a gift that will keep on giving for years to come."
"Polygon","95","I have had a tremendous amount of fun playing Super Mario Maker, but the way it developed that newfound appreciation for something I've known my whole life was the game's biggest accomplishment."
"EGM","95","Super Mario Maker’s a glorified level maker, but it’s a good one. Though it’s a little short on content, there’s plenty to play around with, and I’m looking forward to seeing what the community can make with it. In the meantime, it’s easy to learn, it’s fun to play, and it’s packed with enough Easter eggs to put the Easter Bunny out of business."
"IGN Spain","95","Nintendo's decision to make a Mario editor for his 30th anniversary now has full meaning. A brilliant editor whose limits are the imaginations of the players."
"InsideGamer.nl","93","Super Mario Maker is the dream game we have been waiting for ever since we've played the first Mario ever. The level editor is very easy to use and online you will find the best levels you ever played, and they keep on coming. Super Mario Maker is the ultimate Mario to rule them all."
"Games Master UK","92","There are more flexible and expansive creative tools, but none as joyous or accessible as this. [Oct 2015, p.51]"
"Impulsegamer","92","An innovative tool for designing your very own Mushroom Kingdom."
"Nintendojo","91","Mario Maker is a refreshing take on the Super Mario formula, offering fans the chance to play with the famous plumber in ways that they never have before."
"Switch Brasil","90","Super Mario Maker is, above all, fun and for everyone, just like the series on which it is based."
"Edge Magazine","90","Super Mario Maker's greatest achievement isn't in the pleasing snappiness of its creation, but how it fosters a deeper understanding, and appreciation, of good level design. There can be few finer ways of marking the series' 30th birthday than that. [Nov 2015, p.104]"
"PLAY! Zine","90","Much more than just an amazing level editor, Mario Maker is the essential title for every 2D Mario fan."
"NF Magazine","90","This game's going to get itself integrated into your life as a new nightly ritual. [Issue #17 – September/October 2015, p.66]"
"Slant Magazine","90","It's an experiment that acts as both deconstruction and overjoyed celebration of everything that is Super Mario Bros."
"Arcade Sushi","90","Everyone from the classic Mario Bros. era to the current wave of video games will feel right at home with Super Mario Maker, and I would encourage everyone to don the yellow hard hat and get cracking."
"The Jimquisition","90","Crafting is intuitive, navigation is quick, and the sheer scale of what can be done is deceptively vast. Trying the intricate work of some of Course World’s most talented designers will showcase in seconds just what can be done. It’s an encouraging thing, and that’s something this game does so well – it encourages, inspiring its users to keep making bigger and better things."
"Meristation","90","Super Mario Maker is a powerful creation tool designed to make challenging, incredible and surreal Mario 2D levels. Great Mario tribute and enjoyable games for creators and for those who only want to play."
"Games.cz","90","Super Mario Maker is mainly the editor mostly for creative souls. But even players without any design ambition find here a lot of fun and original concepts brought by others."
"Hardcore Gamer","90","Super Mario Maker is a special video game, period. You could include all of the lengthy, metaphor-laden nonsense that your little brain can come up with as to what is and isn’t perfect about it, but at the end of the day, this is a title that allows you to create and play Super Mario Bros. levels for as long as your thumbs can handle."
"Digitally Downloaded","90","A remarkable game that only just falls short of what many have been dreaming of for 30-odd years."
"games(TM)","90","Super Mario Maker takes one of the most beloved franchises in gaming history and gives it one of the most intuitive level editors ever seen, one flexible enough to allow for countless possibilities. It’s bursting with charm, contains some real laugh-out loud moments and is essential for any Mario fan."
"Level7.nu","90","Super Mario Maker is easily one of the best games on the Wii U, if notthe best. It's so creative and so easy to learn that you will have noproblem at all designing the Mario levels of your dreams, even if youare not that use to the do it yourself genre. Super Mario Maker is thegame that the Wii U should have launched together with."
"IGN Italia","90","A wonderful editor, which is actually a whole new Mario. This is not an editor to recreate old style levels: its own limitations dictate a level design style for quick experiences. The result, while not for everyone, is amazing."
"GameOver.gr","90","By offering some great tools to the user, Super Mario Maker gives the opportunity to create great works limited only by your imagination. And if you don't have the time to create your own be assured that in a couple of weeks there will be thousands of mini games and levels created by others for you to try out."
"Atomix","90","I never thought that level creation would be more fun that playing, but most of the time I have had with Super Mario Maker was precisely creating. I believe that when you start creating the results will be mind blowing."
"Power Unlimited","90","Super Mario Maker is the most accessible and fun to use level editor yet and there’s more than enough to do if you’re not the creative type."
"Eurogamer Italy","90","With Super Mario Maker, Nintendo is giving you the entirety of its legacy, along with a perfect editor to play with. Both creators and old school players will find in this game a fun, powerful and addictive experience."
"GamesVillage.it","90","Super Mario Maker isn't just a powerful level editor, but a sincere, warm and passionate tribute to the most popular Nintendo character. The sixty+ levels created by Nintendo could easily justify the purchase, but the possibilities are really endless. A must have."
"XGN","90","Mario Maker is a must play for Wii U owners, whether they just want to make or play Mario levels. The interface is inviting and straightforward, and the way the game introduces its possibilities is amazing."
"Gameblog.fr","90","Super Mario Maker is obviously the series' most creative experience, its limitations ensuring the fluidity of the process without hindering inventiveness, constantly stimulated by the community's sharings and competition. On top of being a pop icon, Mario therefore asserts the architectural influence of his universe on level design."
"Game Revolution","90","The Course World issues are only minor blemishes on an otherwise fantastic game. Super Mario Maker captures the childlike glee of seeing a game in action and wondering what it would be like to create one."
"TheSixthAxis","90","It’s Nintendo’s love letter to the fans, not just giving them the tools to create and share Mario courses, but wrapping it up in a wonderfully presented package and teaching them everything they could possibly want to know. The beauty is that some fans will inevitably be able to go beyond that and pull off some tricks that Nintendo haven’t even thought of yet."
"We Got This Covered","90","To the few who are deadest on a traditional single-player outing, stay clear. To everyone else, grab your stylus and take the plunge; Super Mario Maker is the king of level creation."
"3DJuegos","90","Super Mario Maker is more than a videogame, it is the best way to understand the history of this franchise. Deep and accessible, this is not the Mario game that we expected, but it is definitely an awesome surprise."
"Digital Chumps","90","Though surely there’s plenty of room for additional features and improvement, Super Mario Maker is a user-generated content experience assembled with the wisdom and mature philosophy of gaming’s finest."
"Shacknews","90","Nintendo is known for being conservative and protective of its properties, and it's taking an uncharacteristic risk by giving players this much control over its most iconic character. We're already seeing creativity flourish. I can only imagine what will happen when we're all Mario's caretakers."
"Attack of the Fanboy","90","Truly showcasing creativity at its finest, Super Mario Maker is yet another gem in the stellar Wii U exclusive library that any Mario fan needs in their life."
"Game Informer","90","Super Mario Maker is simple without being shallow and dense without being overwhelming. Its capabilities are limited compared to other creation games (you can only make platformer levels) but I never felt like I hit a wall in terms of creativity, and was consistently surprised by the work of others."
"GamesRadar+","90","Brimming with positivity and encouragement, Super Mario Maker's brilliant toy box gives you everything you need to easily create and share some truly fantastic levels."
"IGN","90","There will always be more levels to play thanks to the online creation community, and a virtually endless pool of challenges to overcome."
"FNintendo","90","Super Mario Maker is where fanship turns into craftsmanship for those who for years have wished to design their own Mario levels. The game is intuitive and perfectly accessible for experienced players and newcomers alike. The lack of multiplayer is difficult to understand, though, as is the nine day timeframe needed to unlock all contents of the level design tool."
"GameSpot","90","The game won't necessarily turn you into the next Shigeru Miyamoto, but you can almost feel a little bit of that magic rubbing off every time you upload a new creation."
"Hobby Consolas","89","Easy to create, fun to play. It doesn't reach its full potential because it lacks multiplayer and other details, but it's clear that it's going to give us endless fun with thousands of great levels based on the best 2D Marios."
"Multiplayer.it","88","If Super Mario Maker was published between 2006 and 2008, it would have been revolutionary: now, with Little Big Planet and Super Meat Boy out there, it can't be innovative. Anyway, thanks to the gamepad, the editor is amazing... and the controls are as amazing as ever. Even you are only interested in playing (and not in creating) levels, Super Mario Maker is a great game."
"Vandal","88","Super Mario Maker is a great tool to make both traditional and crazy Mario levels. It not only is a really interesting game, but also a great example of what Wii U and its GamePad can do."
"GameTrailers","87","Super Mario Maker is worth checking out to prove what’s possible with the Wii U’s often-ignored gamepad controller. Few games have you staring at the second screen for longer stretches of time, and it just feels good to put stuff together."
"Pelit (Finland)","85","Super Mario Maker makes it easy to create and easy to share your own 2D Mario levels. User created content is wild, uneven in quality and in best cases inspiring. [Oct 2015]"
"COGconnected","85","Super Mario Maker is a game that has nearly unlimited potential, but may be slow out of the starting gate. It will take some time for many to get on board."
"Gamer.nl","85","Super Mario Maker is a crazy fun way of taking your own spin on thirty years of Mario. It is very easy to use, you can switch between building and playing in an instance and the online experience of sharing levels with other people will keep you busy for an endless period of time."
"JeuxActu","85","By giving us the keys to its game design office, Nintendo has achieved yet another great game with Super Mario Maker. Being able to create your own stages is great, while beating the ones made by other people can prove quite frustrating. Still a game to own of you like Nintendo and have an interest in level design."
"LevelUp","85","The ultimate creation tool, Super Mario Maker is the dream of many, with an elegant, easy to use interface and countless possibilities even if a little impaired by its dosed content and by some limitation to your creative choices. The best creation utility Nintendo has ever sold."
"GamingTrend","85","Simple, inspired, and constantly encouraging, Super Mario Maker gives players the freedom to enjoy Mario the way they like to the most. The pre-made levels are mostly just samples, but the real potential lies with the online community. Super Mario Maker not only respects Mario’s 30-year history, it gives players the keys to the Mushroom Kingdom like never before."
"Gaming Nexus","85","It’s a heck of a first effort from Nintendo when it comes to level editors, with a shockingly deep number of options. However its few limitations are puzzling, and its time-based content gating makes it very slow to start creating."
"Post Arcade (National Post)","85","It’s not going to be Nintendo’s next Super Smash Bros., but Super Mario Maker is something close to essential for anyone who’s ever played a Super Mario Bros. game and thought: You know, I think I could do that."
"Kill Screen","83","What Mario Maker is at heart: a mash-up machine."
"Cheat Code Central","82","Super Mario Maker plays a Warp Whistle directly to the right hemisphere of the brain."
"SpazioGames","80","There are no worlds or adventures in this editor, but it's still Mario, with the possibility of creating amazing levels with a deep and pretty intuitive editor. The potential is immense, the quality level is high, as expected by Nintendo, and it's hard not to have fun exploring the creations of the community. It could have had more options, but it's still an amazing editor as it is. Now let's see how creative the Super Mario community is."
"LEVEL (Czech Republic)","80","Super Mario level editor is not only easy to use, but also immensely entertaining. And those, who are clumsy, can use the myriad of awesome gaming creations from the more gifted users. [Issue#257]"
