"publisher","score","review"
"LEVEL (Czech Republic)","100","The conclusion of Geralt’s game saga couldn’t be better. The large open world, great storytelling and dozens of hours of pure fun – this game is an absolute must for every RPG fan. [Issue#253]"
"The Digital Fix","100","You’ll not want it to end, just like you didn’t want your very favourite RPGs of years’ past to end either. The Witcher 3: Wild Hunt will sit in that list now. There isn’t any higher praise."
"DarkStation","100","Make some room on your hard drive and shelf, The Witcher 3: Wild Hunt deserves a permanent spot in your gaming library."
"We Got This Covered","100","The Witcher 3: Wild Hunt manages to constantly excite and amaze, with sublime storytelling and engrossing gameplay that never leaves you wanting more."
"Play UK","100","Quality like this doesn't tend to arrive until way later in a generation, so we doff our caps to the team at CDPR for breaking tradition to deliver one of the best RPGs we've ever played. [Issue#247, p.60]"
"Twinfinite","100","It is a shining example of what RPGs should be: an experience that makes you believe that you’re truly part of a game’s world and that you have a very real stake in it. That’s exactly what Wild Hunt has achieved here."
"Playstation Official Magazine Australia","100","The new benchmark for open-world Western RPGs on PS4. CD Projekt Red, we love the voodoo that you do in the Witcher 3.  [July 2015, p70]"
"Hardcore Gamer","100","The Witcher 3: Wild Hunt is equal parts daunting, accessible, beautiful and hideous, but every aspect combines in such a remarkable way that it’s nearly impossible to not give it a sweeping recommendation."
"Digital Spy","100","Not only do you care about the characters and want to see how their stories end, but you want to scour every inch of The Witcher 3's glorious game world. It's a world you want to get lost in, a world where fast travel is an afterthought and a world you want to keep exploring in case there's something you've missed."
"Push Square","100","Its shockingly cohesive world is as beautiful as it is demanding, and it's packed full of mature content that throws you from one emotional response to the next. Its storytelling is superb, its combat is grippingly refined, and its often unforgiving nature only lends itself to a brilliantly rewarding experience."
"Gameplanet","100","The Witcher 3 is a triumph. CD Projekt has delivered a world that is epic and textured, and a narrative composed of swelling crescendos and artful asides. This is a studio at the top of its game delivering a title that’s now at the top of the field. Quite simply, The Witcher 3 is unmissable."
"Guardian","100","The way in which the developers manage to wrangle the various, divergent threads of your unique journey, with all of its composite choices and outcomes, while entirely concealing the seams is masterly."
"Telegraph","100","There is no saving the world, here, no great evil force pervading the landscape, or a doomsday clock ticking down to inevitable destruction, with only you to stand in its way. The story of Wild Hunt is a personal one, set in a huge and unrelentingly beautiful world."
"Eurogamer Poland","100","The Witcher 3 is a masterpiece, and in many respects simply the best and most exciting game in recent years. It captivates players with artistic vision, a huge world and an epic story. The developers were not looking for cheap applause - game design is uncompromising, consistent, thoughtful and nuanced."
"AusGamers","100","It’s a story worthy of a place in the more accepted subculture of dark fantasy ruled across media by Game of Thrones. First-timers will easily love this facet but may also be surprised to learn that this series, and the books it’s based upon, have been the at the fore of adult and mature storytelling for a long time. Wild Hunt is both at times brutal and sexy, with a juxtaposition of hard-edged steel (or silver), blood and death being met with soft, naked skin; passion, lust and even love."
"Impulsegamer","100","This game has got characters that you actually care about, a story that is very engaging from the get go and almost flawless gaming mechanics."
"GameSpot","100","One of the best role-playing games ever crafted, a titan among giants and the standard-setter for all such games going forward. Where the Witcher 2 sputtered to a halt, The Witcher 3 is always in a crescendo, crafting battle scenarios that constantly one-up the last, until you reach the explosive finale and recover in the glow of the game's quiet denouement."
"Atomix","98","The Witcher 3: Wild Hunt is a perfect example of how studios should be developing videogames. CD Projekt Red presents us an epic adventure that works in every single way. Is hard to find the right words to do justice to this masterpiece that everyone must try."
