"publisher","score","review"
"BaziCenter","100","By entering the world of Inside, you'll forget your own world and everything that's been going on in it. From beautiful art design to engaging gameplay, thrilling atmosphere to marvelous story, everything about this game is truly exceptional. Do not miss it."
"New York Daily News","100","It's all an experience worth savoring and enjoying throughout the brief five-hour playtime. Much like Limbo before it, Inside is a simple game, utilizing classic tried-and-true mechanics to quietly tell a strong story."
"We Got This Covered","100","Playdead's Inside is one of those rare games that has to be experienced first hand in order to understand its importance. Rest assured, you'd be hard pressed to find another game that's equally brilliant and beautiful."
"TrueAchievements","100","Inside is a game that has to be experienced first-hand to be understood and I’d urge everyone to play it. At three to four hours it is on the short side, but thanks to the thought provoking and surprising story, tight gameplay and exceptional sound and visual design, Inside will leave a long lasting impression that will more than make it worth its price tag."
"Impulsegamer","100","Not only would I recommend playing this game I would put it under the category of required playing especially as it is very competitively priced for a game that has obviously had a huge amount of work put it to perfecting it."
"ICXM","100","Inside is a masterpiece waiting to be played and a worthy successor to Limbo that is just as thought-provoking, if not more. Playing through even one section of the game, the amount of polish and attention to detail is apparent. Not many games stick with me after the credits roll, but Inside is one of those rare few."
"Washington Post","100","The game is a procession of stately, grim exclamation marks. It is visionary art."
"Guardian","100","Inside is constantly surprising, introducing new elements without ever overwhelming, maintaining an excellent pace over the course of about four hours."
"IGN Sweden","100","When a game has a perfect level design, an almost perfect character design and a fantastic narrative with an amazing atmosphere it results in one of the most fascinating games I've played in recent years. And that game is called Inside."
"Brash Games","100","It took Playdead almost six years to put out their follow-up to Limbo, and that time certainly was put to good use. It’s world is simultaneously macabre and filled with heart."
"Game Over Online","100","Much like Limbo, Inside also has a timeless quality to it and is yet another must-play experience from Playdead."
"Gameplanet","100","It’s a rare game that keeps you ruminating over the meaning of its background elements long after you’ve finished playing it. It’s also a rare game that demonstrates exactly what the medium as a whole is capable of. Do not wait: play it...Inside is absolutely astonishing."
"High-Def Digest","100","Playdead could have simply made yet another 'Limbo' and it would've been great. Instead, they kept the core gameplay and went into a bold yet familiar direction with it. 'Inside' hasn't left my thoughts since I completed it, and I doubt it will any time soon. It's a fantastic game that proves what the medium can do when used correctly, and provides an experience that can't be replicated by film or literature."
"The Jimquisition","100","Describing Inside is difficult, not because one can’t find the words, but because it has to be seen to truly be believed."
"Digital Spy","100","It's rare that a game can be beautiful, gruesome, tense and exhilarating all at the same time, but Inside does just that. Its six years in the making really show. It might be just a sidescroller on paper, but it's so polished and well-put-together that its a showcase of Playdead's mastery. It's captivating and moving, gory and bleak but ultimately, Inside is a piece of art from the first stumbling steps to the closing credits."
"Telegraph","100","Playdead's Inside is fiercely intelligent, exquisitely grotesque - and one of the best video games of the year."
"Windows Central","100","The masterful art direction, polished and responsive physics, and blisteringly intuitive gameplay design elevated Inside far, far beyond my expectations – which were already pretty high. Inside is a masterpiece."
"Examiner","100","Gameplay wise, the game is constantly changing and surprising you with fresh ideas...An exceptional game."
"VideoGamer","100","Inside delights from start to finish. Don't miss out on what will surely be one of the best games of this generation."
"XBLA Fans","100","The prospect of not playing this game is far scarier than whatever Inside's ominous bad guys have planned for that poor little boy."
"Time","100","Brings to fruition whatever Playdead’s designers were scratching at six years ago...This now feels like where Limbo was headed all along. I’m just grateful Playdead has been afforded the chance to bring us there."
"Gameblog.fr","100","Inside is one of those games that can mark you for life. Walking in the footsteps of Limbo, it builds its own identity in a beautiful way and improve the formula in absolutely everything we had already fell in love with just a few years ago."
"USgamer","100","Combine a highly compelling visual narrative with superb puzzles and brilliant platforming, and you have Inside, one of the most intriguing, addictive, and beautiful-looking games of this generation. Its only downside is that it's quite short, but while it lasts, it's absolutely glorious."
