"publisher","score","review"
"GameGrin","100","Where it takes mechanics from others in the industry, it improves upon them; where it introduces new ones, you slap your forehead in amazement that it hasn’t been done before. Breath of the Wild is development done right, and damn near the best game you’ll play all year."
"Wired UK","100","Breath of the Wild is a masterpiece."
"Vgames","100","The Legend of Zelda: Breath of the Wild is nothing short of a masterpiece. The changes made to this game make it both brand new and familiar. The world the game brings us to is vast, beautiful and breathtaking and the soundtrack and sound design are absolutely phenomenal. As a man who has interest in game design this game is a great lesson in how it's done, as a gamer this was a great game to play and as a long time fan of the series I was just so happy I got to play this game. The Legend of Zelda: Breath of the Wild was set to be a one of a kind experience and indeed it was."
"CD-Action","100","I was truly shocked by how good Breath of the Wild is. Nintendo decided to wade into the sandbox games genre dominated by western developers and the result is an open world which outrivals all Assassin’s Creeds, Skyrims, The Witchers and Just Causes combined and offers unprecedented degree of interaction. Simply put, Breath of the Wild is the unbelievable new standard for open world games. [05/2017, p.56]"
"PLAY! Zine","100","There are no words to describe just how divine Breath of the Wild is. It’s easy to pinpoint its mortal weaknesses, but impossible to number all the strengths, this game represents a new definition of perfection. A simple, outstanding reminder of how simple ideas can overcome modern desires through the power of sheer effort and love."
"NF Magazine","100","The Legend of Zelda: Breath of the Wild is one of those rare games. It's an Ocarina of Time-level game. It is a Super Mario Galaxy-level game. This is a game that we're going to be talking about for decades to come. [Issue #27 – May/June 2017, p. 74]"
"App Trigger","100","It’s beautiful, emotional, full of surprises and nostalgia, and just flat-out enjoyable to play at every moment. While I have played open world titles before, Breath of the Wild gave me a new sense of control over how my adventure played out, offering me a steady flow of chosen objectives and paths to them without overwhelming me with unnecessary information or bogging me down in sidequests. Mechanically sound, aesthetically pleasing (often breathtaking), challenging but rewarding, Breath of the Wild is a joyous journey you won’t want to put down, just so you can see what’s on the other side of each new hill."
"RPGamer","100","Breath of the Wild is a stunning achievement in terms of gameplay, technical detail, and world building, making the overall experience just fantastic. The Zelda series is certainly no stranger to quality, producing high quality titles since the days of Link to the Past. Never, though, has there been a Zelda quite like this. The openness of its structure brings a breadth of adventure that the series hasn't seen in a long time. It is not only a fantastic game in its own right, but provides a base for the series to build on for years to come. This instance of Hyrule is a joy to explore, and no fan of adventures, or games in general, should miss out on this title."
"LEVEL (Czech Republic)","100","Zelda gets you in with a series of clever puzzles, interactivity and richness of the gaming world, catchy combat and great design. One of the best games of all time. [Issue#273]"
"Vooks","100","Breath of the Wild isn’t just the best Zelda game ever crafted, it’s one of the best games of all time...Hand over the crown, Ocarina of Time."
"Post Arcade (National Post)","100","If it’s impossible to have a perfect game, then the game that earns a perfect score is the one that is as good as we have any right to expect. I expected a lot from The Legend of Zelda: Breath of the Wild. And with its beauty, scope, innovation, sheer playability, and nearly constant sense of joy and wonder, it soared beyond those expectations with ease...So yes, The Legend of Zelda: Breath of the Wild receives a perfect score, only the third I’ve given out here on Post Arcade. Now go play. It’s almost unimaginable that you will be disappointed."
"GameOver.gr","100","It is a magical trip to a brave new world for the franchise. There are some issues and possibly a few flaws, but they are not capable of leaving even a smudge on the beautiful face of this masterpiece."
"GameSpew","100","Breath of the Wild is a marvel of design; it’s a wonder of ingenuity, and it has completely changed the standard when it comes to open world game creation."
"Games.cz","100","The largest Zelda? No dispute. The finest launch title for a new console? So, it is. And isn´t it also the best Zelda? Yippee. And something more. Breath of the Wild is so far the best Zelda, which will be unforgettably written in the history of open-world games."
"GRYOnline.pl","100","The new Zelda game is so big and so full of everything that it's impossible to write about all of that in a traditional review. Breath of the Wild is a true system seller, probably the best starting game in the history of gaming. Nintendo is back and if only this quality of game design is maintained, Switch will become THE console. No question."
"Switch Brasil","100","Breath of the Wild breathes the fresh air that the series needed, and it's this renovated air that makes this game so phenomenal. It's that sense of freedom, of liberation, of emancipation that we want for our lives, to look at the clock and not feel tortured with routine. That's the feeling that Breath of the Wild brings to every gameplay. If you are a gamer (whatever company you cheer for), don't miss the opportunity to play this Legend of Zelda. Games like this don't pop up every day."
"Impulsegamer","100","One of the best Zelda games to date and it’s also the perfect game for the Nintendo Switch due to its portability. It’s a very well-crafted game with some wonderful gaming mechanics and nothing feels contrived or limited but rather, it creates a very engaging open-world experience and one that feels real on so many levels."
"GameCritics","100","Breath of the Wild is a phenomenal title in and of itself, but it’s particularly special in that it embodies the vision for the series that Miyamoto and Aonuma have never been able to realize until now. It’s a game three decades in the making, and it’s no exaggeration to say that I’ve been waiting my entire life for this. Breath of the Wild is, by any measure except nostalgia, the best Zelda game ever made, and considering how many unbeatable classics this series has already produced, that is a staggering accomplishment."
"Nintendo Enthusiast","100","It’s by no means a perfect game, as no game can be. But its faults are simply overwhelmed by its positives, and they never detracted from the joy I felt with each passing hour. Indeed, it’s the best Zelda game the company has ever made, and certainly one of its best games of all time. In this, it’s more than just a game for the storied company: it’s a statement that Nintendo continues to have some of the best game developers in the world, and its understanding of joy is second to none."
"Twinfinite","100","Breath of the Wild doesn’t feel like an experiment for the Zelda series, it feels like the realization of what Zelda always wanted to be. It easily stands toe-to-toe with the best open world games of the generation, and is a marvelous way to introduce a brand new system. Whether you’re a Zelda fan or not, this is certainly an experience you should not miss out on."
"TrueGaming","100","Breath of the Wild is a ""Legendary"" game and one of the absolute best in the long history of video games."
"ZTGD","100","There are already a ton of great games in 2017, with plenty more to come over the next nine months, but Zelda is a once-a-generation title that I think no one should miss out on. Fans of the series will be in love, those that never managed to get into it will be enthralled. This is the next evolution of the series, and quite possibly one of the best games I have ever played. Do not miss this game."
"Areajugones","100","A wonderful experience is what awaits the player in this piece of art. The Legend of Zelda: Breath of the Wild is a must-have and it represents a new era for the saga."
"Critical Hit","100","The Legend of Zelda: Breath of the Wild is, without a doubt, a masterpiece. Its few minor faults do little to detract from one of the very best games ever made."
"Pocket Gamer UK","100","The Legend of Zelda: Breath of the Wild is easily a contender for the best game of all time. It's a mastercraft in both technical and game design, and one which we'll be talking about for many years to come."
"Digitally Downloaded","100","The Legend of Zelda: Breath of the Wild has taken over A Link to the Past as my favourite game in the entire Zelda series. Therefore, Breath of the Wild has become what I consider to be the greatest game I have ever played. It does not have the narrative depth of other games reviewed on this site, but it is the first open-world game since the original Legend of Zelda that successfully tells the player to take it at their own pace (without feeling like you should be doing something else)."
"New York Daily News","100","Despite the stellar story and the absolutely fantastic visuals (aside from some framerate issues on the Switch), it’s this world overflowing with life that will grab and hold your attention for hours upon hours of gaming. As much as this is a story-driven RPG, Breath of the Wild is about its world, a world so vast that you could spend hours upon hours traversing its lands (trust me, I did) before actually making tangible progress in the story...It’s the Zelda game we’ve all been waiting for."
"M3","100","The Legend of Zelda: Breath of The Wild is not just the best game in the franchise, it’s also manages to reinvent the open world genre. This will be remembered as a masterpiece for years to come."
"The Sydney Morning Herald","100","Many games have presented a ""go anywhere, do anything"" structure, but few have been filled with places, challenges and mysteries as intriguing and charming as Breath of the Wild. The massive land of Hyrule, from beautiful grassy plains and craggy mountains to marshy swamps and long-forgotten ruins, is rife with wildlife, monsters, villages and all manner of suspicious landmarks that tug constantly at your curiosity, and demand to be investigated."
"Let's Play Video Games","100","I’ve honestly fallen head over heels in love with Breath of the Wild in a way I’ve not fallen in love with an open world game before. While many of the singular elements I’ve spoken about here may not sound terribly groundbreaking for the genre, the way they come together once you’re a couple of hours deep is some of the best paced, polished and fun open world design I have ever experienced. The separate parts combine into something far exceeding their sum total."
"Digital Spy","100","Breath of the Wild is still very much a traditional Zelda adventure at its heart. Smart puzzles, dungeon-dwelling bosses, charming characters, and imaginative storytelling are still on the agenda. In fact, thanks to inspired new powers spawned from the mysterious Sheika Slate, puzzle-filled Shrines, brilliantly crafted enemy encounters, and a beautiful world brimming with life, the game's more familiar beats are better than ever."
"Cubed3","100","This is the pinnacle of adventuring, Zelda style. It takes the core elements that fans know and love from Nintendo's long-standing series, and mixes it smoothly in with gorgeous open-world exploration of Xenoblade Chronicles, to craft something so breath-taking and absorbing that hours upon hours will pass by without notice, and barely any progress will have actually been made in the main story because there were so many other aspects to take in and play around with, as well as sub-missions that fit so naturally into the core quest. Nintendo has outdone itself with The Legend of Zelda: Breath of the Wild - absolutely sublime work."
"Atomix","100","A titanic open world full of life and things to do, a robust combat system, the best story ever to grace the series, an unprecedented artistic direction, puzzles that will blow your mind...are only some of the elements that make The Legend of Zelda: Breath of the Wild an authentic masterpiece that will leave a mark on this medium forever."
"Forbes","100","It's one of the best video games I've ever played, and is sure to keep you busy for many hours, days and weeks, exploring this vast, beautiful, unexpected world."
"DualShockers","100","The Legend of Zelda: Breath of the Wild is no mere Zelda game — it is a return to form for the decades-old series, showing that Nintendo still very much understands how to handle their property. Breath of the Wild may not only be the best Zelda game ever produced, but it rivals Super Mario 64 and Halo: Combat Evolved for the best launch game ever shipped with any console. With no exception, The Legend of Zelda: Breath of the Wild is a masterclass in game design and creativity, unprecedented from even Nintendo."
"Yahoo!","100","With Breath of the Wild, Nintendo has built a living, breathing world that you never want to leave. If you’re a newcomer to the series, a longtime fan or just want to see what all the hype is about, you won’t be disappointed."
"Cheat Code Central","100","The characters are amazing, the world is gorgeous, the enemies make you become a better fighter, and the shrines and dungeons constantly force you to pay attention to your surroundings and think. It is an absolutely extraordinary game, one that is a fitting end to the Wii U and glorious beginning for the Switch."
"The Daily Dot","100","Breath of the Wild’s only tangible constraint is how creative the player can be at any given moment. The game is genuinely challenging, with secrets and rewards to be found around every corner. As you play, the staggering amount of ways in which you can interact with Hyrule naturally reveal themselves. There is always something new to discover, but at your own pace. Somehow, the adventure never loses momentum over dozens of hours of exploration, the inspired design holds up, making for an unmistakable Zelda game that completely changes everything expected from the series. After spending so much time with Breath of the Wild, it is already hard to imagine going back to the antiquated presentation of the past."
"Trusted Reviews","100","If there’s a better game out there than Breath of the Wild, I haven’t played it. Nintendo has created, for me, the greatest game of all time. It’s everything I want from a game and one of the most rewarding experiences I’ve ever had."
"GamesBeat","100","I think the result of all of its interlocking systems is a game that wants to slam you with moments of epiphanies. For me, my experience with Link’s Awakening was about getting that one major flash of insight and then using that to understand the rest of the game and then the rest of the Zelda series. For Breath of the Wild, Nintendo made a game that could replicate that moment over and over."
"COGconnected","100","The Legend of Zelda: Breath of the Wild is Nintendo firing on all cylinders. It's not just the best Zelda game yet, it's quite possibly the best game Nintendo has ever produced and is nothing short of a masterpiece."
