"publisher","score","review"
"LEVEL (Czech Republic)","100","Horizon Zero Dawn is a perfect proof, that if you give developers creative freedom and time, it will get you a sweet reward. For fans of action adventures and wonderful worlds Horizon is the obvious choice. [Issue#272]"
"Playstation Official Magazine Australia","100","A stunningly good start to what will surely become a treasured PlayStation series. Brilliant stuff. [April 2017, p.71]"
"RPGamer","100","Horizon Zero Dawn is as close to a flawless RPG as one could hope for; developer Guerilla Games went for the gold in every respect, and it shows. The game boasts immense production values in its gorgeous art direction, and is stuffed to the gills with great voiceover performances, atmospheric and tuneful music, and visceral sound effects work. Even more importantly, it provides a top-notch story that delights in plunging the unsuspecting player headfirst down a rabbit hole of epic proportions, far and away its strongest achievement."
"Toronto Sun","100","Amsterdam-based studio Guerilla Games, best known for PlayStation’s grim but visually impressive Killzone franchise, spent more than six years on Horizon Zero Dawn, and it shows: in the beauty of the game’s visuals, the depth of its backstory and the tightness of its design. Hopefully this isn’t the last we’ll see of this high-tech savage land. (Horizon Forbidden West, maybe? Please?)"
"Slant Magazine","100","This game is, above all else, a narrative triumph: a nuanced hero's journey that blends tried-and-tested tribal fantasy tropes to a particularly poignant and humanistic brand of post-apocalyptic sci-fi."
"Gaming Age","100","If you own a PlayStation 4 or are thinking about getting one in the near future there’s not many excuses to not pick up Horizon: Zero Dawn. The five years of time and effort that Guerrilla Games poured into the title is evident, and it’s certainly one of the best open world action RPG experiences in recent memory."
"DualShockers","100","An absolutely fantastic game. It’s very polished, and comes with a compelling story, relatable characters, an absolutely fascinating setting, and top-notch gameplay. On top of that, its visuals will make you wonder if Santa secretly sneaked into your room to replace your PS4 with a gaming PC while you were asleep. It simply looks that good."
"Giant Bomb","100","Horizon: Zero Dawn is familiar but also really refreshing. It's not a short game (I spent around 30 hours with it), but the storytelling still feels concise and efficient. The combat has some nice options that make encounters fun, even when you're just stacking up stealth kills from the relative safety of a bush. And the presentation end of the game holds up its end of things with a solid soundtrack, great voice acting, and a cohesive design that makes all its disparate parts fit together. All in all, it's a great game, it's Guerrilla's strongest release to date."
"Twinfinite","100","Its magical world is a wonder to explore, it controls and looks exceptional, and the unique, modular build of its enemies ensures that combat never gets old. Yes, items could have been more accessible, and I was left with more questions than answers by the end, but these were mere speed bumps in the bigger picture. Horizon Zero Dawn is the PS4’s first major exclusive of 2017, and it couldn’t have gotten much better."
"Telegraph","100","On the surface, Horizon seems like a jumble of influences but, just like the murderous machina wandering its lands, the game is far more than its component parts, delivering a gripping story, satisfying combat, and the most gorgeous video game environments I’ve ever seen. Horizon confidently carves out an identity of its own in an overpopulated genre."
"PlayStation LifeStyle","100","Horizon Zero Dawn is an early contender for game of the year. Guerrilla Games has outdone themselves, in astounding fashion. This is a glorious game, the result of a team of masterful artisans who not only had a story that they wished to tell, but a world that was living inside of them which they wanted to share with us all. Now, we get to play inside their creation, and it is a breathtaking experience to behold. A massive, open world filled with equally massive, terrifying robots, juxtaposed against the beauty of the Earth, nature fighting back the darkness as it tends to do. Horizon Zero Dawn is the kind of game you play to get lost in, and can be enjoyed by players of all types. This could be the beginning of a stellar franchise, and there is something for everyone here. If you own a PS4, you owe it to yourself to give Horizon Zero Dawn a go."
"COGconnected","100","Horizon Zero Dawn is a sweeping epic, magically dancing across the lines between sci-fi and fantasy, masterfully intertwining two genres that traditionally have held their own space in gaming. It is Guerrilla Games' crowning achievement in video game development. Words cannot do justice for what you need to see for yourself."
"Gaming Nexus","98","I got on the hype train early for this one, and I must say that Guerrilla Games delivers a nearly flawless gem of a game. Horizon: Zero Dawn is an exceptional title from start to finish and is an absolute must for any gamer, old or new."
"Digital Chumps","98","The gameplay design here has the best of everything with the minimum amount of flaws. You get a great back-end system with an easy front end that provides an entirely new view on how much fun a bow and arrow led game could be. In addition to the gameplay design details, there’s also so much to explore and so much to do with the gameplay design put together in HZD. All of it is fun, addictive and makes you wish it wouldn’t end."
"Game Over Online","98","Horizon Zero Dawn is Guerrilla Games’ best effort, one of the PS4’s greatest games, and the best game ever crafted from the ground up for the platform. It combines a gripping narrative with intense action that blends both fast-paced combat with slower-paced, tense stealth sections perfectly. Everything about their vision for this game clicks into place and is accentuated by a stellar presentation. The game features top-shelf graphical work, a unique and enjoyable soundtrack, alongside a fantastic cast to make an unforgettable experience."
"Cheat Code Central","98","Heading out into the world of Horizon Zero Dawn to take down these massive machines is an exhilarating feeling, which combines well with a story that gradually unfurls and engages its audience."
"Vgames","97","By looking at this game alone, you would've never imagined Guerilla Games' previous works were on FPS games. Horizon: Zero Dawn reaches perfection in almost all of its aspects and it does so with relative ease. Aloy is an amazing character, a true bad-ass with a great story behind her, and the world she lives in is vast and full of interesting and unique characters and secrets. The combat, while a tad lacking, is extremely fun and addictive and the graphics are some of the best seen on the system with breath-taking vistas. If you happen to own a PS4, you should buy this game. If you don't, then you might want a PS4 for this one. Guerilla Games went and set the bar high for future open world games with this one."
"XGN","97","Guerilla Games has set the bar while it ventures into a new genre. The game looks phenomenal, and it offers variety, tens of hours of fun and an accessible system. It challenges you in every fight to play intelligently. This may be the best game of 2017."
"Impulsegamer","96","There’s been much hype surrounding Horizon Zero Dawn and thankfully it has delivered in more ways than one. It boasts a very likeable and interesting protagonist and the story behind Horizon Zero Dawn is one that is filled with mystery and intrigue. Of course, it’s all about the gameplay and Guerrilla should be commended in creating such a fluid and dynamic game as you explore this post-apocalyptic world 1000 years in the future that is filled with different cultures and even history which seems so real. Combat is fun and the missions are diverse and at the end of the day, Horizon Zero Dawn is a title that really raises the benchmark on the PlayStation 4."
"AusGamers","96","While the main storyline was lacking, there's a reason good world-building is critical to good fantasy, and like I said, this game nails it. I loved about the game was the way it used Aloy's Focus to force you to examine things. Each new area becomes a crime scene as Aloy examines and analyses what's been left behind. It's a clever way to blend the idea of technology into this otherwise primitive world."
"App Trigger","95","Horizon Zero Dawn has an unforgettable protagonist, world, story, visuals, soundtrack and gameplay. Due to minor issues with inventory management and quest selection, I cannot call it perfect but I can say it is absolutely worth your time."
"Games Master UK","95","PS4's best exclusive, and an exhilarating new IP that spits at sequelitis. An instant open-world classic. [April 2017, p.74]"
"Wccftech","95","Horizon Zero Dawn is a pure sign of what can be completed with an exceptionally designed open world. Not only that, it has exceptional characterisation and a sincere story that doesn't shoehorn elements, allowing for the organic growth of characters. This is a game that I can barely find any faults with, except borrowing some elements from other open world games. Even so, it made each and every element its own in one of the best games to date."
"Let's Play Video Games","95","It’s an open world game that kept me engaged and enthralled from start to finish, featured a simplified and polished variant on a combat loop I love, and felt made with a passion and sincerity rare in AAA video games. Horizon: Zero Dawn is right now my favourite game on the PlayStation 4 by quite a long way. It truly is worth of praise."
"PSX-Sense.nl","95","A great story, outstanding visuals and very enjoyable gameplay. Brilliant in every single way. Guerrilla once more cements its reputation as one of PlayStation's very best developers."
"Arcade Sushi","95","Horizon Zero Dawn is compelling from the first minutes of the game, telling an incredible story and marking it with a deep crafting system and exceptional combat. Aloy is inspiring in her lead role, with the potential to become a new leading face in gaming for a long time to come."
"Hobby Consolas","95","Horizon: Zero Dawn is Guerrilla's biggest game to date, and not just from a technical standpoint. It's also one hell of an action RPG, thanks to a complex and satisfying combat system. The story and universe are also huge; Aloy's future is already shining on the horizon. A star is born."
"Gamer.nl","95","It's not often that a game of this caliber lives up to all expectations. Horizon Zero Dawn starts slowly, but transforms in a huge action adventure. We haven't been obsessed with a virtual world to this degree since The Witcher 3. Horizon impresses in every facet imaginable."
"Polygon","95","Horizon Zero Dawn thrums with the energy of a creative team finally allowed to explore something new. It builds on elements of open-world and loot-and-craft gameplay that we've seen before, but it does so within a context, a setting and a style that feel fresh. Horizon Zero Dawn discovers a stronger sense of its own personality in one game than Killzone ever managed across half a dozen. Guerrilla Games has long been developing some of the most buzzed-about games in the industry; with Horizon, it feels like it has finally found its own voice, one worthy of all that buzz."
"Playstation Universe","95","Horizon Zero Dawn reinvigorates open-world RPGs with an excellent story, creative science fiction, and demanding gameplay. Aloy’s debut is one of PS4’s greatest games."
"The Jimquisition","95","Horizon: Zero Dawn is just brilliant. I speak as a critic who has played more ""open sandbox"" games than any one human should and has grown so very weary of them. I should have gotten sick of this thing in an hour, but I've been glued to it for days and days and I  don't want it to end. I love existing in this world - a world of desperate survival but of growing culture and a sense of hope. A world of giant metal animals that promise some breathtaking fights."
"God is a Geek","95","It’s been a long time since a game has been put together this well. The combat is awesome, the visuals are stunning, and Aloy is 100% badass."
"Atomix","93","I am happy to see that Horizon: Zero Dawn is not just a huge balloon inflated with hype, but that they've really done a good job in injecting a lot of personality with good technical achievements that characterize them and also the creation of a World with interesting characters, a good campaign and so much depth in their spaces and societies that we very much crave to return in future sequels."
"Areajugones","93","Horizon Zero Dawn is as good as everybody expected. A powerful narrative and solid gameplay make this Guerrilla game one of the best titles that 2017 has to offer."
"IGN","93","Across a vast and beautiful open world, Horizon: Zero Dawn juggles many moving parts with polish and finesse. Its main activity - combat - is extremely satisfying thanks to the varied design and behaviors of machine-creatures that roam its lands, each of which needs to be taken down with careful consideration. Though side questing could have been more imaginative, its missions are compelling thanks to a central mystery that led me down a deep rabbit hole to a genuinely surprising - and moving - conclusion."
"Pelit (Finland)","92","Quotation forthcoming. [March 2017]"
"IGN Spain","92","There's so much to love in Horizon: Zero Dawn. You may love its gameplay, its magnificent world, its crisp visuals or the excellent sound design. An experience that's worth taking."
"Meristation","92","Horizon: Zero Dawn is probably the best Guerrilla game ever and one of the most solid open world experiences that we've seen recently. A true must-have for Playstation 4 owners."
"Everyeye.it","92","Guerrilla Games did it. Horizon: Zero Dawn is one of the best Open-World games of this generation. It's a wonderful action-RPG set in a vast and unforgettable universe, with a solid (but conventional) plot and - most of all - challenging gameplay."
