"publisher","score","review"
"LEVEL (Czech Republic)","100","The brilliant Japanese RPG, which nails you to your chair for a hundred hours, and you still feel it's not enough. Finally, the whole world will learn about the exceptionality of this series. [Issue#274]"
"Playstation Official Magazine Australia","100","Is there a more accomplished, accessible, brilliantly precocious example of the modern JRPG? Can’t think of one. [May 2017, p62]"
"GameSpew","100","It’s the sort of game that only comes around once every few years. It’s a game that is so unique in every aspect that it’d be impossible to mistake a single moment of it for anything else. It’s also a game about real life, despite the wacky hijinks you’ll often find yourself in. It’s about the moments you have with your friends, laughing around a hot pot as you make jokes only those there would understand. It’s within those moments that Persona 5 enters a league of its own, untouched by its contemporaries in every respect."
"RPGamer","100","With Persona 5, Atlus has once again proven that it is the master of the modern JRPG. With terrific style, addictive gameplay, and an engaging, thought-provoking story, Persona 5 not only matches, but often exceeds its predecessors, one of which RPGamer even declared its RPG of the Decade back in 2010. It is an exceptionally long game, with most players likely to expect over one hundred hours for a single playthrough, but the investment is well worth it. Persona 5 is a remarkable game that shouldn't be missed."
"Gaming Age","100","I’m absolutely in love with this game, and if you haven’t given it a shot yet, I think you’ll find a lot to love about Persona 5 too. It’s not a huge departure from Persona 3 or 4, but there’s been some noticeable changes and improvements made that do make a difference, all of which are for the better. The dungeon variations, the stealth mechanics, and even the ease with which you can navigate the overworld map are noticeably better than before. So even if you’ve felt a little lukewarm about the series up until now, I’d still urge you to give Persona 5 a try."
"Easy Allies","100","While it’s easy to rattle off the merits of the various gameplay systems and gush about the presentation, those aren’t the things that make Persona 5 stick with you. It’s a game that’s willing to comment on the issues of today both in a broader sense and on a personal level. It doesn’t just have typical characters but rather people that you come to know by investing serious time in them. Persona 5 honors the now decades-old Shin Megami Tensei legacy without feeling content to stay within its limits, serving as a prime example of what a modern JRPG should be."
"IBTimes UK","100","Persona 5 isn't just a rank and file member of Japan's streak of game of the year contenders in 2017, it's a blistering RPG masterpiece that cements itself among the all-time greats. Tagging along with the Phantom Thieves of Hearts on their psychedelic capers triggers a contact high of dazzling sights and sounds, with enough thematic depth to match its relentless swagger. It's a game that'll try to steal your own heart, and you'll willingly oblige."
"GameCrate","100","Persona 5 is a JRPG that deserves to be played, period. There are few other games that understand their genre as well as Persona 5 does. It knows exactly what Persona fans, JRPG fans, and gamers in general want to see. It’s not just a game, it’s an addiction, and if you give it a shot you too will find yourself playing and replaying Persona 5 for the better part of 2017."
"Cheat Code Central","100","Persona 5 is a massive game. Dozens upon dozens of hours, even on the critical path, are eaten alive before you even notice it. It achieves this with a level of production that rivals even a Final Fantasy game, albeit on a wildly different plane. There are some hiccups, such as fuzzy textures (this is also on PS3, mind) and some awkward camera/movement, but as soon as the next eye-catching visual effect pops up or the next exciting cutscene with legitimately upsetting villains unravels, it’s like nothing else in your surroundings matters. Persona 5 is special, even more so for people who have been paying attention to this series for the past few decades. Just, you know, clear your calendar for a while."
"Meristation","100","A brilliant way forward for the most traditional side of the JRPG, an example for the genre that should be taking into account for the future."
"Playstation Universe","100","Persona 5 may not pull up many trees in terms of innovation, but it refines and refreshes the things that make a great RPG work. The real star of the show however, is the world this RPG inhabits, and the people in it that you come to adore. Persona 5 is something to sink your entire self into, and end up feeling utterly despondent about when you finally have to leave its stylish embrace."
"Guardian","100","At its core this is a spectacular work of contemporary young adult fiction, one with a strong moral core, angled yet never didactic, expansive yet always focused."
"Gameblog.fr","100","Girls and boys, Persona 5 is simply the new king of Japanese role playing games, and it may even be 2016's game of the year. The story is so deep, the battle system is so well-executed, the art direction is so amazing and the music is so groovy! I instantly felt in love with this game and I am pretty sure you will too."
"Arcade Sushi","100","Atlus has spent the last decade trying to make this niche JPRG franchise more prominent in the west, and Persona 5 deserves to be the game that finally takes the series from obscure to mainstream. Not only is it true to the series’ roots as well as a great starting point for the series, it’s a fantastic game, period. A hundred hours might not even feel like enough time; my first thought upon seeing the credits roll was “Is it too soon for New Game Plus?” Persona 5 is something very special, so never fear, JRPG fans: it was worth the wait."
"USgamer","100","With the most bewitching tale the series has ever told and an incredibly likable cast that rises above their typical archetypes, Persona 5 sings a song of rebellion. Not just against the norm of JRPGs, but of society's oppressive grasp, inspiring its players to rise up as the Phantom Thieves would. In the end, in spite of its minor missteps, Persona 5 has the power to steal the hearts of longterm fans of the series and newcomers alike."
"Game Revolution","100","Persona 5 is the pinnacle of the JRPG genre, showcasing for one of the few times in history what it's like when a beautiful story is assisted by great gameplay. This is a game with a wonderful personality, and one with more content than just about any other single-player game you can name...Persona 5 might have arrived with subtlety like a cool breeze, but its tailwinds will leave behind a confident and meaningful reminder that JRPGs are alive and well."
"GamesRadar+","100","The voice acting is outstanding, the music is genius, the art style is so slick it'll raise your personal coolness level just from being in close proximity to it. Playing Persona 5 will make your hair glossier, increase your vocal range by an octave and add 7.32 years to your overall life expectancy. Play it enough times and you'll likely not only be able to levitate but also make a perfect omelette while in midair. It's THAT good."
"Push Square","100","Persona 5 sets the benchmark for modern Japanese RPGs: it oozes style, charisma, and polish quite unlike anything we've played. With this fifth entry, the series' trademark formula of dungeon delving and socialising has been perfected. Addictive, engaging gameplay, incredibly endearing characters, and a consistently rewarding narrative loop combine to create a spectacularly cohesive whole – whether or not you're already a fan of Persona. A masterpiece from top to bottom."
"RPG Site","100","You'll struggle to find a more complete, self-assured, forward-thinking, and simply joyous example of the modern JRPG than this. Persona 5 knows what it is and is unashamed about it. The result is a game that, for all its themes about imprisonment and societal slavery, is free of shackles itself. That freedom makes it series-defining, genre-defining, and a must-play."
"TheSixthAxis","100","Persona 5 stole my heart. It was impossible to see that the best game of the already venerated series was yet to come, and yet somehow everything works wonderfully. I’d rather the dialogue didn’t pad things out as much as it did, but I was captivated from beginning to end, it brought back mechanics long thought out-dated, and introduced smart changes for the better. An essential RPG for 2017 that you should not miss out on."
"God is a Geek","100","Persona 5 is one of the best games I have had the pleasure of playing and something that managed topping my favourite game of all time Persona 4 Golden in almost every way."
"Playstation Official Magazine UK","100","Whether you’re a series fan, a JRPG evangelist or a total turn-based newcomer, this is an essential play. Persona 5 is packed with stuff to do, expertly put together and exquisite to the last pixel. An unabashed masterpiece. [Issue#134]"
"Vandal","98","This is one of the best games we've ever played. We thought the series had peaked, but Atlus has proved us wrong. Unless you hate RPGs, you shouldn't miss it."
"IGN","97","Persona 5 is a massive, gorgeous JRPG with well over 100 hours of gameplay for completionists. With more to do than ever and the series’ strongest story to date, it stands out as an extraordinary, memorable experience and easily one of the deepest JRPGs of the last decade. Its sprawling dungeon design and stylish, fully realized world are an absolute joy to explore, and even after three playthroughs and the Platinum trophy, I find myself itching to go back to try different dialogue options with Confidants or revisit particularly fun puzzles. This is a new gold standard for Japanese RPGs and by far the best entry in the series yet."
"GamesBeat","97","Persona 5 is full of style and confidence. Persona 5 knows that it's special, and you'll soon know it, too."
"Wccftech","96","Surpassing its predecessors in every way, Persona 5 redefines the Japanese RPG with a stylish band of rogues that should please any fan of the genre."
"IGN Italia","96","Persona 5 is one of the best JRPGs ever: a must-have for fans and an incredible title for any neophyte who wants to approach the genre. A true masterpiece."
"Multiplayer.it","96","Persona 5 is not just a deep and competent role playing game but also one of the better written RPGs ever. Everything just clicks and resonates with players on different levels, depending on their private life and social experiences. Persona 5 is almost educational and, by the end, it makes you look at your life - and videogames alike - in a new, different way."
"Gaming Nexus","95","I'm glad to say that Persona 5 is everything I had hoped it would be and then some. The incremental improvements over the gameplay of Persona 4, the visuals, the soundtrack, all of it came together almost perfectly. That translation could have used a little bit more polish, but otherwise this is the finest work Atlus has ever produced."
"Games Master UK","95","A personality-filled, stylish adventure with gripping mechanics that drill deep into your brain. [Apr 2017, p.66]"
"Critical Hit","95","Persona 5 has redefined a genre of gaming and is a must-play title for every RPG gamer. Much like Persona 4 Golden was a reason to own a PSVita, Persona 5 is a reason to own a PS4. Like FFVII made you fall in love with JRPG’s 20 years ago, Persona 5 will steal your heart."
"LevelUp","95","Persona 5 tries to captivate the player in every possible way. Its masterful mix of genres, crisp art style, and music, as well as the glorious game mechanics won't let you drop the controller until the very end. This iteration of the franchise sets a new standard for the JRPG genre and it is, naturally, an excellent addition to the Best of 2017 games list."
"Vgames","95","Persona 5 is hands down the best game in the Persona series. Hell, it well may be the best JRPG of the last decade. Apart from small minor issues, the game itself is a JRPG masterpiece: The graphics and music compliment the style of the game beautifully, the story is the best in the series, the locations and palaces you visit are astounding and the battle system has been revitalized and feels fresh and new. This game didn't just match people's expectations – it created new ones for the future."
"GamingTrend","95","Persona 5 brings to light modern issues in a powerful, symbolic story of youthful rebellion. Outfitted with a stylish aesthetic and complex systems, it confidently pulls off moments of grandeur and intimate moments of character growth to create a remarkable experience."
"GRYOnline.pl","95","Great game! The new Persona is not for everyone, but those who aren't averse to anime will be drawn to the characters and captivated by the adventure, which is one of the best in recent years in games of this type. I only hope that Atlus won't make us wait for over half a decade for the next installment in the series."
"PlayStation LifeStyle","95","Persona 5 is proof that few titles can compare to a truly great role-playing game. Over its 60 hour playtime I got to forge meaningful friendships with an eccentric cast of characters, discover the secrets of Tokyo, and even managed to find some nice restaurants to dine at. The time investment might seem like a lot, but rarely is time wasted when spent with friends. It doesn’t reinvent the genre, as it largely builds upon Persona 4‘s stellar base, but it adds a level of polish that is simply lacking from its contemporaries."
"PSX-Sense.nl","95","Persona 5 delivers on its lofty promises with an emotional story, deep and innovative gameplay elements, and a unique style. It's as good as the series has ever gotten - and perhaps even better."
"SpazioGames","95","Persona 5 is an essential play for all jRPG fans. Incredibly unique in its style, with a varied and deep battle system, Persona 5 will enchant you with its plot and its interweaving of perfectly designed Tokyo."
"Hobby Consolas","95","Starting from the art direction, following with the gameplay elements and ending with the plot and anything that comes to your mind, Persona 5 is an invaluable masterpiece. It doesn't redefine its genre but it's outstanding in all of his aspects."
"3DJuegos","95","The social criticism that Persona 5 shows is shocking, making the game industry more mature in the process and proving that deep game mechanics and narrative, even with their incompatibilities, can coexist and benefit from each other."
"Everyeye.it","95","The new game made by Atlus is astonishing, mesmerizing and ambitious, characterized by a stunning art design, an intense storyline and an elaborate combat system. Without any doubt, Persona 5 is one of the greatest JRPGs of this generation."
"Impulsegamer","94","With engaging social simulation gameplay, addictive turn-based combat systems and an unmatched visual style, Persona 5 is the ultimate Japanese role-playing game any PlayStation 4 owner, newbie or hardcore fan, should give a fair go in 2017."
"Atomix","94","Persona 5 is simply one of the greatest games and JRPGs in recent years. Atlus exceeded itself with one incredible title that not only offers an even better and perfected formula from its fantastic predecessor (Persona 4), but it also shows how a series can evolve with a few additions and accurate adjustments. With its unique, dark and enjoyable story; cast of memorable characters; a fluid and addictive battle system; and a wide variety of activities to engage in, it is simply impossible to find any reason to deprive yourself of this great experience. Even if you are not a fan of the genre, this is a title you should play at any cost."
"Power Unlimited","93","Persona 5 beats every other turn-based RPG in terms of production values, combat, story, symbolics, character design, music, pace and variety. 2017 is a great year for gaming and Persona 5 confirms this with a load of unmatched swagger."
"Riot Pixels","93","Persona 5 took the best parts of its predecessors and carefully evolved them without making any earth-shattering changes. The result is a more or less traditional Japanese RPG, but it’s so good that I’m ready to go on a limb and declare it one of the best JRPGs of the decade. If not *the* best."
"COGconnected","93","Persona 5 is an incredible gaming experience. With so much to do, so many elements all perfectly balanced and perfected, it’s a showcase of great game design. After 10 years, the wait has been well worth it, and Persona 5 has somehow exceeded our expectations and shown us once again why this is the best JRPG series of all time."
"XGN","93","Persona 5 could be the best JPRG you have ever played. An intriguing journey featuring themes like friendship, morality and justice. Satisfying turn-based combat and the creation of Personas make this game more than just a beautiful interactive novel."
"IGN Spain","93","Artistically refreshing, fun, deep and long. One of the best RPGs that we are going to see in 2017... But it's only in English, which is a mayor flaw in Spain."
"Game Informer","93","If the opening hours of Persona 5 are like starting a massive novel, then the closing hours are like finishing one, complete with the bittersweet finality of turning the last page. But it also carries an immense sense of satisfaction. After 100 hours of playing, all of my big questions were answered. I understood the characters, I knew my way around the world, and I had fun almost every step of the journey. You become a resident of Persona 5 the more you play it, and it has the rare ability to transport in a way few games can."
