"score","review"
10,"In the starting area "" great plateau"" there is endless amounts of things to do and it feels huge! I climbed a mountain to find a shrine and it felt like such a journey. I felt accomplishment something you rarely feel on video games these days.This has to be without a doubt game of the year, and as my experience with the game continues i feel like it could possibly be the best game ever made."
10,"Stunning in every way, While everyone thought that this Zelda would just copy new games and lose its identity, it showed everyone else how its done. What an amazing time to be a gamer"
10,"Breath of the Wild broke a lot of records in the history of gaming. By that, I mean it is most likely impossible to find one thing wrong with this game. It's like Nintendo took the base of Ocarina of Time and modernize it to make it look like this game over here. This is why Nintendo will forever remain in my heart no matter where it all goes. I'm telling you this, Breath of the Wild hasBreath of the Wild broke a lot of records in the history of gaming. By that, I mean it is most likely impossible to find one thing wrong with this game. It's like Nintendo took the base of Ocarina of Time and modernize it to make it look like this game over here. This is why Nintendo will forever remain in my heart no matter where it all goes. I'm telling you this, Breath of the Wild has everything... yes, every... single... thing that made Ocarina of Time look like a masterpiece. This is the lost brother of Ocarina of Time and the true brother Ocarina of Time will ever need. Just go buy this game, it wants your money so bad, it wants you to play it so bad, it wants to be your local friend literally bad. I'll be waiting until you get this game.…"
10,"This game is amazing. It's beautiful and It's so fun I just could not put it down. I love going around and exploring and doing the side quests. The gameplay changed things up from previous Zelda games and its great. The music is fantastic. It's just a great game. I love it."
10,"Breath of the Wild is potent mix of pure Nintendo magic with a strong dose of modern, open-world sensibilities. The combination is something truly wonderful that deserves your time and hard-earned money. Do yourselves a favour and jump right in - the water is just right."
10,"Este juego es la perfeccion en cuanto a juegos de mundo abierto y una revolucion en cuanto a la saga de The Legend Of Zelda se refiere. Excelente en todos los aspectos."
10,"Believe the hype. I was skeptical at first, seeing so many 10s and 100s given out to this game. I went blindly into Breath of the Wild knowing nothing about it except for the main trailer of the game. Hours into the game I can only agree: this game is a masterpiece.There is so much contect, so many things to do, so many places to explore. You are given complete freedom in thisBelieve the hype. I was skeptical at first, seeing so many 10s and 100s given out to this game. I went blindly into Breath of the Wild knowing nothing about it except for the main trailer of the game. Hours into the game I can only agree: this game is a masterpiece.There is so much contect, so many things to do, so many places to explore. You are given complete freedom in this adventure, you can even try to beat the game as soon as you start. Freedom and exploration are perhaps the best gameplay aspects, without leaving behind the sheer amount of actions possible: cooking, riding horseback, climbing... Whether you actually beat the story is also up to you, there is so much to invest in this game you might never grow bored of it.Go play this game. Now. This isn't your typical 10/10 game, it goes beyond that. This game is now videogame history.…"
10,"This is Nintendo! They've done it again! Captivating adventure, unforgettable experience. Lost for words to fully express the way this game makes a player feel. It is unique and you need to find out for yourself what makes it so. An instant classic, no two ways about it."
10,"Down with the fake reviews! I totally own this game and it is awesome!Playing it on the Nintendo Switch is great!  I hope Nintendo can launch other great games during Switch Life Time."
10,"Nintendo ha demostrado que puede innovar en una era donde todo ya está creado, estos 6 años de espera han merecido toda la pena es un juegazo que todos deberían de disfrutar. Han acertado con el mundo abierto, el ciclo día y noche, el clima, las tribus, historias, doblaje, diseño artístico, banda sonora, jugabilidad, dificultad y la combinación de todo eso ha dado como resultado una obraNintendo ha demostrado que puede innovar en una era donde todo ya está creado, estos 6 años de espera han merecido toda la pena es un juegazo que todos deberían de disfrutar. Han acertado con el mundo abierto, el ciclo día y noche, el clima, las tribus, historias, doblaje, diseño artístico, banda sonora, jugabilidad, dificultad y la combinación de todo eso ha dado como resultado una obra maestra.…"
10,"MELHOR ZELDA DESDE OCARINA OF TIME!! da pra perder horas e horas jogando essa LENDAjoguei a versão do WiiU e mal posso esperar para jogar a versão do switch"
10,"This game is the most beautiful game I've ever had the pleasure of playing. The game is huge, and yet dense with so much to do in this large, open-world. People wanting a more traditional Zelda title won't get what they desire with this title, but that's not a bad thing. Breath of the Wild is a breakaway from the series that breathes new life into the series just like Ocarina of Time didThis game is the most beautiful game I've ever had the pleasure of playing. The game is huge, and yet dense with so much to do in this large, open-world. People wanting a more traditional Zelda title won't get what they desire with this title, but that's not a bad thing. Breath of the Wild is a breakaway from the series that breathes new life into the series just like Ocarina of Time did back in its day. This game is essential for anyone and everyone to own and play. Why are you reading this review??? Go out and buy this game now!…"
10,"Game is fabulous.Everything about this game sparks the player’s intuition and rewards them with satisfying results.The world reeks of charm and every town has multiples of interesting NPCs that still have the classic Zelda quirkiness.Combat is very dynamic and fluid and the ability to challenge yourself by going into later stage areas has a perfect risk and reward feel thatGame is fabulous.Everything about this game sparks the player’s intuition and rewards them with satisfying results.The world reeks of charm and every town has multiples of interesting NPCs that still have the classic Zelda quirkiness.Combat is very dynamic and fluid and the ability to challenge yourself by going into later stage areas has a perfect risk and reward feel that encourages you to keep going. Plenty of times I had to remind myself that I should properly follow the main storyline after half an hour in uncharted territory looking for treasure.The game has its issues like any game does. The Frame rate drops being the biggest issue, but I can think of plenty of games that had frame rate issues on release and now run smooth.Personally I would rate the game a 9, but I’m giving a 10 to try and counteract the obvious troll reviews bring the average down.Must buy for a Switch owner or Zelda fan.…"
