"publisher","score","review"
"Telegraph","100","There were no doubts that Doom would play fast, look stunning, or be gory; the surprise is that Doom is as relevant, smart and self-aware as it is; merging old ideas with new ones; injecting its near-flawless shooter mechanics into a campaign that’s impeccably refined, hilariously dumb and fiendishly moreish."
"Giant Bomb","100","It's hard to imagine a better Doom game in 2016 than this exhilarating, darkly witty new take on id's classic."
"GamesRadar+","100","Intelligent, involved, and relentlessly exhilarating, now, just as in '93, the most exciting FPS around is a game called Doom."
"IBTimes UK","100","Intelligent, fresh and endlessly enjoyable, Doom is more than a tribute to its beloved progenitor. Taken in its own right, this is the most finely crafted, technically impressive pure shooter in over a decade, proving that id Software, even after 26 years, is an adept, sophisticated game-maker. It may not create the same tectonic shift in video game culture as its ancestor, but personally, I prefer this Doom to the original. By refining, meticulously, several age-old and taken-for-granted game mechanics, Doom proves that excitement, spectacle and even narrative cohesion can exist in games seemingly composed of the basest elements."
"Brash Games","100","Overall I am completely satisfied with Doom. So far it has been my favourite third party AAA game of this console generation. I can’t remember being this impressed with a first person shooter since BioShock Infinite, and even then I think I prefer this one."
"Digital Chumps","96","DOOM is a masterful reboot of one of the most important and legendary franchises in the history of games; bravo to id and Bethesda."
"Power Unlimited","93","DOOM is a stupendously good package, filled with the best first person shooter action in recent history. DOOM is back ladies and gentlemen, and it is metal as all hell."
"IGN Italia","91","Doom is the best possible way to play, in 2016, something that was great in 1993. Unmissable."
"The Digital Fix","90","Exactly the right amount of old and new, DOOM is an adrenaline rush that borders on overwhelming in the best possible way."
"Edge Magazine","90","Doom's shimmering, bombastic combat is as absorbing as it is revelatory. [Aug 2016, p.100]"
"Playstation Official Magazine UK","90","An important, palate-cleansing release in a crowded genre, Doom is essential playing for anyone who registers as a shooter fan. Heed the call of the FPS daddy and get your ass to Mars, pronto.[July 2016, p.78]"
"GameOver.gr","90","DOOM is the incarnation of classical and vintage FPS gameplay with some really interesting twists that convey even more substance and flavor to the game. DOOM has an uncompromised technical performance and a high replayability value plus a frantic. It’s unfortunate that the old school multiplayer included feels like a lost opportunity. Nevertheless, the whole package pulses with energy and adrenaline. Try it on the higher difficulty settings and feel the wrath of Hell."
"Gameplanet","90","Despite a troubled development, Doom is a confident, cracking throwback that pays loving tribute to its much-vaunted forefathers while bringing the noise via cutting edge tech. In a world awash with sci-fi hitscan shooters, it's a breath of fiery air that will delight as it melts faces."
"Impulsegamer","90","Doom is back on next-gen consoles and it's definitely a worthy reboot in every sense!"
"Game Revolution","90","DOOM is hands-down one of the best reimagined and exciting FPS games this generation."
"Push Square","90","DOOM may become repetitious near the end and doesn't take needed risks with mission variety, but it boasts some of the finest shooting mechanics and thoughtful levels we've seen in a first-person shooter in years, pushing it to the very fringes of excellence. The campaign's a head-banging, heavy metal hoot with a surprisingly good backstory, striking visuals, and two decent multiplayer-minded modes to back it up."
"Playstation Universe","90","A confident resurgence of one of the FPS genre’s pioneering efforts; DOOM not only manages to boast perhaps the finest single-player campaign in the genre but also a blissfully entertaining multiplayer suite and map editor to boot. Make no mistake, this is DOOM 2.0 and it’s one of the very best shooters you can buy on PS4 right now."
"Atomix","90","After so many years, we finally have a new DOOM and it truly feels like a classic game with it's frenetic and addictive gameplay combat. Prepare to fight thousands of demons in planet Mars and hell like the old times. Fantastic accomplishment for id Sofwtare and Bethesda once again."
"God is a Geek","90","It may not be genre-defining like its progenitor but it’s easily the best shooter on the current crop of consoles and one of the finest first person shooters of recent years."
