"publisher","score","review"
"PSNStores","100","The best way to describe the gameplay in Titanfall 2 is fluid and precise."
"Guardian","100","While its contemporaries focus on new ways with which to shock and excite on screen, Respawn makes the simple act of playing feel superlative. Its multiplayer is bigger and better, with the necessary depth and momentum to take it beyond these first few months after release, while its short but exciting single-player mode has the craft of some of the best campaigns of the last decade."
"Gaming Age","100","It’s a better, and fuller version of the original game to me, and ideally we’ll see developer Respawn get another chance to expand upon the series in the near future."
"GameSpew","100","By adding a truly surprising and impeccably designed single-player campaign that is consistently fun to play, as a package Titanfall 2 is the most pure, minute-to-minute fun I’ve had with any game this year."
"Giant Bomb","100","Titanfall 2 might not fix every issue you had with the previous game (and depending on your tastes, it might introduce one or two new ones), but it's a bigger, bolder game that takes a few chances and comes out better and more distinctive for it. On top of all that, it simply feels great."
"Cheat Code Central","96","Everything that makes a shooter fun - mobility, action, and a sense of empowerment - has been perfected here, and we're already waiting to see what Respawn does next."
"Playstation Universe","95","A frenetic, enthralling, and inventive shooter in both single and multiplayer, Titanfall 2 is a spectacular beast of a game that is deserving of a place among the greats of this generation."
"The Jimquisition","95","Titanfall 2 is everything Titanfall should have been – storified, robust, and sufficiently multiplatform. The real series starts here, and I’m surprised at how nothing at all feels phoned in or tacked-on."
"Game Informer","95","In an era where it feels like the majority of shooters either have single-player or multiplayer tacked on, Titanfall 2 is the full package. The top-tier campaign has nearly perfect pacing, and the subtle revisions and additions to the multiplayer make it better than ever. For first-person shooter fans, Titanfall 2 is a must play."
"God is a Geek","95","Titanfall stands out as an example of how there is still plenty of room for innovation and newness in a crowded genre space. It's superbly executed and incredibly fun to play."
"Impulsegamer","92","With a single player campaign that subverts expectations at every corner, a movement system that can only be described as heavenly and a robust selection of multiplayer modes with more free content to come in the future, Titanfall 2 is one of the year’s biggest surprises and is a must-buy for any serious shooter fan."
"Digital Chumps","92","Titanfall 2 is everything that Titanfall should have been. It contains a wonderfully endearing campaign mode that contains some unique and fun gameplay design, while satisfying the multiplayer experience with a bevy of modes and customization options. This certainly feels like a complete game."
"Playstation Official Magazine Australia","90","Far from the footnote it could have been, Titanfall 2 is a huge, headline shock. In a standout year for the shooter, this interstellar adventure dares to go big and beyond the familiar. What it finds out on the frontier is worth seeing. [January 2016, p74]"
"Edge Magazine","90","The core Titanfall moveset is a joy, and it has been thoughtfully expanded with a delightful grappling hook. [Jan 2017, p.112]"
"Games Master UK","90","Ace online action combines with a truly rollicking campaign in one of the year's shootiest surprises. [Christmas 2016, p.66]"
"Playstation Official Magazine UK","90","Respawn could have settled for big dumb fun, but Titanfall 2's eclectic, standout campaign and honed multiplayer make for a smart and unusual shooter. A total rush from beginning to end. [Christmas 2016, p.84]"
"Gaming Nexus","90","Titanfall 2 succeeds in being both accessible and fun, which is a nice change of pace in the modern era of shooters. It isn't the most complicated of shooters, nor is it the most refined. However, it very well may be the most fun, which is the most important thing to a gamer."
