"publisher","score","review"
"Easy Allies","100","Uncharted 4 is a landmark title that anyone remotely interested in interactive storytelling should invest in. Naughty Dog has once again raised the bar across the industry. Thrilling shootouts, a staggering level of detail, breathtaking visuals and emotional depth come together to make Uncharted 4: A Thief's End a must-play masterpiece."
"Playstation Official Magazine Australia","100","Not flawless, but easily the brightest jewel in the PlayStation 4 crown. Deserving of a place in your gaming museum. [July 2016, p66]"
"PSX Extreme","100","I suppose some people are still hung up on the concept of a ""perfect score."" Of course, it doesn't mean ""perfect"" because no game is flawless. In this case, I suppose I could cite the ungodly precision of enemies with grenade launchers, or the fact that the camera can go just a tad loopy in certain parts. But I say a perfect score goes to the game that is, upon release, better than all the competition. If nothing on store shelves can compete, if you rack your brains and can't think of a better game to come along in the past year or so, it deserves the maximum score. I also believe in the subjective aspect, in that if the game didn't make an impact on a personal level, the critic shouldn't hand out the 10. I've almost never done it because clearly, my requirements are steep. But here, I can't imagine giving out anything less...Side note: Though, with 36 perfect scores counted so far according to Metacritic (more than 1/3 of all 102 counted reviews), I'm hardly the only one to come to this conclusion."
"Playstation Official Magazine UK","100","Naughty Dog's victory lap is a celebration of its past, present and future, with clever pacing and thrilling set-pieces surpassing expectations in its most exhilarating Uncharted to date. No PS4 should be without this. [June 2016, p.74]"
"DarkZero","100","Uncharted 4 is a masterpiece, albeit a flawed one. Even with its problems, the level that developer Naughty Dog can attain almost puts the rest of the industry to shame."
"New York Daily News","100","Gameplay never ever grows stale in Uncharted 4. From beginning to terrific end, Nathan Drake's final adventure keeps you invested and focused...And when it's all over, the last thing you want it to be is the end of this franchise."
"The Escapist","100","Uncharted 4 is a grand adventure: over the top yet, simultaneously, graciously restrained. It is a reflection on a grandiose life with an overcast of impermanence and a dignified maturity. A Thief's End doesn't settle for telling the final story of Nathan Drake, it also tells the human story of Nathan Drake, serving as a fitting, elegant farewell. ""Immersive"" is a word that is often used to describe well-executed games, yet never has it been more appropriate than for A Thief's End. Never have I felt more respected as a player, as a fan, than I did during my time with Uncharted 4."
"COGconnected","100","The conclusion to the series is fitting, harkening back to Naughty Dog’s early days while also giving us a suitable send off to the Drake’s. Fitting, but still an end."
"The Daily Dot","100","It’s the kind of closure that will make you reminisce about the first time you fired up the debut Uncharted game, but you won’t feel nudged to fire up Drake’s Fortune immediately after completing A Thief’s End."
"ZTGD","100","This is the best Uncharted game to date, and quite possibly one of the best games that will come out this generation."
