"publisher","score","review"
"LEVEL (Czech Republic)","100","Bloodborne takes the best of Dark Souls and builds the unrelenting gaming challenge on a prefect foundation - it will test your abilities to the max. The first true must-have exclusive for PS4 is here. [Issue#252]"
"GameOver.gr","100","Brutal, Repulsive, Revolting and Irresistible. Could be an acrostic like BRRI but it ain’t. It’s Bloodborne."
"Edge Magazine","100","A dazzling work of dank, abject horror that cements Miyazaki as one of the all-time greats. Sixteen months after PS4's launch, the new generation has finally begun. [May 2015, p.112]"
"Washington Post","100","Whereas Dark Souls 2 felt to me as if it was laboring under the weight of its forebears, Bloodborne feels like the swaggering culmination of them. From Software has, in the best possible way, brought the evil back."
"Hyper Magazine","100","Bloodborne is intricate, deep, rewarding and terrifying all at the same time."
"VideoGamer","100","There’ll be times when you feel genuinely lost, frustrated and unsure of your next step. But you will carry on, you will beat it, and when you do, there’s no other game that can make you feel more elated about doing so."
"Twinfinite","100","The sum of its features produces a complex yet accessible gameplay experience that is amazing pretty much in every aspect."
"Digitally Downloaded","100","Combat aside, Bloodborne is a visionary work by a visionary artist. Intense in both theme and application, it's a gory concession to the tastes of the modern mainstream player, while maintaining the spirit and uncompromising narrative that was the hallmark of the Souls games at their finest. But this is far more consistent in that application than those games, making it From Software's finest work to date."
"New York Daily News","100","It’s the perfect marriage, blending mechanics that seem easy to learn with gameplay and challenge that demands mastery and ingenuity. It’s a creative and technical masterpiece, rife with ability and potency."
"Guardian","100","Its elegance, precision, humour, and challenge make Bloodborne irresistible. Ultimately, the horror is secondary; wonder is the true transfusion on offer here."
"Telegraph","100","Bloodborne is one of those experiences that totally consumes you when you're involved in it and working to see all that it has to offer. In that sense it's the digital edition of a round-the-world trip to foreign continents, each turning of a corner providing equal helpings of excitement and trepidation. That recipe brings it own rewards by simply being a part of it, the seemingly effortless delivery indicative of a design team and philosophy that is only getting sharper."
"God is a Geek","100","Bloodborne is an immensely intricate and tightly-designed game that arguably surpasses what From have produced before, thanks to a handful of new ideas and tweaked mechanics. A system that promotes repetition to refill your consumables, and a difficulty that encourages level grinding in the opening few areas and at various intervals throughout feel like minor missteps, but they’re tiny ones at that. Despite a few minor performance issues, Bloodborne is an epic, compelling, heart-pounding triumph."
