Year,Game,Review
2013,Bioshock Infinite,"Bioshock Infinite is a visionary piece of entertainment where the gameplay, characters, art style and story all come together to make what undoubtedly will be considered one of the best games of this generation."
2013,Bioshock Infinite,"Bioshock Infinite is the best shooter I have played in a long time. It is an incredible achievement artistically, narratively, and technically. I can¡¦t think of a better game to close out and define this decade-long console generation."
2013,Bioshock Infinite,"It is a triumph of artistry, technology and design. It isn¡¦t perfect, but nothing this ambitious ever is. [Issue#235]"
2013,Bioshock Infinite,"On PC, BioShock Infinite absolutely shines. The use of the venerable Unreal Engine might surprise you, considering just how stunning this game looks, especially with the high-res textures exclusive to the PC version that balloon the game to about 15GB in size."
2013,Bioshock Infinite,"BioShock is the most important new intellectual property of this hardware generation. Like its predecessor, it is an experience that could only ever be achieved in a videogame, one that demonstrates the true power of this medium to engage and inspire us, and in doing so it soars far above so many other games, clipped and blinkered as they are by their lowly, merely filmic aspirations. Irrational's achievements in BioShock Infinite dignify the medium."
2013,Bioshock Infinite,BioShock Infinite is a hell of a lot of fun to play. That really should be the only quality it needs to exhibit. The fact that it holds much more feels like an advancement of an art form. Just remember that nothing in BioShock Infinite is an attempt to be cute. Just let it tell you its story.
2013,Bioshock Infinite,"You'll see a lot of BioShock in Infinite, but even if you try to make direct comparisons between the two, it's clear that Infinite is a far better game than its predecessor. It moves at a better pace, with more meaningful and more playable big encounters than BioShock. But it still carries that sense of exploration and the feeling of dread that comes with knowing that everything is just continuing to unravel before your very eyes."
2013,Bioshock Infinite,"It was not easy to achieve the quality of the first game, but BioShock Infinite survives this ""ghost"" and evolves in every way. It¡¦s a journey not to be missed."
2013,Bioshock Infinite,"With the release of BioShock Infinite, developer Irrational has delivered a bigger story, more polished experience, and created two similar-yet-separate games that can co-exist and remain equal in quality. When the history of videogames is written, not one, but two BioShocks will be remembered for pushing gameplay, story, and subject matter to new levels."
2013,Bioshock Infinite,"It¡¦s the kind of game you¡¦ll immediately want to replay again from the beginning, not just to experiment with new vigors and weapons and tactics, or to find the backstory-expanding Voxophones and Kinetoscopes you missed on the first run-through, but to see the little bits of foreshadowing, the subtle design choices, the dropped hints that build up to the game¡¦s brain-bending denouement."
2013,Bioshock Infinite,"Everything from the pacing, to the artificial intelligence, to the graphics and the music are perfect. This is truly a masterpiece only deserving of the highest grade we can possibly give."
2013,Bioshock Infinite,"Infinite is as lavish as it is cerebral, as difficult as it is accessible. It¡¦ll be many different things to many different people, and it will be discussed, dissected and deified for many years to come...So, when will gaming have its Citizen Kane moment? Forget that. When will anything else have its BioShock Infinite moment?"
2013,Bioshock Infinite,"Any gripes with the action are washed away when the narrative flexes it considerable muscle. It¡¦s a fabulous piece of storytelling, thick with foreshadowing to a gut-punch of a finale. Most importantly, like BioShock before it, Infinite could only work as a video game, finessing the art of player agency and interaction. Proof positive that with the right talent and drive, games can plough their own narrative furrow. And excel at it."
2013,Bioshock Infinite,"To reinvent one's masterpiece without betraying its spirit nor fall into redundancy is one thing. Going as far as to pull the rug out from underneath all narrative FPS's and emotion merchants who planned to come in the coming months is another. But anyway, that wouldn't be the first impudence of BioShock Infinite. Not to fly up to Columbia and explore such a beautifully written journey would be a crime; not to meet the most alive NPC ever that is Elizabeth would be a shame."
2013,Bioshock Infinite,"I don't know how else to tell you that this is the game videogames were made for. It¡¦s the game every other designer wishes they could make. It¡¦s a watershed moment for our industry, and I¡¦d be hard pressed to tell you that anything that came before is better. More so, however, I can¡¦t imagine that anything else, in my lifetime, will top this. All bold statements, I know, but this is it and I¡¦m reviewing it. BioShock Infinite is the sort of game we dream of reviewing. It¡¦s the Ocarina of Time of this generation (only infinitely better), and will be talked about and analysed for years to come."
2013,Bioshock Infinite,"Sky-lines, the suspended tracks you can use to ride through levels like a rollercoaster, turn the first-person shooting into a first-person thrillride. It delivers a new FPS experience entirely, where you hold your breath at the apex of a sky-line before screaming down the rail so fast that no bullet can touch you. You won¡¦t have access to sky-line mobility in the lion¡¦s share of the fights--but when you do, it¡¦s an absolute rush."
2013,Bioshock Infinite,"Dealing with themes like religion, racism, and xenophobia, Columbia is a richer and more nuanced setting than even Rapture, and the unveiling of the city¡¦s culture is masterfully executed."
2013,Bioshock Infinite,Bioshock Infinite is both a breathtaking achievement in videogame storytelling and a marquee example of a game that will stick with you long after you see everything it has to offer. Calling it simply a first-person shooter is practically an insult. If you can make it through the game without being emotionally affected - or even experiencing a bit of an existential crisis - you need to check your pulse immediately.
2013,Bioshock Infinite,"As a game, BioShock Infinite has its successes and its falterings consistent with any suitably complex piece of interactive entertainment. As a story, as an exercise in drawing the player into a believable and relevant world, as proof of exactly what a videogame can mean to a person ... Well, I already said it. BioShock Infinite is damn near perfect."
2013,Bioshock Infinite,Placing bets for best game of the year? We have a solid tip for you.
2013,Bioshock Infinite,"BioShock: Infinite isn¡¦t just one of the best games of 2013, but also of the twenty-first century. The themes and storytelling are unparalleled and are approached from multiple points of view, without being at the expense of the first-person shooter-action. Besides, BioShock: Infinite is a title that gamers really needed after all these years."
2013,Bioshock Infinite,"Undoubtedly the finest game crafted by Irrational Games, BioShock Infinite is one of the best told stories of this generation. It simply cannot be missed."
2013,Bioshock Infinite,"BioShock Infinite doesn't blur the lines between your reality and the game's to quite the same extent as its predecessor, but it's a more complete and polished story, and that's the thing you'll remember."
2013,Bioshock Infinite,"For everything it has to say, for all the questions it asks ¡Xmany of which have no easy answers ¡X BioShock Infinite's big thoughts and complicated narrative don't obscure the brilliant action game that carries those messages through."
2013,Bioshock Infinite,"Bioshock Infinite is a magical experience on every level. Despite a few glitches and a couple of issues with pacing in the later parts, this game is already a clear candidate for game of the year."
2013,Bioshock Infinite,"BioShock Infinite is no doubt the most profound game I¡¦ve played in a very long time. Take from it what you will, whether it¡¦s an adrenaline pumping shooter experience or a deeper, intellectual experience or both, the almost perfect and flawless game is worth taking the time to play. This game will be rivaled by few for Game of The Year 2013."
2013,Bioshock Infinite,"The combat wore thin, the collection aspect is archaic, yet the narrative payoff is worth every hindrance. That speaks volumes to the construction of the story Ken Levine and his team at Irrational Games have achieved here."
2013,Bioshock Infinite,"BioShock Infinite is such a fun game with an incredible atmosphere. The long wait has been worth it and Irrational Games has done an incredible job at bringing Booker, Elizabeth, and Columbia to life."
2013,Bioshock Infinite,"From character clothing, to the architecture of buildings and the molding¡¦s and bits of machinery and piping that seem to have something to do with how the city is staying in the air. It fires the imagination and puts that spark into adventure once again."
2013,Bioshock Infinite,A mind blowing experience that will keep you on the edge of your seat for most of the ten-plus hours of your adventure in the beautiful sky city of Columbia.
2013,Bioshock Infinite,"The moment you step through the doorway and into Columbia, something magical happens. You¡¦re introduced to what is easily the most ""alive"" city found in a game so far."
2013,Bioshock Infinite,"Like it's ancestor, Bioshock Infinite should be in the hall of fame of videogames. Not for technical reasons, as the game is not quite top notch on that front, but it is magnificent for artistic reasons. Columbia is absolutely spectacular, as the universe does not limit itself to scripted areas, and the storyline has a real point beyond entertainment. In sharp contrast to the mass of videogames that are forgotten ten minutes after the gamers are done playing with them, Bioshock Infinite will forever impact the memories of those who have the chance to experience it. FPS fans will like the different elements of the game such as fails, airtrains and Elizabeth that allow an increase in the fight's rhythm, a vast improvement over the first Bioshock. Whether you're an intellectual or a trigger happy maniac, you will definitely find a reason to enjoy this fabulous game. Long live Bioshock Infinite."
2013,Bioshock Infinite,"A masterpiece in audiovisual design, a fantastic action game and another testimony to the craft, the imagination and the ambition of Irrational. However, the campaign is a bit shorter than what was expected and it_s obvious the studio has not reached the full range of their objectives."
2013,Bioshock Infinite,"For me BioShock: Infinite is one of the most important games in recent history. It is the first game that bravely takes on social and religious problems and doesn't avoid the opportunity to criticize extreme views. It's a great shooter, with a glorious world, fantastic co-star (Elizabeth!), unique opponents and lots of memorable characters and events. Another masterpiece from Ken Levine."
2013,Bioshock Infinite,"The PC version, as run on mid-range hardware, makes no such visual compromises, with gorgeous high-resolution textures, detailed faces, and smooth performance...A brilliant shooter that nudges the entire genre forward with innovations in both storytelling and gameplay."
2013,Bioshock Infinite,"BioShock Infinite is both art-house and grindhouse, managing to offer something for everyone. There¡¦s drama, philosophy, and shocking violence, then there¡¦s combat, abilities, and gear -- there¡¦s even numerically quantified damage for the stat-obsessed. It¡¦s enhanced by thoughtful plotting and great characters and wrapped up in a beautiful world and calamitous physics. Heady and bloody, it¡¦s a tesseract worth tackling, and even if you can see its seams from time to time, its ambition cannot be denied."
2013,Bioshock Infinite,Ken Levine's last is a truly masterpiece. Bioshock Infinite is a great action videogame with an incredible story.
2013,Bioshock Infinite,"A must-have, one of the games of the year, that gives meaning to this world of entertainment. We would have loved to see the same audiovisual ambition applied to the gameplay, or at least, some kind of attempt of bringing something new to it. Still, this is one of the masterpieces of the genre that you cannot miss."
2013,Bioshock Infinite,BioShock Infinite is simply gorgeous. When we made our first steps into the world of Columbia we were completely overwhelmed. It's a game which is only slightly let down by its very low difficulty level. The absorbing and twisting story puts BioShock Infinite on the throne of shooter gaming.
2013,Bioshock Infinite,"Play BSI slowly, relish the moments and don¡¦t rush to the end. It¡¦s certain that you will have lived one of the richest gaming experiences that, as far as narration, lyricism and story are concerned, will take a lot of time to forget! [May 2013]"
