Game,Year,Developer,Publisher,Genre,Theme,Perspective,Series,Franchise,Gametime_main,Gametime_main&extra,Gametime_complete,time.diff,Publisher_index,Sequel,winner
Dragon Age: Inquisition,2014,Bioware,EA,"adventure,rpg,tactical","action,fantasy,historical",third person,Dragonage,Dragonage,46,87.5,127,41.5,2,3,1
Bayonetta 2,2014,Platinum Games,Nintendo,h&s,action,third person,Bayonetta,,9.5,13,52,3.5,1,2,0
Dark Souls II,2014,FromSoftware,Bandai Namco,"adventure,rpg","action,fantasy,historical,openworld,survival",third person,Dark Souls,Souls series,46.5,63.5,117,17,3,2,0
Hearthstone: Heroes of Warcraft,2014,Blizzard,Blizzard,"puzzle,strategy,tbs",fantasy,"third person, text",Hearthstone,Warcraft,0,0,0,0,2,0,0
Middle-earth: Shadow of Mordor,2014,Monolith Production,WB Games,"adventure,rpg","action,fantasy,historical,openworld,sciencefiction,stealth",third person,Middle Earth,The Lord of the Rings,15.5,23,31,7.5,2,0,0
The Witcher 3: Wild Hunt,2015,CD Projekt RED,WB Games,"adventure,rpg","action,fantasy,historical,openworld",third person,The Witcher,The Witcher,49.5,103,171,53.5,2,3,1
Bloodborne,2015,FromSoftware,Sony,"adventure,rpg","action,fantasy,horror",third person,,,35,45,77.5,10,1,0,0
Fallout 4 ,2015,Bethesda Game Studio,Bethesda,"rpg,shooter","action,openworld,sandbox,sciencefiction","first person, third person",Fallout,,26,78,152,52,2,4,0
Metal Gear Solid V: The Phantom Pain,2015,Kojima,Konami,"adventure,shooter,tactical","action,fantasy,historical,openworld,stealth",third person,Metal Gear,,45.5,82.5,164,37,3,5,0
Super Mario Maker,2015,Nintendo,Nintendo,platform,"action,kids",side view,Super Mario,Mario Bros,4.5,29,164,24.5,1,0,0
Overwatch,2016,Blizzard,Blizzard,"rpg,shooter,strategy","action,comedy,sciencefiction",first person,,,0,0,0,0,2,0,1
DOOM,2016,id software,Bethesda,shooter,"action,horror,sciencefiction,survival",first person,DOOM,DOOM,11.5,16,24.5,4.5,2,0,0
INSIDE,2016,Playdead,Playdead,"adventure,indie,platform,puzzle","action,horror,sciencefiction,survival",side view,,,3.5,4,4.5,0.5,4,0,0
Titanfall 2,2016,Respawn,EA,"adventure,shooter","action,sciencefiction",first person,,,6,8.5,13.5,2.5,2,2,0
Uncharted 4: A Thief's End,2016,Naughty Dog,Sony,"adventure,shooter","action,fantasy,historical",third person,Uncharted,,15,17.5,28,2.5,1,4,0
The Legend of Zelda: Breath of the Wild,2017,Nintendo,Nintendo,"adventure,rpg","action,fantasy,openworld",third person,The Legend of Zelda,The Legend of Zelda,46.5,91,177,44.5,1,5,1
Horizon Zero Dawn,2017,Guerilla,Sony,"rpg,shooter","action,openworld,sciencefiction",third person,,,22,44,59.5,22,1,0,0
Persona 5,2017,Atlus,Atlus,"adventure,platform,rpg","action,fantasy,stealth",third person,Persona,Megami Tensei,96,111,167,15,4,5,0
PlayerUnknown's Battlegrounds ,2017,PUBG,Microsoft,"adventure,indie,shooter","action,openworld,survival","first person, third person",,,0,0,0,0,1,0,0
Super Mario Odyssey,2017,Nintendo,Nintendo,"adventure,platform","action,fantasy,openworld,sandbox",third person,Super Mario,Mario Bros,12.5,25.5,58.5,13,1,5,0
Grand Theft Auto IV,2008,Rockstar,Take-two,"adventure,racing,shooter,sport","action,openworld",third person,GTA,,28,41,81.5,13,2,4,1
Fallout 3,2008,Bethesda Game Studio,Bethesda,"rpg,shooter,sport","action,fantasy,historical,sandbox,sciencefiction","first person, third person",Fallout,,23,57.5,118,34.5,2,3,0
Gears of War 2,2008,Epic Games,Microsoft,shooter,"action,sciencefiction",third person,Gears of War,,10,13,80.5,3,1,2,0
LittleBigPlanet,2008,Media Molecule,Sony,platform,"kids,sandbox",side view,LittleBigPlanet,,9,17,44,8,1,0,0
Metal Gear Solid 4: Guns of the Patriots,2008,Kojima,Konami,"adventure,shooter,tactical","action,fantasy,historical,stealth,survival",third person,Metal Gear,,18.5,21.5,28.5,3,3,4,0
Uncharted 2: Among Thieves,2009,Naughty Dog,Sony,"adventure,shooter","action,fantasy,historical",third person,Uncharted,,10.5,12.5,22,2,1,2,1
Assassin's Creed II,2009,Ubisoft,Ubisoft,"adventure,platform","action,fantasy,historical,openworld,sandbox,sciencefiction,stealth",third person,Assasin's Creed,Assasin's Creed,19,27,35,8,2,2,0
