Year,Game,Review
2011,The Elder Scrolls V,"Just overall the best game I've ever played, they've truly outdone themselves on this game. It is art and will always be known as one of the greatest rpgs ever created during this era of games. I can see my self easily putting 200-300 hours in Skyrim over the next few years until TES 6 is released."
2011,The Elder Scrolls V,Simply the best game I have Ever played.  I have spent 3 Solid days in Skyrim and they have been some of the most beautiful most memorable gaming experiences I have had and I have barely scratched the surface.  I concur with most of the reviewers here in saying I have No IDEA how anyone could give this a negative review.  There is just so many ways to play to many paths to take so manySimply the best game I have Ever played.  I have spent 3 Solid days in Skyrim and they have been some of the most beautiful most memorable gaming experiences I have had and I have barely scratched the surface.  I concur with most of the reviewers here in saying I have No IDEA how anyone could give this a negative review.  There is just so many ways to play to many paths to take so many different ways to experience the game I don't think there is a way anyone couldn't find a entertaining way to venture forth in the world. I don't even know where to start with this game.  Everything about it is extraordinary Bethesda went above and beyond the call and have made The Best RPG world any game has ever seen.  Every environment is alive and every cave I have explored is unique. There are not enough good things to be said about this game.  Easy 10/10 if you have Any interest in games do yourself a BIG favor and pick this up ASAP\
2011,The Elder Scrolls V,"Amazing! Exceeded all of my expectations, and all my friends expectations, and then some. The BEST Elder Scrolls--and open-world RPG--to date. Though I bought it for the 360 I also plan to purchase it for the PC at some point (something I'm not ashamed of), to take part in the excellent modding community."
2011,The Elder Scrolls V,"A masterpiece, is one of those games that make you think that video games can be considered an art, like painting, music or movies. It's a fantastic virtual experience, deep history, superb gameplay, beautiful graphics, majestic music, in short, an incredible journey for all people who love video games"
2011,The Elder Scrolls V,"This game is seriously amazing! i dont understand what type of person would rate this game negatively?? The sound, graphics, gameplay - its all pure beauty. Best money i have ever spent!!"
2011,The Elder Scrolls V,"Yea there are glitches, but that doesn't stop this game from being an absolute masterpiece. after only 3 hours of play, I realized this is probably the most engrossing game i have ever played. It's amazing how much content is packed into one game. The game extremely addicting, the sound is amazing, the graphics...oh the graphics they are absolutely phenomenal. If you are looking for gameYea there are glitches, but that doesn't stop this game from being an absolute masterpiece. after only 3 hours of play, I realized this is probably the most engrossing game i have ever played. It's amazing how much content is packed into one game. The game extremely addicting, the sound is amazing, the graphics...oh the graphics they are absolutely phenomenal. If you are looking for game you can pour hundreds of hours into, Skyrim is for you.\"
2011,The Elder Scrolls V,"I've yet to find anything not to like about this game.  The graphics are excellent, the textures are sharp, the models are smooth, the draw distance is beuatifull, the load times are incredible - main menu to game in ten seconds!As for the gameplay they've fixed a LOT of what was wrong with previous games, balancing the various playstyles very well and making it all generally a lot ofI've yet to find anything not to like about this game.  The graphics are excellent, the textures are sharp, the models are smooth, the draw distance is beuatifull, the load times are incredible - main menu to game in ten seconds!As for the gameplay they've fixed a LOT of what was wrong with previous games, balancing the various playstyles very well and making it all generally a lot of fun.  Love the menu system too.\"
2011,The Elder Scrolls V,"This is simply an excellent game. I mean, it is a must have.  I can not stop playing it.  This game will probably cause me to fail calculus and chemistry and my girlfriend to break up with me.  But seriously, you should defiantly get this game."
2011,The Elder Scrolls V,"This is quite possibly the best game ever made!  70 hours into it and I'm still finding new things to do and the thing that really gets me is that of the over 300 dungeons in the game, none of the ones I've been to have been just re-skinned, they are all original!  Mad Props to Bethesda!!  Using my MW3 disc as a coaster to hold my beer!!!"
2011,The Elder Scrolls V,"Competing with nostalgia-rich classics of the genre, critically acclaimed ""hardcore"" offerings, deep PnP style multiplayer RPGs as well as Oblivion and the (superior) Morrowind before it, Skyrim still comes out on top to become the best game I've ever played.It combines the vast explorability and intoxicating atmosphere of Morrowind with the eminent playability of Oblivion, and turnsCompeting with nostalgia-rich classics of the genre, critically acclaimed ""hardcore"" offerings, deep PnP style multiplayer RPGs as well as Oblivion and the (superior) Morrowind before it, Skyrim still comes out on top to become the best game I've ever played.It combines the vast explorability and intoxicating atmosphere of Morrowind with the eminent playability of Oblivion, and turns the art style, world design, voice acting, story and most everything else up to 11 to create an almost perfect high fantasy/sword & sorcery RPG experience.Visuals: 9.5/10 Audio: 10/10 Gameplay: 10/10 Story/Quest Gameplay: 10/10 RPG Mechanics/Design: 9/10 Content/Scope: 10/10Overall: 10/10\"
