Game,Year,Critic_score,Critic_Positive,Critic_Mixed,Critic_Negative,Critic_total,Player_score,Player_Positive,Player_Mixed,Player_Negative,Player_total
Dragon Age: Inquisition,2014,89,42,1,0,43,7.4,1568,367,394,2329
Bayonetta 2,2014,91,78,2,0,80,9,1133,42,104,1279
Dark Souls II,2014,91,36,0,0,36,7.2,1588,331,520,2439
Hearthstone: Heroes of Warcraft,2014,88,42,0,0,42,6.1,892,389,551,1832
Middle-earth: Shadow of Mordor,2014,84,77,8,0,85,8,1665,351,164,2180
The Witcher 3: Wild Hunt,2015,92,78,1,0,79,9.2,11063,340,750,12153
Bloodborne,2015,92,99,1,0,100,8.9,7827,313,698,8838
Fallout 4,2015,87,52,6,0,58,6.6,2702,773,1236,4711
Metal Gear Solid V: The Phantom Pain,2015,93,84,2,0,86,8.2,3584,567,511,4662
Super Mario Maker,2015,88,81,4,0,85,8.8,695,53,46,794
Overwatch,2016,91,62,2,0,64,6.7,3007,663,1391,5061
Doom,2016,85,57,4,0,61,8.3,1435,154,157,1746
Inside,2016,93,87,0,0,87,8.2,478,33,78,589
Titanfall 2,2016,89,60,1,0,61,8.4,973,70,107,1150
Uncharted 4: A Thief's End,2016,93,111,1,1,113,8.3,7616,452,1186,9254
The Legend of Zelda: Breath of the Wild,2017,97,106,3,0,109,8.5,9377,689,1424,11490
Horizon Zero Dawn,2017,89,110,5,0,115,8.3,5315,361,740,6416
Persona 5,2017,93,96,1,0,97,8.8,3126,95,390,3611
PlayerUnknown's Battlegrounds,2017,86,41,5,0,46,4.5,398,221,614,1233
Super Mario Odyssey,2017,97,113,0,0,113,8.9,3384,134,283,3801
Grand Theft Auto IV,2008,98,86,0,0,86,7.9,2210,491,416,3117
Fallout 3,2008,93,83,1,0,84,8.5,1445,143,150,1738
Gears of War 2,2008,93,90,0,0,90,7.7,2135,232,501,2868
LittleBigPlanet,2008,95,85,0,0,85,6.8,3542,271,1602,5415
Metal Gear Solid 4: Guns of the Patriots,2008,94,82,0,0,82,8.8,3244,201,345,3790
Uncharted 2: Among Thieves,2009,96,105,0,0,105,8.9,5092,216,423,5731
Assassin's Creed II,2009,90,79,2,1,82,8.8,1289,110,51,1450
Batman: Arkham Asylum,2009,92,78,0,0,78,8.7,1016,60,64,1140
Call of Duty: Modern Warfare 2,2009,94,100,0,0,100,6.4,1527,404,846,2777
Left 4 Dead 2,2009,89,76,0,0,76,8.6,586,81,45,712
Red Dead Redemption,2010,95,73,0,0,73,8.9,2503,173,149,2825
Call of Duty: Black Ops,2010,87,89,6,0,95,6.4,743,373,375,1491
God of War III,2010,92,101,0,0,101,8.8,2542,141,223,2906
Halo: Reach,2010,91,93,6,0,99,8.1,1668,286,209,2163
Mass Effect 2,2010,96,98,0,0,98,8.9,2938,141,231,3310
The Elder Scrolls V: Skyrim,2011,96,89,0,0,89,8.5,3110,278,314,3702
Batman: Arkham City,2011,94,87,0,0,87,8.7,1361,107,94,1562
The Legend of Zelda: Skyward Sword,2011,93,78,3,0,81,8.1,1664,300,250,2214
Portal 2,2011,95,65,1,0,66,8.7,888,60,74,1022
Uncharted 3: Drake¡¦s Deception,2011,92,96,1,0,97,8.4,3354,333,343,4030
The Walking Dead: The Game,2012,82,33,7,0,40,8.4,681,65,60,806
Assassin's Creed III,2012,84,52,9,0,61,6.8,651,354,243,1248
Dishonored,2012,88,54,2,0,56,7.9,637,123,90,850
Journey,2012,92,77,0,1,78,8.8,1251,90,96,1437
Mass Effect 3,2012,93,74,0,0,74,5.9,1868,433,1342,3643
Grand Theft Auto V,2013,97,57,1,0,58,8.3,2994,289,455,3738
BioShock Infinite,2013,94,68,0,0,68,8.6,6385,864,563,7812
Super Mario 3D World ,2013,93,81,2,0,83,8.9,1657,95,101,1853
The Last of Us,2013,95,97,1,0,98,9.2,7918,330,472,8720
Tomb Raider,2013,86,65,3,0,68,8.6,1021,90,76,1187
