Year,Game,Review
2015,Witcher 3,"Very awesome game, reminds me of Red Dead Redemption, Skyrim, and Dragon Age. Bringing the best of those together in a world bigger than GTA V is truly something magnificent. While also telling a very good and mature story in a beautiful setting. Ladies and Gentlemen... Let me present The Witcher 3: Wild Hunt. Say goodbye to life for a while! 10/10"
2015,Witcher 3,"Awsome game, nice graph, awsome story line and voiceover. Controls can be more responsive, but is good camera in fight can be better..  If you looking cool story, and fights this game its for you!"
2015,Witcher 3,"This is one of the best RPG and Open World games ever made. The sheer size of the world is breath taking and attention to detail is staggering. You could argue the graphics took a hit when looking at compressed YT clips or still images but once you play this game on PS4 in the convenience of your home on big-ass TV you will quickly delve headfirst into this immersive world and forget aboutThis is one of the best RPG and Open World games ever made. The sheer size of the world is breath taking and attention to detail is staggering. You could argue the graphics took a hit when looking at compressed YT clips or still images but once you play this game on PS4 in the convenience of your home on big-ass TV you will quickly delve headfirst into this immersive world and forget about the whole 'downgrade nonesense'. It's the most beautiful open world to date with rock solid gameplay and excellent performance ( day 1 patch is a must for frame-rate dips issues, but after that installed you're good to go).If you consider Polish studio with only 200 strong staff and half the budget of EA, Ubisoft are pumping into the same crap year after year, you will quickly realize how exceptional in all aspects Witcher 3: Wild Hunt is.I could go on and praise this game all day long but I have quests to do, and then some.10/10 Must Buy or GTFO. ;)\"
2015,Witcher 3,The best RPG i have ever played. Amazing character creation. Nicely designed quests. Very rich bestiary. World map is very big and full of content. Almost no loading screens!
2015,Witcher 3,"Amazing game with great gameplay and story. This game is while the third in the series, is still a great jumping point and CD Projekt Red has done a good job at explaining the backstory. Granted playing the other games and reading the books will allow you to get more out of it, playing this game is still a must for anyone with a ps4, xbox one or a pc strong enough to run it."
2015,Witcher 3,"Best RPG game ever ! Large diverse open world , mass quests, addictive gameplay . For such a game I waited and did not deceived. Congratulations to the Polish developer."
2015,Witcher 3,"Ive have only played this game for some 22 hours now, and I haven't even left the starting area yet. Im simply in awe of the beauty of this game, constantly finding myself just starring at the screen and the changing environment. I haven't seen this much attention to detail since GTA V, and that is the only other game on the current gen consoles i would give a 10. If you enjoy games likeIve have only played this game for some 22 hours now, and I haven't even left the starting area yet. Im simply in awe of the beauty of this game, constantly finding myself just starring at the screen and the changing environment. I haven't seen this much attention to detail since GTA V, and that is the only other game on the current gen consoles i would give a 10. If you enjoy games like Skyrim and Bloodborne you need this game!\"
2015,Witcher 3,"This will go down as one of the best rpg's ever created.  It's mind blowing in scope and quality and very refreshing to have an adult oriented rpg.  This is a harsh, realistic and brutal world"
2015,Witcher 3,"One of the best games ever made. Swimming mechanics need some tweaking, but this is not enough to rid it of a deserved 10/10. A masterpiece of art and gameplay."
2015,Witcher 3,"This is officially the best game of all time! It's beautiful, combat is perfection and everything was  created so incredibly that I would want to live in this world forever! Reality has become obsolete now!;-)Thanks CD projekt red ! You are by far the best game developer in history! Love you all!!;-)"
2015,Witcher 3,"May I call The Witcher 3 ""Adult version of Dragon Age Inquisition''? Or same level as Skyrim? Because of the amazing story, fantastic living open world. I'm going to spent hundreds of hours into this game ^^"
2015,Witcher 3,"This is not only great game but also, a great story! It is deep and exciting without ""fedex' quests. That' is something that for example Dragon Age definately was missing."
2015,Witcher 3,"Take a bit of Skyrim, Red Dead Redemption, The Wolf Among Us and add following ingrediences: most beautiful and dense open World ever created, hard but rewarding combat and the most memorable side quests ever created from which many are dramatic storylines on its own. This masterpiece is what you get!"
2015,Witcher 3,"Fantastic game, the world is so dynamic and huge it's truly incredible. There is alot of stuff to do, the characters are interesting and the plot as in all games is great. If you're an RPG fan than you should immediately  get this game!"
2015,Witcher 3,"A masterpiece of a game , I havent had such a long enjoyable RPG experience since the early 2000s ! there needs to be more games of this calibre . 10/10 ."
2015,Witcher 3,"THE WITCHER III: WILD HUNT is an absolute must-play-before-death game. an epic story with fascinating and compelling characters (thanks to powerful voice talents), fantastic gameplay, stunning and jaw-dropping graphics, great music and .... I mean, what more does a game need to get a 10 ot of 10?The Witcher 3 is by far the best action/rpg you have ever experienced in your life. DO NOTTHE WITCHER III: WILD HUNT is an absolute must-play-before-death game. an epic story with fascinating and compelling characters (thanks to powerful voice talents), fantastic gameplay, stunning and jaw-dropping graphics, great music and .... I mean, what more does a game need to get a 10 ot of 10?The Witcher 3 is by far the best action/rpg you have ever experienced in your life. DO NOT hesitate in buying TW3:WH for one second cause it's worth it to be on anyone's collection.\"
2015,Witcher 3,"Bugs are transitory, fame will be eternal. Witcher 3 is an amazing looking game with clever plot and living, colorful world full of interesting characters and places to explore."
2015,Witcher 3,"Down grade? Oh i don't think so lol! With about 8 hrs of play so far i've not had 1 crash. The game is beautifuland even on my pc i7 2600k 3.4 speed boosted to 3.8  with a gtx 760 4 gig mem card and 16 mem i am running it on high. I am loving the voice acting and the music. And good news for people who never played The Witcher series, they have a good tutorial to help you out with combatDown grade? Oh i don't think so lol! With about 8 hrs of play so far i've not had 1 crash. The game is beautifuland even on my pc i7 2600k 3.4 speed boosted to 3.8  with a gtx 760 4 gig mem card and 16 mem i am running it on high. I am loving the voice acting and the music. And good news for people who never played The Witcher series, they have a good tutorial to help you out with combat and well everything. This is going to keep me busy for a long time! This game is going to break a lot of records.\"
2015,Witcher 3,"this game is 3 time amazing and best RPG game ever i playing.  story, graphic, gameplay/combat and voice acting are top Notch. there are some weird glitches during gameplay like my horse got stuck against fence that it can't get out of fence. framerate sometimes dip during cutscenes and gameplay. i recommend this game to everyone : this game is worth 60 bucks"
2015,Witcher 3,"Awsome game with a lot of nice features. Its a must have all of you who love RPGs. Graphics, fighting, exploring, mature storyline, a lot of quests, monsters. Its a must have."
2015,Witcher 3,Cdpr Gongrats a bunch im literally inside this game never felt like that on any game! One thing I'd love for use to do if Yous read piss EA off in battlefield there nothing but money hungry **** frostbite have told them to sail off to Kingdom cum that game is ruined and frostbite know that!! Yous guys are legends why! Because yous are in for us and there in for money the witcher 3 omg mateCdpr Gongrats a bunch im literally inside this game never felt like that on any game! One thing I'd love for use to do if Yous read piss EA off in battlefield there nothing but money hungry **** frostbite have told them to sail off to Kingdom cum that game is ruined and frostbite know that!! Yous guys are legends why! Because yous are in for us and there in for money the witcher 3 omg mate yous nailed it in every aspect! Your out in the middle of bum gee nowhere nek minute there's bandits around a fire it's unreal everything about it this game has nothing to with skyrim why do pple think that totally different.\
2015,Witcher 3,"An extraordinary game with stunning visuals and details. Great storytelling, fun RPG elements and a breathtaking atmosphere. A good example what a ''next gen'' game should be!"
2015,Witcher 3,"This is not only great game but also, a great story! It is deep and exciting without ""fedex' quests. That' is something that for example Dragon Age definately was missing."
2015,Witcher 3,"Beautiful world. Mature gameplay and story.True next gen. RPG. Recommended to all B&G I and II, PTorrment, Fallout 1,2 fans.  Deserved 10 out of 10. With free DLCs this game will get only better overtime."
2015,Witcher 3,"One of the best games I ever played. Beautiful graphics, compelling story, addictive game play, large and diverse open world, perfect combat, a lot of interesting side quests. I have to take few days off now..."
2015,Witcher 3,"I haven't even opened the box yet and I'm excited. Giving it 10/10 cause it has horses in it. What also helps is that Geralt seems to have a beard in this one, and I am a fan of beards. I find them comforting."
2015,Witcher 3,One of the best RPGs I've played by far makes skyrim and dragon age inquestition look awful if you haven't got it already I highly recommend you do it's full of content that will keep you from going out doors for days
2015,Witcher 3,"What a staggering disappointment.First off: The controls of Geralt is an abomination.Everyone do this test; Watch how in his first two steps after you first push on the controller, they are really slow steps, and then he moves into stride - It's terrible. What precision and control is possible with that ?Then this test: run straight and then immediately push directly left or rightWhat a staggering disappointment.First off: The controls of Geralt is an abomination.Everyone do this test; Watch how in his first two steps after you first push on the controller, they are really slow steps, and then he moves into stride - It's terrible. What precision and control is possible with that ?Then this test: run straight and then immediately push directly left or right on your gamepad - after that turn, Geralt stops slowly, turns like a slow moving robot, and then moves again. It's insane.The basis of the main characters movement has gigantic flaws that makes this game unplayable.Not only that but all his movement is sugglish and non-resonsive, and when the combat is difficulty already, it makes the gameplay in the Witcher 3 an exercise in endless frustration. And it was built this way. AMAZING.The players animation when on rocks, against trees, sliding down a hill etc, is all terrible. The physical connection of Geralt to this nice looking world when exploring, is awful.If they fixed the controls, the combat would still be really boring. None of the early enemies showed much intelligence or proved an interesting or visceral fight. Hit by weapon animation when you hit the enemies leaves no strong impact, and the AI behaviour in combat very soon into the game feels very repetitive. Sure you have some strategy with the Signs, but it's still in a dull combat system against plain enemies.The positive: is that some of the writing is vastly improved from the Witcher 2, and even most games.But you have to spend such a long time traversing what is a pretty nice designed world, but that setting quality is still not high enough on it's own and for all that imposed length extending traversal imperative, or as compensation for the really poor controls and gameplay.\"
2015,Witcher 3,"A large, diverse open world, lots of quests and absolutely stunning graphics. What's not to love? Well, I hate to say it, but the graphics in Witcher 3: Wild Hunt are merely a lipstick-on-a-pig distraction. What the graphics will ultimately fail to do is make you forget the fact that the combat mechanics are absolutely terrible. Much of the combat in-game is purely based on timing.TheA large, diverse open world, lots of quests and absolutely stunning graphics. What's not to love? Well, I hate to say it, but the graphics in Witcher 3: Wild Hunt are merely a lipstick-on-a-pig distraction. What the graphics will ultimately fail to do is make you forget the fact that the combat mechanics are absolutely terrible. Much of the combat in-game is purely based on timing.The average gamer is going to love how the game looks, but hate how it plays. RPG's live and die  by how well their combat system is received, and this game's combat system is an unintuitive, poorly-timed and oddly-keystroked mess.See all those good reviews? I'm pretty sure they're all just too mesmerized by how good the graphics look. It's a shame the way you interface with them is such a turd.\"
2015,Witcher 3,"I've really been looking forward to this game , but I ended up being very disappointed ... The controls are really bad, how could they destroy something so simple, but very essential for a game !!?? The graphics are okay but nothing special .. Furthermore, I had expected the same freedom as in skyrim , but let's be honest , it is by no means the same . The worlds looks very similar, againI've really been looking forward to this game , but I ended up being very disappointed ... The controls are really bad, how could they destroy something so simple, but very essential for a game !!?? The graphics are okay but nothing special .. Furthermore, I had expected the same freedom as in skyrim , but let's be honest , it is by no means the same . The worlds looks very similar, again a huge dissapointment .. This have could have been the game of the year, but instead a very bug dissapointment!!!\"
2015,Witcher 3,"Witcher 3's combat gameplay is just horrible, i just bought it because everyone is praising it.Gameplay is medicore at best to be honest. I agree with people saying Witcher 3 have good story. But what good is story if the gameplay sucks. Might as well be watching a movie then? When it comes to games, GAMEPLAY is more important than STORY.This game have the same problem as BioshockWitcher 3's combat gameplay is just horrible, i just bought it because everyone is praising it.Gameplay is medicore at best to be honest. I agree with people saying Witcher 3 have good story. But what good is story if the gameplay sucks. Might as well be watching a movie then? When it comes to games, GAMEPLAY is more important than STORY.This game have the same problem as Bioshock Infinite. As good as people say it is. The story is all it is good for. The combat is lackluster and I would rather watch Bioshock Infinite as a movie than play the game. I would rather watch people play the game than playing it myself.This is coming from a guy who enjoys Dark Souls, Monster Hunter series, God Eater, etc.And we all know how much dodging and rolling there is in games like Monster Hunter.But Witcher 3's rolling is just.. Unsatisfying, overly obsessive rolling and spinning.Monster Hunter's rolling = precise timing to dodge a hit that would otherwise kill you. Rolling eats up your stamina bar so every roll has it's purpose.Witcher 3's rolling = You might as well be the Tasmanian Devil. Because spinning and rolling is the new style. I think Geralt is dancing and spinning like a fool when he attacks and its always the same.He does switch the swords automaticly in this game.CAMERA while fighting is the worst CAMERA i have ever seen in a videogame, really and this game has such a high rating?Story is good, but for the most part people are talking nonsense when you speak with them.graphics have a downgrade but are still looking good.this game is a let down like destiny, the order and watchdogs to be honest and it doesnt live up to the hype.My hopes are Batman and MGS5.\"
